34153417 | Association | COVID-19 | MIR340
28448241 | Association | Breast Neoplasms | BRCA1
29188294 | Association | Lipids | Aortic Aneurysm Abdominal
29188294 | Association | Aortic Aneurysm Abdominal | PCSK9
29188294 | Association | Lipids | PCSK9
29188294 | Association | Aortic Aneurysm Abdominal | CETP
29188294 | Association | Aortic Aneurysm Abdominal | HMGCR
34628442 | Comparison | fostemsavir | Maraviroc
34628442 | Negative_Correlation | fostemsavir | ITIH4
34628442 | Negative_Correlation | Maraviroc | CCR5
31610723 | Association | Atherosclerosis | Atg16l1
31610723 | Association | Atherosclerosis | Itgam
31610723 | Association | Tgfb1 | Atg16l1
31610723 | Association | Cd4 | Itgam
31610723 | Association | Atherosclerosis | Ldlr
31610723 | Association | Cd8a | Atg16l1
34536747 | Negative_Correlation | paricalcitol | Casp1
34536747 | Negative_Correlation | paricalcitol | Fas
34536747 | Association | Lupus Nephritis | Nfkb1
34536747 | Association | Nfkb1 | Ipo4
34536747 | Negative_Correlation | paricalcitol | Lupus Nephritis
34536747 | Association | Lupus Nephritis | Casp1
34536747 | Association | Nlrp3 | Vdr
34536747 | Association | Vitamin D | Casp1
34536747 | Association | Vitamin D | Nfkb1
34536747 | Association | Lupus Nephritis | Il1b
34536747 | Association | Il1b | Vdr
34536747 | Negative_Correlation | paricalcitol | Nlrp3
34536747 | Association | Vitamin D | Lupus Nephritis
34536747 | Association | Lupus Nephritis | Il18
34536747 | Negative_Correlation | paricalcitol | Il1b
34536747 | Association | Lupus Nephritis | Vdr
34536747 | Association | Lupus Nephritis | Nlrp3
34536747 | Association | Casp1 | Vdr
34536747 | Association | paricalcitol | Ipo4
34536747 | Association | Vitamin D | Nlrp3
34536747 | Association | Nfkb1 | Vdr
34536747 | Association | Il18 | Vdr
34536747 | Negative_Correlation | paricalcitol | Il18
34536747 | Negative_Correlation | paricalcitol | Nfkb1
35414868 | Negative_Correlation | Polymers | KRT20
35414868 | Association | Polymers | Rhenium
35414868 | Association | maleimide | Rhenium
35414868 | Association | 2 2'-dipicolylamine | Rhenium
35414868 | Negative_Correlation | Polymers | CD8A
35414868 | Association | 2 2'-dipicolylamine | Platinum
35414868 | Association | Platinum | Polymers
34660566 | Association | Pancreatic Neoplasms | TP53
34660566 | Positive_Correlation | IPO7 | TP53
34660566 | Association | Pancreatic Neoplasms | MALAT1
34660566 | Positive_Correlation | Neoplasm Metastasis | IPO7
34660566 | Positive_Correlation | Pancreatic Neoplasms | IPO7
34660566 | Association | MIR1295A | IPO7
34660566 | Association | Pancreatic Neoplasms | MIR1295A
34660566 | Association | MIR1295A | MALAT1
34660566 | Association | IPO7 | MALAT1
36454761 | Association | LCK | CD4
36454761 | Association | TRBV20OR9-2 | CD4
36454761 | Association | LCK | TRBV20OR9-2
25782991 | Association | Msi1 | Msi2
25782991 | Association | Erh | Msi1
25782991 | Association | Msi1 | Ipo5
38623763 | Association | Inflammation | Psmb8
38623763 | Association | Hypertension | Psmb8
38623763 | Association | isolevuglandin | Inflammation
38623763 | Positive_Correlation | isolevuglandin | Hypertension
38623763 | Positive_Correlation | Hypertension | Agt
36740883 | Association | Inflammation | SELPLG
36740883 | Association | Inflammation | CCR3
36740883 | Association | Inflammation | CCR5
36740883 | Association | Inflammation | ITGB7
37984724 | Association | Multiple Myeloma | NMD3
37984724 | Association | HNRNPU | MDM2
37984724 | Association | 601308 | RAN
37984724 | Association | HNRNPU | NMD3
37984724 | Association | selinexor | MDM2
37984724 | Association | HNRNPU | RAN
37984724 | Association | 601308 | HNRNPU
37984724 | Bind | RBMS3 | HNRNPU
37984724 | Association | selinexor | NMD3
37984724 | Association | Multiple Myeloma | HNRNPU
37984724 | Association | HNRNPU | XPO1
37984724 | Association | Multiple Myeloma | LTV1
37984724 | Association | selinexor | 601308
37984724 | Negative_Correlation | selinexor | Multiple Myeloma
37984724 | Association | selinexor | LTV1
37984724 | Association | selinexor | RAN
37984724 | Negative_Correlation | selinexor | HNRNPU
37984724 | Association | Multiple Myeloma | RBMS3
37984724 | Association | Multiple Myeloma | MDM2
37984724 | Association | RAN | XPO1
37984724 | Association | HNRNPU | LTV1
37984724 | Association | selinexor | RBMS3
37984724 | Association | 601308 | XPO1
38369216 | Negative_Correlation | Periodic fever familial autosomal dominant | Dnase1
38369216 | Association | Periodic fever familial autosomal dominant | Traf6
38369216 | Association | Periodic fever familial autosomal dominant | Tlr4
38369216 | Association | Periodic fever familial autosomal dominant | Pad4
38369216 | Association | Periodic fever familial autosomal dominant | Myd88
38369216 | Association | Liver Failure | Ipo7
38369216 | Association | Ventilator-Induced Lung Injury | Hmgb1
38369216 | Negative_Correlation | Periodic fever familial autosomal dominant | Ipo7
35749425 | Association | Multiple Organ Failure | CCR2
35749425 | Positive_Correlation | Fibrosis | CCR5
35749425 | Negative_Correlation | cenicriviroc | CCR5
35749425 | Association | COVID-19 | CCR5
35749425 | Association | Inflammation | CCR2
35749425 | Negative_Correlation | cenicriviroc | Non-alcoholic Fatty Liver Disease
35749425 | Association | Non-alcoholic Fatty Liver Disease | CCR5
35749425 | Negative_Correlation | Dexamethasone | COVID-19
35749425 | Negative_Correlation | cenicriviroc | Respiratory Insufficiency
35749425 | Association | COVID-19 | CCR2
35749425 | Association | Fibrosis | CCR2
35749425 | Negative_Correlation | cenicriviroc | Inflammation
35749425 | Cotreatment | cenicriviroc | Dexamethasone
35749425 | Association | Non-alcoholic Fatty Liver Disease | CCR2
35749425 | Negative_Correlation | cenicriviroc | Multiple Organ Failure
35749425 | Negative_Correlation | cenicriviroc | CCR2
35749425 | Association | Multiple Organ Failure | CCR5
35749425 | Association | Inflammation | CCR5
35749425 | Negative_Correlation | cenicriviroc | COVID-19
36790221 | Association | Neoplasms | rs12028023
36790221 | Association | Colorectal Neoplasms | RASAL2
36790221 | Association | Colorectal Neoplasms | rs12028023
36790221 | Association | Neoplasms | RASAL2
25878334 | Association | Endometrial Neoplasms | CD8A
37690681 | Association | Inflammation | CXCR4
37690681 | Association | Inflammation | CCR5
37690681 | Association | Calcium | CXCR4
37690681 | Association | CXCL12 | CXCR4
37690681 | Association | HIV Infections | CCR5
37690681 | Association | HIV Infections | CXCR4
35199158 | Positive_Correlation | Meropenem | Disulfiram
35199158 | Negative_Correlation | Disulfiram | Acinetobacter Infections
35199158 | Negative_Correlation | Disulfiram | Inosine Monophosphate
35199158 | Negative_Correlation | Meropenem | Infections
35199158 | Negative_Correlation | Meropenem | Carbapenems
35199158 | Association | N-desmethylstobadine | Infections
35199158 | Negative_Correlation | Disulfiram | Carbapenems
35199158 | Negative_Correlation | N-desmethylstobadine | Meropenem
35199158 | Negative_Correlation | Disulfiram | Infections
35199158 | Negative_Correlation | Meropenem | Acinetobacter Infections
35199158 | Negative_Correlation | N-desmethylstobadine | Disulfiram
35199158 | Association | Inosine Monophosphate | Infections
38253539 | Association | Neoplasms | MSH2
38253539 | Association | Neoplasms | MSH6
38253539 | Association | Prostatic Neoplasms | HLA-A
38253539 | Association | Neoplasms | CD274
38253539 | Association | Neoplasms | CTLA4
37321470 | Association | Colorectal Neoplasms | PKM
37321470 | Negative_Correlation | oridonin | PKM
37321470 | Negative_Correlation | oridonin | KPNA1
37321470 | Negative_Correlation | oridonin | Colorectal Neoplasms
37321470 | Cotreatment | oridonin | fructose-1 6-diphosphate
37321470 | Negative_Correlation | oridonin | Cysteine
37321470 | Negative_Correlation | oridonin | Neoplasms
37321470 | Association | KPNA1 | PKM
32661323 | Association | Cisplatin | IPO4
32661323 | Positive_Correlation | Cisplatin | CEBPD
32661323 | Association | Drug-Related Side Effects and Adverse Reactions | IPO4
32661323 | Association | 2-(morpholin-4-yl)benzo(h)chromen-4-one | Uterine Cervical Neoplasms
32661323 | Association | 2-(morpholin-4-yl)benzo(h)chromen-4-one | IPO4
32661323 | Negative_Correlation | 2-(morpholin-4-yl)benzo(h)chromen-4-one | CEBPD
32661323 | Positive_Correlation | CEBPD | PRKDC
32661323 | Negative_Correlation | 2-(morpholin-4-yl)benzo(h)chromen-4-one | PRKDC
32661323 | Positive_Correlation | PRKDC | IPO4
32661323 | Negative_Correlation | Cisplatin | Uterine Cervical Neoplasms
32661323 | Association | CEBPD | IPO4
32661323 | Negative_Correlation | 2-(morpholin-4-yl)benzo(h)chromen-4-one | Cisplatin
32661323 | Association | Uterine Cervical Neoplasms | IPO4
32661323 | Positive_Correlation | Cisplatin | PRKDC
32661323 | Positive_Correlation | Cisplatin | Drug-Related Side Effects and Adverse Reactions
32661323 | Association | Uterine Cervical Neoplasms | PRKDC
32661323 | Association | Drug-Related Side Effects and Adverse Reactions | CEBPD
32661323 | Association | Uterine Cervical Neoplasms | CEBPD
33950285 | Positive_Correlation | COVID-19 | PAK1
33950285 | Positive_Correlation | COVID-19 | GZMB
33950285 | Association | COVID-19 | CD8A
33950285 | Positive_Correlation | COVID-19 | CXCL9
33950285 | Association | COVID-19 | MZB1
33950285 | Association | Histiocytosis | ITGAX
33950285 | Positive_Correlation | COVID-19 | STAT1
33950285 | Association | COVID-19 | CD163
33950285 | Association | Histiocytosis | CD68
38321132 | Association | Rosacea | IL1B
38321132 | Association | Rosacea | CXCL10
38321132 | Association | Rosacea | TLR8
38321132 | Association | Acne Vulgaris | CXCL10
38321132 | Association | Acne Vulgaris | CCL4
38321132 | Association | Acne Vulgaris | MMP9
38321132 | Association | Rosacea | MMP9
38321132 | Association | Acne Vulgaris | CXCR4
38321132 | Association | Rosacea | CXCR4
38321132 | Association | Rosacea | CCR5
38321132 | Association | Acne Vulgaris | CCR5
38321132 | Association | Acne Vulgaris | IL1B
35743140 | Association | Fibrosis | CCR5
35743140 | Association | Fatty Liver Alcoholic | FGF21
35743140 | Association | Liver Cirrhosis | CCL2
35743140 | Positive_Correlation | Triglycerides | FGF21
35743140 | Association | Inflammation | CCL2
35743140 | Positive_Correlation | Ccr2 | Ly6c1
35743140 | Association | Obesity | FGF21
35743140 | Association | Fatty Liver Alcoholic | Ccr5
35743140 | Association | Fibrosis | Ccr2
35743140 | Association | Fibrosis | FGF21
35743140 | Association | Metabolic Diseases | FGF21
35743140 | Association | Glucose | FGF21
35743140 | Association | Fatty Liver | Ccr2
35743140 | Positive_Correlation | Ccr5 | Ly6c1
35743140 | Association | Fibrosis | Ccr5
35743140 | Association | Fatty Liver | CCR5
35743140 | Association | Lipids | FGF21
35743140 | Association | Inflammation | Ccr5
35743140 | Association | Fatty Liver Alcoholic | Ccr2
35743140 | Association | Inflammation | FGF21
35743140 | Association | Fatty Liver | FGF21
25855727 | Association | Protactinium | Pbrm1
25855727 | Association | PBRM1 | Ipo5
35893012 | Association | COVID-19 | N
35893012 | Association | 6-methyladenine | COVID-19
35893012 | Association | Adenosine | COVID-19
35922041 | Association | Runx2 | Hdac6
35922041 | Positive_Correlation | Hdac6 | Ipo7
35922041 | Negative_Correlation | Runx2 | Ipo7
36411478 | Association | COVID-19 | HLA-A
36758207 | Association | Tryptophan | IDO1
36758207 | Association | CCR5 | CDK1
36758207 | Association | CXCR3 | CDK1
36758207 | Association | CCR4 | CDK1
34995814 | Association | Smad5 | Msx1
34995814 | Association | Msx1 | Ipo7
34995814 | Positive_Correlation | Bmp4 | Msx1
34995814 | Positive_Correlation | Smad1 | Msx1
34995814 | Association | Bmp4 | Ipo7
37533854 | Association | Multiple Organ Failure | TCN1
37533854 | Association | Multiple Organ Failure | GUSB
37533854 | Association | Multiple Organ Failure | RPL3
37533854 | Association | Multiple Organ Failure | CD8A
37533854 | Association | Multiple Organ Failure | BPI
37533854 | Positive_Correlation | Multiple Organ Failure | MMP8
37533854 | Association | Multiple Organ Failure | LTF
37533854 | Association | Multiple Organ Failure | HLA-DMB
37533854 | Association | Multiple Organ Failure | LCN2
37533854 | Positive_Correlation | Multiple Organ Failure | OLFM4
37533854 | Positive_Correlation | Multiple Organ Failure | S100A12
37533854 | Association | Multiple Organ Failure | EEF1G
37533854 | Association | Multiple Organ Failure | MRPL3
37533854 | Association | Multiple Organ Failure | RETN
24915083 | Association | Sodium Dodecyl Sulfate | CD8A
38357936 | Positive_Correlation | FBXO32 | CCL5
38357936 | Positive_Correlation | CCL5 | TRIM63
38255199 | Negative_Correlation | RAP-103 | APP
38255199 | Association | CFL1 | CXCR4
38255199 | Association | Retrograde Degeneration | CFL1
38255199 | Association | IL6 | PRNP
38255199 | Association | ITIH4 | PRNP
38255199 | Negative_Correlation | CCR5 | APP
36216889 | Association | Diabetes Mellitus Type 2 | HNF1A
36792961 | Positive_Correlation | Reactive Oxygen Species | Mapk14
36792961 | Negative_Correlation | Trp53-ps | Ipo7
36792961 | Association | Ipo7 | Mapk14
36792961 | Negative_Correlation | Reactive Oxygen Species | Ipo7
31585951 | Association | Neoplasms | HLA-A
25948812 | Association | IFNG | CIITA
25948812 | Association | CIITA | XPO1
25948812 | Association | leptomycin B | CIITA
35588577 | Association | Precancerous Conditions | IPO7
35588577 | Association | IPO7 | EGFR
35588577 | Association | Pancreatic Neoplasms | EGFR
35588577 | Association | Neoplasms | IPO7
35588577 | Negative_Correlation | Neoplasm Metastasis | IPO7
35588577 | Association | Pyruvate Carboxylase Deficiency Disease | EGFR
35588577 | Positive_Correlation | Pancreatic Neoplasms | IPO7
35588577 | Positive_Correlation | Pyruvate Carboxylase Deficiency Disease | IPO7
35588577 | Association | Pyruvate Carboxylase Deficiency Disease | ERBB2
35588577 | Positive_Correlation | IPO7 | ERBB2
38001943 | Association | APP | PRNP
38001943 | Association | Alzheimer Disease | KNTC1
38001943 | Positive_Correlation | CCR5 | KNTC1
38001943 | Positive_Correlation | APP | KNTC1
38001943 | Association | DLG4 | SLC17A7
38001943 | Association | CFL1 | KNTC1
38001943 | Association | PRNP | KNTC1
38001943 | Association | APP | CXCR4
38001943 | Positive_Correlation | CXCR4 | KNTC1
38001943 | Association | Alzheimer Disease | CCR5
38001943 | Positive_Correlation | Tooth Loss | KNTC1
38001943 | Association | Alzheimer Disease | APP
38001943 | Association | Alzheimer Disease | CXCR4
20805509 | Association | Cebpd | Ipo4
20805509 | Association | Breast Neoplasms | Cebpd
20805509 | Negative_Correlation | Neoplasms | Cebpd
20805509 | Association | Fanconi Anemia | Ipo4
20805509 | Positive_Correlation | Mitomycin | Cebpd
20805509 | Association | Cebpd | IMP4
20805509 | Negative_Correlation | Neoplasms | CEBPD
20805509 | Association | Cebpd | IPO4
20805509 | Association | Cebpd | Fancd2
20805509 | Negative_Correlation | Mitomycin | Breast Neoplasms
37986737 | Association | Ipo5 | Fbxo24
37986737 | Association | Infertility Male | Fbxo24
37986737 | Association | Kpnb1 | Fbxo24
35953728 | Association | COVID-19 | CXCR4
34548411 | Association | COVID-19 | CD63
34548411 | Association | COVID-19 | SELL
34548411 | Association | COVID-19 | CD69
34548411 | Association | COVID-19 | ITGAL
34548411 | Association | COVID-19 | CXCR4
35002537 | Association | COVID-19 | CD69
35002537 | Association | COVID-19 | MMP9
35002537 | Association | COVID-19 | HLA-G
35002537 | Association | Diabetes Complications | AGER
35002537 | Association | COVID-19 | FN1
35002537 | Association | COVID-19 | CXCR4
35002537 | Association | COVID-19 | ISG15
35002537 | Association | COVID-19 | FOXP3
35002537 | Association | Diabetes Complications | RENBP
35002537 | Association | AGER | RENBP
35225687 | Association | Quinolones | qnrS1
36572146 | Negative_Correlation | cenicriviroc | Respiratory Distress Syndrome
36572146 | Negative_Correlation | CCL4 | CCR2
36572146 | Positive_Correlation | cenicriviroc | CCL4
36572146 | Negative_Correlation | cenicriviroc | CCR2
36572146 | Association | COVID-19 | CCR2
36572146 | Association | CCL2 | CCR2
36572146 | Negative_Correlation | cenicriviroc | COVID-19
36572146 | Positive_Correlation | cenicriviroc | CCL2
36572146 | Association | COVID-19 | CCR5
36572146 | Negative_Correlation | cenicriviroc | CCR5
37466313 | Positive_Correlation | Hat1 | KPNA2
37466313 | Association | Hat1 | CGAS
37466313 | Association | STING1 | KPNA2
37466313 | Association | CGAS | STING1
37466313 | Association | Hat1 | STING1
18245089 | Association | CIITA | XPO1
18245089 | Negative_Correlation | CIITA | MAPK1
18245089 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | CIITA
18245089 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | MAPK1
18245089 | Association | CIITA | MAPK3
18245089 | Association | Guanosine Triphosphate | CIITA
18245089 | Association | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | XPO1
22730302 | Association | Guanosine Triphosphate | RAN
22730302 | Association | IPO5 | RRM1
22730302 | Negative_Correlation | CPEB3 | STAT5B
22730302 | Positive_Correlation | N-Methylaspartate | CPEB3
22730302 | Association | RRM1 | XPO1
22730302 | Association | CPEB3 | IPO5
22730302 | Association | CPEB3 | RRM1
22730302 | Association | CPEB3 | XPO1
15128813 | Association | HIV Infections | CXCR4
15128813 | Negative_Correlation | Tuberculosis | CCR5
15128813 | Positive_Correlation | Tuberculosis | CCL5
15128813 | Association | CCR5 | ITIH4
15128813 | Positive_Correlation | Infections | CXCR4
15128813 | Positive_Correlation | Tuberculosis | CX3CL1
15128813 | Positive_Correlation | Tuberculosis | CCL4
15128813 | Association | Acquired Immunodeficiency Syndrome | ITIH4
15128813 | Positive_Correlation | Tuberculosis | CXCR4
12799413 | Association | Kpna1 | IFNGR1
12799413 | Association | Kpna1 | IFNG
27349314 | Association | Polysaccharides | RAB7B
29436389 | Positive_Correlation | Cd1d1 | Irf8
29436389 | Association | Irf8 | Itgae
29436389 | Association | Cd8a | Irf8
29436389 | Association | Atherosclerosis | Irf8
20191895 | Association | Leukemia Myeloid Acute | IL7R
20191895 | Association | Leukemia Myeloid Acute | IL3RA
20191895 | Association | Leukemia | IL7R
20191895 | Association | Neoplasm Residual | IL3RA
20191895 | Association | Leukemia | CXCR4
20191895 | Association | Acute erythroleukemia | IL3RA
20191895 | Association | Leukemia Myeloid Acute | CXCR4
36437532 | Association | Developmental Disabilities | IRX5
36437532 | Association | Developmental Disabilities | PAX9
36437532 | Positive_Correlation | Developmental Disabilities | rs3922616
36437532 | Association | Developmental Disabilities | IGF2BP3
32099098 | Association | Substance-Related Disorders | rs9291211
32099098 | Association | Depressive Disorder | rs9291211
32099098 | Positive_Correlation | Musculoskeletal Diseases | rs201123820
32099098 | Positive_Correlation | Musculoskeletal Diseases | rs9291211
32099098 | Association | Opioid-Related Disorders | rs9291211
32099098 | Association | Opioid-Related Disorders | SDCCAG8
32099098 | Association | Opioid-Related Disorders | rs201123820
32099098 | Association | Depressive Disorder | BEND4
32099098 | Association | Depressive Disorder | SLC30A9
32099098 | Association | Schizophrenia | SDCCAG8
32099098 | Association | Substance-Related Disorders | BEND4
32099098 | Association | Musculoskeletal Diseases | LINC02837
32099098 | Association | Musculoskeletal Diseases | BEND4
32099098 | Association | Opioid-Related Disorders | BEND4
32099098 | Association | Opioid-Related Disorders | LINC02837
3026773 | Association | Leukemia Lymphocytic Chronic B-Cell | IPO8
3026773 | Association | Hodgkin Disease | IPO8
3026773 | Association | HLA-A | IPO5
37221323 | Association | Pulmonary Disease Chronic Obstructive | TNFRSF17
38336912 | Association | Schizophrenia | Kpna1
38336912 | Positive_Correlation | Phencyclidine | Schizophrenia
38336912 | Association | Mental Disorders | Kpna1
38336912 | Positive_Correlation | Phencyclidine | Mental Disorders
38336912 | Association | Schizophrenia | KPNA1
38271187 | Association | Neoplasms | Ifng
38271187 | Association | Pigmentation Disorders | Tyr
37048077 | Positive_Correlation | TGFB1 | INHBE
37048077 | Association | BMP1 | INHBE
37048077 | Association | Neoplasms Germ Cell and Embryonal | INHBE
37048077 | Association | Neoplasms Germ Cell and Embryonal | IPO5
37048077 | Association | IPO5 | BMP4
37048077 | Association | Testicular Germ Cell Tumor | BMP1
37048077 | Association | Testicular Germ Cell Tumor | INHBE
37048077 | Association | BMP4 | TGFB1
37048077 | Association | IPO5 | TGFB1
37048077 | Positive_Correlation | TP53 | INHBE
37048077 | Association | Bmp4 | Ipo5
37048077 | Association | Neoplasms Germ Cell and Embryonal | BMP1
37048077 | Association | Neoplasms | BMP1
37048077 | Positive_Correlation | Neoplasms | INHBE
34944610 | Negative_Correlation | COVID-19 | CXCR4
34944610 | Negative_Correlation | Virus Diseases | CXCR4
34944610 | Negative_Correlation | Virus Diseases | IFNGR1
34944610 | Negative_Correlation | COVID-19 | IFNGR1
38508137 | Association | Fibrolamellar hepatocellular carcinoma | TRBV20OR9-2
38508137 | Association | Fibrolamellar hepatocellular carcinoma | DNAJB1
38508137 | Association | DNAJB1 | PRKACA
38508137 | Association | Fibrolamellar hepatocellular carcinoma | PRKACA
35452519 | Negative_Correlation | leronlimab | Post-Acute COVID-19 Syndrome
35452519 | Negative_Correlation | leronlimab | CCR5
35452519 | Association | Post-Acute COVID-19 Syndrome | CCR5
23902946 | Association | Osteoporosis | rs4454537
23902946 | Positive_Correlation | Bone Diseases Metabolic | rs9728351
23902946 | Positive_Correlation | Bone Diseases Metabolic | rs4454537
23902946 | Association | Bone Diseases Metabolic | GREM2
23902946 | Association | Osteoporosis | rs9728351
23902946 | Positive_Correlation | Bone Diseases Metabolic | rs11588607
23902946 | Association | Osteoporosis | GREM2
35714803 | Association | COVID-19 | HLA-A
35714803 | Association | COVID-19 | FURIN
35714803 | Association | COVID-19 | AP2B1
35714803 | Association | COVID-19 | TNF
35714803 | Association | COVID-19 | TMPRSS2
35714803 | Association | COVID-19 | TLL1
35714803 | Association | COVID-19 | CCR5
1528302 | Association | Lymphoma | IPO4
38256260 | Association | ITIH4 | CXCR4
19545931 | Negative_Correlation | leptomycin B | CD80
19545931 | Negative_Correlation | leptomycin B | CD86
19545931 | Association | XPO1 | CD83
19545931 | Negative_Correlation | leptomycin B | CD83
19545931 | Negative_Correlation | leptomycin B | XPO1
38158756 | Association | UL44 | IMPA1
38158756 | Association | UL44 | CDK1
38158756 | Association | Impa2 | UL44
21840941 | Association | Pou5f1 | Kpna7
21840941 | Association | Kpna3 | Pou5f1
21840941 | Negative_Correlation | Impa2 | Pou5f1
36012436 | Association | Virus Diseases | CCR5
36012436 | Association | Virus Diseases | TMPRSS2
37328841 | Positive_Correlation | Foxj1 | Lrrc6
37328841 | Association | Ciliopathies | Lrrc6
34719258 | Positive_Correlation | Cerebral Hemorrhage | Prkaca
34719258 | Association | Nerve Degeneration | Il18
34719258 | Negative_Correlation | Maraviroc | Neurobehavioral Manifestations
34719258 | Positive_Correlation | Cerebral Hemorrhage | Nlrp1a
34719258 | Association | Camp | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Il1b
34719258 | Association | Nerve Degeneration | Prkaca
34719258 | Negative_Correlation | Maraviroc | Pycard
34719258 | Association | Nerve Degeneration | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Il18
34719258 | Association | Nerve Degeneration | Gsdmd
34719258 | Association | Cerebral Hemorrhage | Pycard
34719258 | Positive_Correlation | Maraviroc | Prkaca
34719258 | Positive_Correlation | Cerebral Hemorrhage | Ccl5
34719258 | Association | Neurobehavioral Manifestations | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Gsdmd
34719258 | Association | Cerebral Hemorrhage | Ccr5
34719258 | Association | Nerve Degeneration | Ccr5
34719258 | Association | Cerebral Hemorrhage | Creb1
34719258 | Association | Heredodegenerative Disorders Nervous System | Ccr5
34719258 | Association | Inflammation | Ccr5
34719258 | Association | Nerve Degeneration | Creb1
34719258 | Association | Ccr5 | Creb1
34719258 | Association | Nerve Degeneration | Pycard
34719258 | Positive_Correlation | Maraviroc | Creb1
34719258 | Association | Nerve Degeneration | Il1b
34719258 | Association | Creb1 | Nlrp1a
34719258 | Positive_Correlation | Ccr5 | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Cerebral Hemorrhage
34719258 | Negative_Correlation | Maraviroc | Ccr5
34719258 | Negative_Correlation | Maraviroc | Nerve Degeneration
34719258 | Association | Camp | Creb1
37833254 | Association | Neoplasms | CCR5
37833254 | Association | Immune System Diseases | CXCR4
37833254 | Association | Neoplasms | CXCR4
37833254 | Association | Immune System Diseases | CCR5
38260393 | Association | Disease | CD8A
41952350 | Association | Growth Disorders | HLA-C
41737989 | Association | Prostatic Neoplasms | Steap1
41301809 | Association | Glioblastoma | EGFR
41301809 | Association | Glioblastoma | PIK3R1
41301809 | Association | Glioblastoma | TP53
9664088 | Association | ETV6 | RUNX1
9664088 | Association | Neoplasms | ETV6
9664088 | Association | Neoplasms | RUNX1
9664088 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | ETV6
9664088 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | RUNX1
41093624 | Negative_Correlation | EP300 | CD8A
41093624 | Association | Neoplasms | CD8A
41093624 | Negative_Correlation | EP300 | STAT1
41093624 | Positive_Correlation | Neoplasms | EP300
41093624 | Positive_Correlation | EP300 | SOCS1
41537416 | Association | Neoplasms | HLA-F
41537416 | Association | HLA-E | HLA-F
41537416 | Association | Autoimmune Diseases | HLA-F
41537416 | Association | Communicable Diseases | HLA-F
41153412 | Association | Infections | HLA-E
41153412 | Positive_Correlation | COVID-19 | rs7301582
41153412 | Association | Infections | rs7301582
41153412 | Positive_Correlation | COVID-19 | rs1264457
41153412 | Association | COVID-19 | rs1051792
41153412 | Association | Infections | rs1264457
41153412 | Association | Infections | MICB
41153412 | Association | COVID-19 | KLRC2
41153412 | Association | Infections | KLRC1
41153412 | Association | COVID-19 | KLRC1
41153412 | Association | COVID-19 | HLA-E
41153412 | Association | COVID-19 | MICA
41746040 | Association | Mucositis | Trav6-3
41746040 | Association | Communicable Diseases | Mr1
41746040 | Association | Influenza Human | Mr1
41746040 | Association | Cholera | Mr1
41746040 | Positive_Correlation | Cd4 | Mr1
42067178 | Positive_Correlation | MIR4306 | CXCR4
42067178 | Positive_Correlation | MIAT | CXCR4
42067178 | Association | Uveal melanoma | CXCR4
42067178 | Association | Uveal melanoma | MIAT
42067178 | Association | MIR4306 | MIAT
42067178 | Negative_Correlation | Neoplasms | MIR4306
42067178 | Association | Uveal melanoma | MIR4306
42067178 | Positive_Correlation | Hydrogen Peroxide | MIAT
41629286 | Association | meplazumab | S
41629286 | Association | S | BSG
41629286 | Negative_Correlation | meplazumab | BSG
41629286 | Positive_Correlation | COVID-19 | AHR
41629286 | Association | COVID-19 | BSG
41629286 | Association | Virus Diseases | BSG
40912479 | Association | Inflammation | IL1RL1
40912479 | Positive_Correlation | IL1RL1 | CD8A
40912479 | Negative_Correlation | Kidney Neoplasms | IL1RL1
40912479 | Association | Carcinoma Renal Cell | IL1RL1
40912479 | Association | HLA-A | IL1RL1
40912479 | Association | Neoplasms | IL1RL1
40935567 | Positive_Correlation | Hypophysitis | p.P191L
40935567 | Positive_Correlation | Myotonic Dystrophy | p.P191L
40935567 | Positive_Correlation | #3107# | Myotonic Dystrophy
40935567 | Association | Alopecia Neurologic Defects and Endocrinopathy Syndrome | p.P191L
40935567 | Positive_Correlation | Hypophysitis | #3107#
40935567 | Association | Thyroiditis | p.P191L
40935567 | Association | Thyroiditis | #3107#
40935567 | Association | Alopecia Neurologic Defects and Endocrinopathy Syndrome | HLA-A
40935567 | Positive_Correlation | Colitis | #3107#
40935567 | Positive_Correlation | Colitis | p.P191L
40935567 | Association | Myotonic Dystrophy | NLRC5
40935567 | Positive_Correlation | IFNG | TAP1
40935567 | Positive_Correlation | IFNG | B2M
40935567 | Association | Alopecia Neurologic Defects and Endocrinopathy Syndrome | #3107#
40935567 | Positive_Correlation | Hypothyroidism | #3107#
40935567 | Positive_Correlation | Myotonic Dystrophy | #3107#
40935567 | Association | Hypophysitis | NLRC5
40935567 | Association | Myotonic Dystrophy | HLA-C
