37403086 | @CHEMICAL_demethylzeylasteral | demethylzeylasteral | 30 | 19 | Chemical | chemical | demethylzeylasteral
36559044 | @DISEASE_Malaria | Malaria | 164 | 7 | Disease | disease | malaria
36559044 | @GENE_CXCR4 | CXCR4 | 438 | 31 | Gene | gene | C-X-C chemokine receptor type 4
36559044 | @GENE_CXCR4 | CXCR4 | 471 | 5 | Gene | gene | CXCR4
36559044 | @GENE_HMGB1 | HMGB1 | 490 | 33 | Gene | gene | high-mobility group box 1 protein
36559044 | @GENE_HMGB1 | HMGB1 | 525 | 5 | Gene | gene | HMGB1
36559044 | @CHEMICAL_Calcium | Calcium | 572 | 7 | Chemical | chemical | calcium
36559044 | @DISEASE_Thrombosis | Thrombosis | 599 | 8 | Disease | disease | thrombus
36559044 | @DISEASE_Malaria | Malaria | 1238 | 7 | Disease | disease | malaria
36559044 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1247 | 20 | Disease | disease | autoimmune disorders
36559044 | @DISEASE_Cardiovascular_Diseases | Cardiovascular Diseases | 1269 | 22 | Disease | disease | cardiovascular disease
36559044 | @DISEASE_Thrombosis | Thrombosis | 1293 | 8 | Disease | disease | thrombus
36559044 | @DISEASE_Neoplasms | Neoplasms | 1313 | 12 | Disease | disease | malignancies
36559044 | @DISEASE_Virus_Diseases | Virus Diseases | 1331 | 16 | Disease | disease | viral infections
36617676 | @GENE_HLA_C | HLA-C | 25 | 5 | Gene | gene | HLA-C
36617676 | @DISEASE_COVID_19 | COVID-19 | 78 | 8 | Disease | disease | COVID-19
36692327 | @DISEASE_Hemorrhagic_Fever_Crimean | Hemorrhagic Fever Crimean | 27 | 31 | Disease | disease | Crimean-Congo Hemorrhagic Fever
36692327 | @DISEASE_Hemorrhagic_Fever_Crimean | Hemorrhagic Fever Crimean | 80 | 31 | Disease | disease | Crimean-Congo hemorrhagic fever
36692327 | @DISEASE_Hemorrhagic_Fever_Crimean | Hemorrhagic Fever Crimean | 113 | 4 | Disease | disease | CCHF
36692327 | @DISEASE_Hemorrhagic_Fever_Crimean | Hemorrhagic Fever Crimean | 224 | 4 | Disease | disease | CCHF
36692327 | @DISEASE_COVID_19 | COVID-19 | 348 | 8 | Disease | disease | COVID-19
36692327 | @DISEASE_Lymphohistiocytosis_Hemophagocytic | Lymphohistiocytosis Hemophagocytic | 425 | 34 | Disease | disease | hemophagocytic lymphohistiocytosis
36692327 | @DISEASE_Lymphohistiocytosis_Hemophagocytic | Lymphohistiocytosis Hemophagocytic | 461 | 3 | Disease | disease | HLH
36692327 | @GENE_IL18 | IL18 | 640 | 19 | Gene | gene | interleukin (IL) 18
36692327 | @GENE_CCL20 | CCL20 | 661 | 38 | Gene | gene | macrophage inflammatory protein 3alpha
36692327 | @GENE_IL33 | IL33 | 705 | 5 | Gene | gene | IL-33
36692327 | @GENE_TNF | TNF | 731 | 27 | Gene | gene | tumor necrosis factor-alpha
36692327 | @GENE_IL6 | IL6 | 760 | 4 | Gene | gene | IL-6
36692327 | @GENE_CXCL8 | CXCL8 | 766 | 5 | Gene | gene | CXCL8
36692327 | @GENE_CXCL8 | CXCL8 | 782 | 4 | Gene | gene | IL-8
36692327 | @GENE_CCR2 | CCR2 | 818 | 24 | Gene | gene | C-C chemokine receptor 2
36692327 | @GENE_CCR5 | CCR5 | 847 | 4 | Gene | gene | CCR5
36692327 | @GENE_CCR2 | CCR2 | 968 | 4 | Gene | gene | CCR2
36692327 | @GENE_CCR5 | CCR5 | 977 | 4 | Gene | gene | CCR5
36692327 | @DISEASE_Hemorrhagic_Fever_Crimean | Hemorrhagic Fever Crimean | 1033 | 4 | Disease | disease | CCHF
36692327 | @DISEASE_Hemorrhagic_Fever_Crimean | Hemorrhagic Fever Crimean | 1070 | 4 | Disease | disease | CCHF
36692327 | @DISEASE_Lymphohistiocytosis_Hemophagocytic | Lymphohistiocytosis Hemophagocytic | 1086 | 3 | Disease | disease | HLH
36692327 | @DISEASE_Lymphohistiocytosis_Hemophagocytic | Lymphohistiocytosis Hemophagocytic | 1095 | 3 | Disease | disease | HLH
36692327 | @DISEASE_Hemorrhagic_Fever_Crimean | Hemorrhagic Fever Crimean | 1112 | 4 | Disease | disease | CCHF
36692327 | @CHEMICAL_Steroids | Steroids | 1181 | 7 | Chemical | chemical | steroid
36702907 | @GENE_LGALS3 | LGALS3 | 0 | 10 | Gene | gene | Galectin-3
36702907 | @DISEASE_COVID_19 | COVID-19 | 49 | 8 | Disease | disease | COVID-19
36702907 | @GENE_LGALS3 | LGALS3 | 68 | 10 | Gene | gene | Galectin-3
36702907 | @GENE_LGALS3 | LGALS3 | 80 | 5 | Gene | gene | Gal-3
36702907 | @DISEASE_Inflammation | Inflammation | 137 | 12 | Disease | disease | inflammatory
36702907 | @DISEASE_Infections | Infections | 160 | 9 | Disease | disease | infection
36702907 | @DISEASE_Fibrosis | Fibrosis | 174 | 8 | Disease | disease | fibrosis
36702907 | @GENE_LGALS3 | LGALS3 | 238 | 5 | Gene | gene | Gal-3
36702907 | @DISEASE_COVID_19 | COVID-19 | 316 | 8 | Disease | disease | COVID-19
36702907 | @DISEASE_COVID_19 | COVID-19 | 354 | 8 | Disease | disease | COVID-19
36702907 | @GENE_LGALS3 | LGALS3 | 636 | 5 | Gene | gene | Gal-3
36702907 | @GENE_IL1B | IL1B | 643 | 8 | Gene | gene | IL-1beta
36702907 | @GENE_TNF | TNF | 653 | 9 | Gene | gene | TNF-alpha
36702907 | @GENE_IL12B | IL12B | 664 | 5 | Gene | gene | IL-12
36702907 | @GENE_IL10 | IL10 | 671 | 5 | Gene | gene | IL-10
36702907 | @GENE_LGALS3 | LGALS3 | 785 | 5 | Gene | gene | Gal-3
36702907 | @GENE_IL1B | IL1B | 795 | 8 | Gene | gene | IL-1beta
36702907 | @GENE_LGALS3 | LGALS3 | 843 | 5 | Gene | gene | Gal-3
36702907 | @GENE_TNF | TNF | 850 | 9 | Gene | gene | TNF-alpha
36702907 | @GENE_IL12B | IL12B | 864 | 5 | Gene | gene | IL-12
36702907 | @GENE_LGALS3 | LGALS3 | 909 | 5 | Gene | gene | Gal-3
36702907 | @GENE_IL10 | IL10 | 916 | 5 | Gene | gene | IL-10
36702907 | @GENE_IL1B | IL1B | 922 | 8 | Gene | gene | IL-1beta
36702907 | @GENE_IL10 | IL10 | 935 | 5 | Gene | gene | IL-10
36702907 | @GENE_TNF | TNF | 941 | 9 | Gene | gene | TNF-alpha
36702907 | @GENE_LGALS3 | LGALS3 | 996 | 5 | Gene | gene | Gal-3
36702907 | @CHEMICAL_Urea | Urea | 1006 | 4 | Chemical | chemical | urea
36702907 | @GENE_LGALS3 | LGALS3 | 1080 | 5 | Gene | gene | Gal-3
36702907 | @GENE_TPT1 | TPT1 | 1090 | 3 | Gene | gene | p02
36702907 | @GENE_LGALS3 | LGALS3 | 1143 | 5 | Gene | gene | Gal-3
36702907 | @DISEASE_COVID_19 | COVID-19 | 1249 | 8 | Disease | disease | COVID-19
36702907 | @GENE_NCAM1 | NCAM1 | 1309 | 4 | Gene | gene | CD56
36702907 | @GENE_TNF | TNF | 1319 | 9 | Gene | gene | TNF-alpha
36702907 | @GENE_NCAM1 | NCAM1 | 1341 | 4 | Gene | gene | CD56
36702907 | @GENE_LGALS3 | LGALS3 | 1351 | 5 | Gene | gene | Gal-3
36702907 | @GENE_CCR5 | CCR5 | 1393 | 4 | Gene | gene | CCR5
36702907 | @GENE_LGALS3 | LGALS3 | 1428 | 5 | Gene | gene | Gal-3
36702907 | @DISEASE_COVID_19 | COVID-19 | 1479 | 8 | Disease | disease | COVID-19
36702907 | @GENE_LGALS3 | LGALS3 | 1510 | 5 | Gene | gene | Gal-3
36702907 | @GENE_TNF | TNF | 1517 | 9 | Gene | gene | TNF-alpha
36702907 | @GENE_CCR5 | CCR5 | 1531 | 4 | Gene | gene | CCR5
36702907 | @DISEASE_Inflammation | Inflammation | 1570 | 12 | Disease | disease | inflammation
36741450 | @DISEASE_COVID_19 | COVID-19 | 44 | 8 | Disease | disease | COVID-19
36741450 | @DISEASE_HIV_Infections | HIV Infections | 58 | 3 | Disease | disease | HIV
36741450 | @DISEASE_COVID_19 | COVID-19 | 203 | 8 | Disease | disease | COVID-19
36741450 | @VARIANT_rs17713054 | rs17713054 | 477 | 10 | Variant | variant | rs17713054
36741450 | @DISEASE_HIV_Infections | HIV Infections | 506 | 13 | Disease | disease | HIV infection
36741450 | @VARIANT_rs17713054 | rs17713054 | 707 | 10 | Variant | variant | rs17713054
36741450 | @DISEASE_HIV_Infections | HIV Infections | 771 | 3 | Disease | disease | HIV
36741450 | @DISEASE_Infections | Infections | 1060 | 9 | Disease | disease | infection
36741450 | @VARIANT_rs17713054 | rs17713054 | 1141 | 10 | Variant | variant | rs17713054
36741450 | @VARIANT_rs17713054 | rs17713054 | 1190 | 10 | Variant | variant | rs17713054
36741450 | @DISEASE_HIV_Infections | HIV Infections | 1277 | 13 | Disease | disease | HIV infection
36972468 | @GENE_NUP37 | NUP37 | 68 | 3 | Gene | gene | P37
36972468 | @DISEASE_COVID_19 | COVID-19 | 209 | 8 | Disease | disease | COVID-19
36972468 | @GENE_NUP37 | NUP37 | 283 | 3 | Gene | gene | p37
36972468 | @GENE_NUP37 | NUP37 | 305 | 3 | Gene | gene | p37
36972468 | @GENE_NUP37 | NUP37 | 644 | 3 | Gene | gene | p37
36972468 | @CHEMICAL_tecovirimat | tecovirimat | 937 | 11 | Chemical | chemical | tecovirimat
36972468 | @GENE_NUP37 | NUP37 | 1003 | 3 | Gene | gene | p37
36972468 | @DISEASE_Mpox_(monkeypox) | Mpox (monkeypox) | 1041 | 9 | Disease | disease | monkeypox
37113113 | @DISEASE_COVID_19 | COVID-19 | 55 | 8 | Disease | disease | COVID-19
37113113 | @DISEASE_COVID_19 | COVID-19 | 220 | 8 | Disease | disease | COVID-19
37113113 | @DISEASE_Death | Death | 377 | 6 | Disease | disease | deaths
37113113 | @DISEASE_COVID_19 | COVID-19 | 391 | 8 | Disease | disease | COVID-19
37113113 | @DISEASE_Death | Death | 516 | 9 | Disease | disease | mortality
37113113 | @DISEASE_COVID_19 | COVID-19 | 793 | 8 | Disease | disease | COVID-19
37113113 | @DISEASE_Death | Death | 971 | 9 | Disease | disease | mortality
37113113 | @DISEASE_COVID_19 | COVID-19 | 1104 | 8 | Disease | disease | COVID-19
37113113 | @DISEASE_Death | Death | 1163 | 9 | Disease | disease | mortality
37113113 | @DISEASE_Death | Death | 1257 | 9 | Disease | disease | mortality
37113113 | @DISEASE_COVID_19 | COVID-19 | 1270 | 8 | Disease | disease | COVID-19
37113113 | @DISEASE_Death | Death | 1357 | 9 | Disease | disease | mortality
37113113 | @DISEASE_Death | Death | 1532 | 9 | Disease | disease | mortality
37113113 | @DISEASE_COVID_19 | COVID-19 | 1690 | 8 | Disease | disease | COVID-19
37113113 | @DISEASE_Death | Death | 1699 | 9 | Disease | disease | mortality
37291167 | @DISEASE_COVID_19 | COVID-19 | 89 | 18 | Disease | disease | COVID-19 infection
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 112 | 14 | Disease | disease | osteoarthritis
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 180 | 14 | Disease | disease | osteoarthritis
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 196 | 2 | Disease | disease | OA
37291167 | @DISEASE_COVID_19 | COVID-19 | 213 | 37 | Disease | disease | coronavirus 2019 (COVID-19) infection
37291167 | @DISEASE_COVID_19 | COVID-19 | 349 | 18 | Disease | disease | COVID-19 infection
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 568 | 2 | Disease | disease | OA
37291167 | @DISEASE_COVID_19 | COVID-19 | 575 | 18 | Disease | disease | COVID-19 infection
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 648 | 2 | Disease | disease | OA
37291167 | @DISEASE_COVID_19 | COVID-19 | 666 | 8 | Disease | disease | COVID-19
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 808 | 2 | Disease | disease | OA
37291167 | @DISEASE_COVID_19 | COVID-19 | 815 | 8 | Disease | disease | COVID-19
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 1392 | 2 | Disease | disease | OA
37291167 | @DISEASE_COVID_19 | COVID-19 | 1399 | 8 | Disease | disease | COVID-19
37291167 | @GENE_CXCR4 | CXCR4 | 1493 | 5 | Gene | gene | CXCR4
37291167 | @GENE_EGR2 | EGR2 | 1500 | 4 | Gene | gene | EGR2
37291167 | @GENE_ENO1 | ENO1 | 1506 | 4 | Gene | gene | ENO1
37291167 | @GENE_FASN | FASN | 1512 | 4 | Gene | gene | FASN
37291167 | @GENE_GATA6 | GATA6 | 1518 | 5 | Gene | gene | GATA6
37291167 | @GENE_H3C10 | H3C10 | 1525 | 8 | Gene | gene | HIST1H3H
37291167 | @GENE_H4C8 | H4C8 | 1535 | 8 | Gene | gene | HIST1H4H
37291167 | @GENE_H4C9 | H4C9 | 1545 | 8 | Gene | gene | HIST1H4I
37291167 | @GENE_H4C12 | H4C12 | 1555 | 8 | Gene | gene | HIST1H4K
37291167 | @GENE_MTHFD2 | MTHFD2 | 1565 | 6 | Gene | gene | MTHFD2
37291167 | @GENE_PDK1 | PDK1 | 1573 | 4 | Gene | gene | PDK1
37291167 | @GENE_TUBA4A | TUBA4A | 1579 | 6 | Gene | gene | TUBA4A
37291167 | @GENE_TUBB1 | TUBB1 | 1587 | 5 | Gene | gene | TUBB1
37291167 | @GENE_TUBB3 | TUBB3 | 1597 | 5 | Gene | gene | TUBB3
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 1700 | 2 | Disease | disease | OA
37291167 | @DISEASE_COVID_19 | COVID-19 | 1707 | 8 | Disease | disease | COVID-19
37291167 | @DISEASE_Osteoarthritis | Osteoarthritis | 1953 | 2 | Disease | disease | OA
37291167 | @DISEASE_COVID_19 | COVID-19 | 1970 | 18 | Disease | disease | COVID-19 infection
37457560 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 58 | 49 | Disease | disease | long COVID-associated inflammatory cardiomyopathy
37457560 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 144 | 10 | Disease | disease | long COVID
37457560 | @DISEASE_Cardiovascular_Diseases | Cardiovascular Diseases | 239 | 22 | Disease | disease | cardiovascular disease
37457560 | @DISEASE_COVID_19 | COVID-19 | 290 | 8 | Disease | disease | COVID-19
37457560 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 359 | 11 | Disease | disease | long COVID-
37457560 | @DISEASE_Cardiomyopathies | Cardiomyopathies | 378 | 27 | Disease | disease | inflammatory cardiomyopathy
37457560 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 489 | 49 | Disease | disease | long COVID-associated inflammatory cardiomyopathy
37457560 | @DISEASE_Cardiomyopathies | Cardiomyopathies | 1124 | 27 | Disease | disease | inflammatory cardiomyopathy
37457560 | @DISEASE_COVID_19 | COVID-19 | 1267 | 5 | Disease | disease | COVID
37457560 | @GENE_VEGFA | VEGFA | 1349 | 5 | Gene | gene | VEGFA
37457560 | @GENE_FOXO1 | FOXO1 | 1356 | 5 | Gene | gene | FOXO1
37457560 | @GENE_CXCR4 | CXCR4 | 1363 | 5 | Gene | gene | CXCR4
37457560 | @GENE_SMAD4 | SMAD4 | 1374 | 5 | Gene | gene | SMAD4
37457560 | @GENE_KRAS | KRAS | 1409 | 4 | Gene | gene | KRAS
37457560 | @GENE_TXN | TXN | 1418 | 3 | Gene | gene | TXN
37457560 | @DISEASE_COVID_19 | COVID-19 | 1488 | 18 | Disease | disease | COVID-19 infection
37457560 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 1553 | 49 | Disease | disease | long COVID-associated inflammatory cardiomyopathy
37457560 | @DISEASE_Inflammation | Inflammation | 1662 | 12 | Disease | disease | inflammation
37457560 | @DISEASE_Infections | Infections | 1697 | 9 | Disease | disease | infection
37457560 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 1839 | 49 | Disease | disease | long COVID-associated inflammatory cardiomyopathy
37457560 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 2057 | 10 | Disease | disease | long COVID
37505242 | @GENE_CXCL12 | CXCL12 | 28 | 6 | Gene | gene | CXCL12
37505242 | @DISEASE_COVID_19 | COVID-19 | 67 | 8 | Disease | disease | COVID-19
37505242 | @GENE_CXCL12 | CXCL12 | 106 | 29 | Gene | gene | stromal cell-derived factor-1
37505242 | @GENE_CXCL12 | CXCL12 | 137 | 5 | Gene | gene | SDF-1
37505242 | @GENE_CXCL12 | CXCL12 | 147 | 6 | Gene | gene | CXCL12
37505242 | @GENE_CXCR6 | CXCR6 | 252 | 26 | Gene | gene | G protein-coupled receptor
37505242 | @GENE_CXCR4 | CXCR4 | 279 | 5 | Gene | gene | CXCR4
37505242 | @GENE_CXCL12 | CXCL12 | 317 | 6 | Gene | gene | CXCL12
37505242 | @DISEASE_COVID_19 | COVID-19 | 381 | 24 | Disease | disease | coronavirus disease 2019
37505242 | @DISEASE_COVID_19 | COVID-19 | 407 | 8 | Disease | disease | COVID-19
37505242 | @GENE_CXCL12 | CXCL12 | 461 | 6 | Gene | gene | CXCL12
37505242 | @GENE_CXCL12 | CXCL12 | 524 | 6 | Gene | gene | CXCL12
37505242 | @GENE_CXCL12 | CXCL12 | 730 | 6 | Gene | gene | CXCL12
37505242 | @DISEASE_Critical_Illness | Critical Illness | 806 | 14 | Disease | disease | critically ill
37505242 | @DISEASE_COVID_19 | COVID-19 | 821 | 8 | Disease | disease | COVID-19
37505242 | @GENE_CXCL12 | CXCL12 | 950 | 6 | Gene | gene | CXCL12
37505242 | @GENE_CXCL12 | CXCL12 | 1019 | 6 | Gene | gene | CXCL12
37505242 | @DISEASE_COVID_19 | COVID-19 | 1179 | 8 | Disease | disease | COVID-19
37505242 | @DISEASE_COVID_19 | COVID-19 | 1203 | 8 | Disease | disease | COVID-19
37505242 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 1321 | 11 | Disease | disease | lung cancer
37505242 | @GENE_CXCL12 | CXCL12 | 1392 | 6 | Gene | gene | CXCL12
37505242 | @DISEASE_COVID_19 | COVID-19 | 1403 | 8 | Disease | disease | COVID-19
37505242 | @GENE_ELANE | ELANE | 1536 | 19 | Gene | gene | neutrophil elastase
37505242 | @GENE_DPP4 | DPP4 | 1653 | 4 | Gene | gene | CD26
37505242 | @CHEMICAL_Sitagliptin_Phosphate | Sitagliptin Phosphate | 1766 | 11 | Chemical | chemical | sitagliptin
37505242 | @CHEMICAL_sivelestat | sivelestat | 1782 | 10 | Chemical | chemical | sivelestat
37505242 | @GENE_CXCL12 | CXCL12 | 1803 | 6 | Gene | gene | CXCL12
37505242 | @GENE_CXCL12 | CXCL12 | 1881 | 6 | Gene | gene | CXCL12
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 0 | 18 | Chemical | chemical | Hydroxychloroquine
37531383 | @DISEASE_COVID_19 | COVID-19 | 114 | 8 | Disease | disease | COVID-19
37531383 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 200 | 19 | Disease | disease | autoimmune diseases
37531383 | @DISEASE_COVID_19 | COVID-19 | 245 | 5 | Disease | disease | COVID
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 386 | 18 | Chemical | chemical | hydroxychloroquine
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 406 | 3 | Chemical | chemical | HCQ
37531383 | @DISEASE_COVID_19 | COVID-19 | 460 | 5 | Disease | disease | COVID
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 542 | 3 | Chemical | chemical | HCQ
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 574 | 4 | Chemical | chemical | HCQs
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 751 | 3 | Chemical | chemical | HCQ
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 946 | 3 | Chemical | chemical | HCQ
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 983 | 3 | Chemical | chemical | HCQ
37531383 | @GENE_CD4 | CD4 | 1060 | 3 | Gene | gene | CD4
37531383 | @GENE_KLRB1 | KLRB1 | 1064 | 5 | Gene | gene | CD161
37531383 | @GENE_CCR5 | CCR5 | 1082 | 4 | Gene | gene | CCR5
37531383 | @GENE_CD69 | CD69 | 1103 | 4 | Gene | gene | CD69
37531383 | @GENE_CD8A | CD8A | 1134 | 3 | Gene | gene | CD8
37531383 | @GENE_CCR5 | CCR5 | 1138 | 4 | Gene | gene | CCR5
37531383 | @GENE_CD8A | CD8A | 1157 | 3 | Gene | gene | CD8
37531383 | @GENE_KLRB1 | KLRB1 | 1161 | 5 | Gene | gene | CD161
37531383 | @GENE_CCR5 | CCR5 | 1167 | 4 | Gene | gene | CCR5
37531383 | @GENE_CD8A | CD8A | 1189 | 3 | Gene | gene | CD8
37531383 | @GENE_KLRB1 | KLRB1 | 1193 | 5 | Gene | gene | CD161
37531383 | @GENE_FAS | FAS | 1199 | 4 | Gene | gene | CD95
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 1232 | 3 | Chemical | chemical | HCQ
37531383 | @GENE_ITGB1 | ITGB1 | 1280 | 4 | Gene | gene | CD29
37531383 | @DISEASE_Inflammation | Inflammation | 1334 | 12 | Disease | disease | inflammation
37531383 | @GENE_TIGIT | TIGIT | 1420 | 5 | Gene | gene | TIGIT
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 1446 | 3 | Chemical | chemical | HCQ
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 1495 | 3 | Chemical | chemical | HCQ
37531383 | @GENE_IFNG | IFNG | 1653 | 8 | Gene | gene | IFNgamma
37531383 | @GENE_TNF | TNF | 1666 | 8 | Gene | gene | TNFalpha
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 1727 | 3 | Chemical | chemical | HCQ
37531383 | @DISEASE_COVID_19 | COVID-19 | 1881 | 5 | Disease | disease | COVID
37531383 | @CHEMICAL_Hydroxychloroquine | Hydroxychloroquine | 2013 | 3 | Chemical | chemical | HCQ
37531383 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 2042 | 18 | Disease | disease | autoimmune disease
37690961 | @DISEASE_COVID_19 | COVID-19 | 37 | 8 | Disease | disease | COVID-19
37690961 | @DISEASE_COVID_19 | COVID-19 | 109 | 24 | Disease | disease | coronavirus disease 2019
37690961 | @DISEASE_COVID_19 | COVID-19 | 135 | 8 | Disease | disease | COVID-19
37690961 | @DISEASE_COVID_19 | COVID-19 | 305 | 8 | Disease | disease | COVID-19
37690961 | @DISEASE_COVID_19 | COVID-19 | 369 | 8 | Disease | disease | COVID-19
37725104 | @DISEASE_COVID_19 | COVID-19 | 35 | 8 | Disease | disease | COVID-19
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 48 | 28 | Disease | disease | systemic lupus erythematosus
37725104 | @DISEASE_COVID_19 | COVID-19 | 139 | 24 | Disease | disease | Coronavirus disease 2019
37725104 | @DISEASE_COVID_19 | COVID-19 | 165 | 8 | Disease | disease | COVID-19
37725104 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 218 | 19 | Disease | disease | autoimmune diseases
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 243 | 28 | Disease | disease | systemic lupus erythematosus
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 273 | 3 | Disease | disease | SLE
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 569 | 3 | Disease | disease | SLE
37725104 | @DISEASE_COVID_19 | COVID-19 | 577 | 9 | Disease | disease | COVID- 19
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 720 | 3 | Disease | disease | SLE
37725104 | @DISEASE_COVID_19 | COVID-19 | 747 | 8 | Disease | disease | COVID-19
37725104 | @GENE_CXCL10 | CXCL10 | 816 | 6 | Gene | gene | CXCL10
37725104 | @GENE_RACK1 | RACK1 | 827 | 5 | Gene | gene | RACK1
37725104 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 884 | 19 | Disease | disease | coronavirus disease
37725104 | @DISEASE_COVID_19 | COVID-19 | 904 | 8 | Disease | disease | COVID-19
37725104 | @GENE_MIF | MIF | 945 | 3 | Gene | gene | MIF
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 1084 | 3 | Disease | disease | SLE
37725104 | @DISEASE_COVID_19 | COVID-19 | 1092 | 8 | Disease | disease | COVID-19
37725104 | @GENE_MIF | MIF | 1247 | 3 | Gene | gene | MIF
37725104 | @GENE_CD74 | CD74 | 1251 | 4 | Gene | gene | CD74
37725104 | @GENE_CXCR4 | CXCR4 | 1256 | 5 | Gene | gene | CXCR4
37725104 | @GENE_MIF | MIF | 1263 | 3 | Gene | gene | MIF
37725104 | @GENE_CD74 | CD74 | 1267 | 4 | Gene | gene | CD74
37725104 | @GENE_CD44 | CD44 | 1272 | 4 | Gene | gene | CD44
37725104 | @DISEASE_COVID_19 | COVID-19 | 1384 | 8 | Disease | disease | COVID-19
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 1397 | 3 | Disease | disease | SLE
37725104 | @DISEASE_COVID_19 | COVID-19 | 1547 | 8 | Disease | disease | COVID-19
37725104 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 1560 | 3 | Disease | disease | SLE
37851747 | @DISEASE_COVID_19 | COVID-19 | 61 | 8 | Disease | disease | COVID-19
37851747 | @DISEASE_COVID_19 | COVID-19 | 154 | 24 | Disease | disease | coronavirus disease 2019
37851747 | @DISEASE_COVID_19 | COVID-19 | 180 | 8 | Disease | disease | COVID-19
37851747 | @DISEASE_COVID_19 | COVID-19 | 505 | 8 | Disease | disease | COVID-19
37851747 | @DISEASE_COVID_19 | COVID-19 | 740 | 8 | Disease | disease | COVID-19
37851747 | @DISEASE_COVID_19 | COVID-19 | 886 | 8 | Disease | disease | COVID-19
37851747 | @GENE_HLA_DRB1 | HLA-DRB1 | 1116 | 4 | Gene | gene | DRB1
37851747 | @DISEASE_COVID_19 | COVID-19 | 1138 | 8 | Disease | disease | COVID-19
37851747 | @GENE_HLA_DRB1 | HLA-DRB1 | 1271 | 4 | Gene | gene | DRB1
37851747 | @DISEASE_COVID_19 | COVID-19 | 1346 | 8 | Disease | disease | COVID-19
37851747 | @DISEASE_COVID_19 | COVID-19 | 1465 | 8 | Disease | disease | COVID-19
38012279 | @DISEASE_COVID_19 | COVID-19 | 109 | 8 | Disease | disease | COVID-19
38012279 | @DISEASE_COVID_19 | COVID-19 | 162 | 24 | Disease | disease | coronavirus disease 2019
38012279 | @DISEASE_COVID_19 | COVID-19 | 188 | 8 | Disease | disease | COVID-19
38012279 | @DISEASE_COVID_19 | COVID-19 | 438 | 8 | Disease | disease | COVID-19
38012279 | @DISEASE_COVID_19 | COVID-19 | 738 | 8 | Disease | disease | COVID-19
38012279 | @DISEASE_Fever | Fever | 884 | 5 | Disease | disease | fever
38012279 | @DISEASE_Fever | Fever | 907 | 5 | Disease | disease | fever
38012279 | @DISEASE_Myalgia | Myalgia | 918 | 11 | Disease | disease | muscle pain
38012279 | @GENE_HLA_A | HLA-A | 931 | 3 | Gene | gene | HLA
