8089068 | Comparison | biapenem | Meropenem
33526003 | Negative_Correlation | morin | Severe Acute Respiratory Syndrome
33526003 | Association | morin | CXCL8
33526003 | Negative_Correlation | morin | Inflammation
33526003 | Association | COVID-19 | ORF1ab
33526003 | Association | Coronavirus Infections | ORF1ab
34031383 | Association | KDM1A | ACE2
34031383 | Association | KDM1A | S
34031383 | Association | KDM1A | KPNA1
34031383 | Association | Infections | ACE2
34031383 | Association | S | ACE2
34031383 | Association | KPNA1 | ACE2
34031383 | Association | COVID-19 | ACE2
34031383 | Association | COVID-19 | KDM1A
34051791 | Association | CTSB | TMPRSS4
34051791 | Association | CTSB | TMPRSS2
34051791 | Association | Pulmonary Disease Chronic Obstructive | AGTR1
34051791 | Association | Pulmonary Disease Chronic Obstructive | TMPRSS2
34051791 | Positive_Correlation | Pulmonary Disease Chronic Obstructive | ACE2
34051791 | Association | Pulmonary Disease Chronic Obstructive | CTSB
34051791 | Association | Pulmonary Disease Chronic Obstructive | AGTR2
34051791 | Association | TMPRSS4 | TMPRSS2
34051791 | Positive_Correlation | Hypertension | ACE2
34051791 | Association | Cardiovascular Diseases | ACE2
34099795 | Positive_Correlation | Lipopolysaccharides | Inflammation
34099795 | Positive_Correlation | Lipopolysaccharides | Drug Hypersensitivity
34157321 | Association | Virus Diseases | XPO1
34157321 | Association | Inflammation | IL1B
34157321 | Association | COVID-19 | XPO1
34157321 | Negative_Correlation | selinexor | CSF2
34157321 | Negative_Correlation | selinexor | Virus Diseases
34157321 | Negative_Correlation | selinexor | ACE2
34157321 | Association | COVID-19 | IFNG
34157321 | Association | Inflammation | CSF2
34157321 | Negative_Correlation | selinexor | COVID-19
34157321 | Negative_Correlation | selinexor | Inflammation
34157321 | Association | COVID-19 | IL6
34157321 | Association | COVID-19 | TNF
34157321 | Negative_Correlation | selinexor | TNF
34157321 | Negative_Correlation | selinexor | IFNG
34157321 | Negative_Correlation | selinexor | IL10
34157321 | Association | COVID-19 | IL1B
34157321 | Negative_Correlation | selinexor | IL6
34157321 | Association | Inflammation | IFNG
34157321 | Association | Inflammation | IL10
34157321 | Negative_Correlation | selinexor | XPO1
34157321 | Negative_Correlation | selinexor | IL1B
34157321 | Association | Inflammation | IL6
34157321 | Association | Inflammation | TNF
34157321 | Association | COVID-19 | CSF2
34157321 | Association | Inflammation | XPO1
34157321 | Association | COVID-19 | IL10
34356509 | Association | NFKB1 | TNF
34356509 | Positive_Correlation | ZC3H12A | CASP8
34356509 | Association | ZC3H12A | CASP4
34356509 | Negative_Correlation | CASP8 | CFLAR
34356509 | Association | ZC3H12A | CASP1
34356509 | Association | CASP14 | ZC3H12A
34356509 | Association | TNF | ZC3H12A
34356509 | Association | TNF | CASP8
34356509 | Negative_Correlation | pyrazolanthrone | MAPK8
34356509 | Positive_Correlation | NFKB1 | CASP8
34356509 | Positive_Correlation | ZC3H12A | CASP9
34356509 | Negative_Correlation | KPNA3 | ZC3H12A
34356509 | Association | benzyloxycarbonyltyrosyl-valyl-alanyl-aspartic acid fluoromethyl ketone | ZC3H12A
34356509 | Association | Inflammation | ZC3H12A
34356509 | Association | TNF | CFLAR
34356509 | Positive_Correlation | ZC3H12A | CASP3
34356509 | Negative_Correlation | NFKB1 | ZC3H12A
34356509 | Association | MAPK8 | TNF
34356509 | Association | pyrazolanthrone | ZC3H12A
34356509 | Association | ZC3H12A | CFLAR
34356509 | Positive_Correlation | MAPK8 | ZC3H12A
34356509 | Positive_Correlation | NFKB1 | CFLAR
34356509 | Positive_Correlation | ZC3H12A | CASP7
34356509 | Negative_Correlation | benzyloxycarbonyltyrosyl-valyl-alanyl-aspartic acid fluoromethyl ketone | CASP1
34428682 | Negative_Correlation | avermectin | COVID-19
34428682 | Negative_Correlation | Ivermectin | COVID-19
34670407 | Positive_Correlation | KPNA2 | RELA
34670407 | Negative_Correlation | Flt4 | Pdcd10
34670407 | Association | Lymphatic Diseases | Flt4
34670407 | Association | Lymphedema | Flt4
34670407 | Negative_Correlation | Mapk3 | Pdcd10
34670407 | Negative_Correlation | PDCD10 | RELA
34670407 | Association | Nfkb1 | Pdcd10
34670407 | Bind | PDCD10 | KPNA2
34670407 | Association | Lymphatic Diseases | FLT4
34670407 | Association | Lymphedema | Mapk1
34670407 | Negative_Correlation | PDCD10 | FLT4
34670407 | Association | Lymphatic Abnormalities | Pdcd10
34670407 | Association | FLT4 | MAPK1
34670407 | Association | Hemangioma Cavernous Central Nervous System | KRIT1
34670407 | Association | Lymphatic Diseases | PDCD10
34670407 | Positive_Correlation | PDCD10 | NFKB1
34670407 | Association | Lymphedema | Pdcd10
34670407 | Association | Hemangioma Cavernous Central Nervous System | PDCD10
34670407 | Association | Hyperplasia | Flt4
34670407 | Association | FLT4 | MAPK3
34670407 | Association | Lymphatic Diseases | MAPK1
34670407 | Association | Lymphatic Diseases | MAPK3
34670407 | Association | Lymphatic Abnormalities | Flt4
34670407 | Positive_Correlation | KPNA2 | NFKB1
34670407 | Negative_Correlation | Mapk1 | Pdcd10
34670407 | Association | Lymphatic Diseases | Nfkb1
34670407 | Association | Flt4 | Mapk1
34670407 | Association | Flt4 | Mapk3
34670407 | Association | Lymphatic Abnormalities | Mapk3
34670407 | Association | Lymphedema | Mapk3
34670407 | Association | Flt4 | Nfkb1
34670407 | Association | FLT4 | RELA
34670407 | Association | Hemangioma Cavernous Central Nervous System | CCM2
34670407 | Association | Lymphatic Abnormalities | PDCD10
34670407 | Association | Lymphatic Abnormalities | Mapk1
34670407 | Association | Lymphatic Diseases | Pdcd10
34687900 | Negative_Correlation | Ivermectin | ORF1ab
34687900 | Negative_Correlation | Ivermectin | Nematode Infections
34687900 | Negative_Correlation | Ivermectin | Parasitic Diseases
34687900 | Negative_Correlation | Ivermectin | IMPA1
34687900 | Negative_Correlation | Ivermectin | STAT3
34687900 | Negative_Correlation | Ivermectin | Onchocerciasis
34687900 | Negative_Correlation | Ivermectin | Infections
34687900 | Negative_Correlation | Ivermectin | Onchocerciasis Ocular
34687900 | Negative_Correlation | Ivermectin | COVID-19
34687900 | Negative_Correlation | Ivermectin | S
34687900 | Negative_Correlation | Ivermectin | Strongyloidiasis
34687900 | Negative_Correlation | Ivermectin | Ascaridida Infections
34696514 | Association | COVID-19 | RHOA
34696514 | Association | COVID-19 | KPNB1
34696514 | Negative_Correlation | Atorvastatin | NFKB1
34696514 | Association | Poly I-C | Infections
34696514 | Association | COVID-19 | CDC42
34696514 | Negative_Correlation | Atorvastatin | Poly I-C
34696514 | Positive_Correlation | Poly I-C | NFKB1
34696514 | Association | COVID-19 | KPNA3
34696514 | Negative_Correlation | Ivermectin | Infections
34696514 | Association | COVID-19 | KPNA5
34696514 | Comparison | Atorvastatin | Ivermectin
34696514 | Positive_Correlation | Infections | NFKB1
34696514 | Negative_Correlation | Ivermectin | Poly I-C
34696514 | Negative_Correlation | Ivermectin | KPNA1
34696514 | Negative_Correlation | Atorvastatin | KPNA1
34696514 | Negative_Correlation | Atorvastatin | Infections
34696514 | Association | COVID-19 | KPNA7
34696514 | Negative_Correlation | Ivermectin | NFKB1
34950606 | Negative_Correlation | KPNA6 | IRF3
35043770 | Cotreatment | Doxycycline | Ivermectin
35043770 | Negative_Correlation | Ivermectin | COVID-19
35043770 | Cotreatment | Ivermectin | Azithromycin
35187564 | Association | ORF6 | NUP98
35187564 | Negative_Correlation | IRF3 | RAE1
35187564 | Negative_Correlation | IRF3 | ORF6
35187564 | Negative_Correlation | NUP98 | STAT1
35187564 | Negative_Correlation | IRF3 | NUP98
35187564 | Negative_Correlation | STAT1 | RAE1
35187564 | Negative_Correlation | ORF6 | STAT1
35187564 | Association | NUP98 | RAE1
35187564 | Association | ORF6 | RAE1
35187564 | Negative_Correlation | IFNA1 | ORF6
35484353 | Association | Colitis Ulcerative | PRKCB
35484353 | Association | Colitis Ulcerative | VEGFA
35484353 | Association | Colitis Ulcerative | CEBPB
35484353 | Association | Colitis Ulcerative | PTPN1
35484353 | Association | Colitis Ulcerative | HLA-A
35484353 | Association | Colitis Ulcerative | SNAI1
35484353 | Association | Calcium | Colitis Ulcerative
35484353 | Association | Colitis Ulcerative | XPO5
35590097 | Association | ORF6 | STAT1
35590097 | Positive_Correlation | IFNA1 | STAT1
35590097 | Negative_Correlation | IFNA1 | ORF6
35590097 | Bind | KPNA1 | ORF6
35666772 | Negative_Correlation | 14-3-3zeta | ncd
35666772 | Association | borr | 14-3-3zeta
35686662 | Negative_Correlation | Ivermectin | COVID-19
35723340 | Association | COVID-19 | ERVK-6
35723340 | Association | COVID-19 | HSP90AA1
35723340 | Association | COVID-19 | KPNA1
36066346 | Association | RBBP7 | HAT1
36066346 | Association | Guanosine Triphosphate | RAN
36299428 | Negative_Correlation | IFNA1 | ORF6
36299428 | Association | Nup98 | RAE1
36299428 | Association | Virus Diseases | p.D61L
36299428 | Association | Virus Diseases | p.M58R
36299428 | Association | ORF6 | RAE1
36299428 | Association | COVID-19 | ORF6
36299428 | Association | Virus Diseases | ORF6
36299428 | Association | Infections | ORF6
36299428 | Association | Nup98 | ORF6
36344555 | Association | Inflammation | CD4
36344555 | Positive_Correlation | Cholecalciferol | Dermatitis Atopic
36344555 | Association | Dermatitis Atopic | KPNA1
36344555 | Association | Dermatitis Atopic | TSLP
36344555 | Positive_Correlation | calcipotriene | Dermatitis Atopic
36656967 | Association | Ppp1r13b | Trp53-ps
36656967 | Negative_Correlation | Ppp1r13b | Pmaip1
36656967 | Positive_Correlation | Hypoxia | Trp53-ps
36656967 | Positive_Correlation | Bax | Ppp1r13b
36656967 | Association | Conversion Disorder | Ppp1r13b
36656967 | Association | Heart Diseases | Ppp1r13b
36656967 | Association | Trp53-ps | Pmaip1
36656967 | Positive_Correlation | Infarction | Ppp1r13b
36656967 | Positive_Correlation | Bbc3 | Ppp1r13b
36656967 | Association | Hypoxia | Ppp1r13b
36656967 | Positive_Correlation | Reperfusion Injury | Ppp1r13b
36656967 | Association | Reperfusion Injury | Trp53-ps
36678502 | Association | NFKB1 | TNF
36678502 | Association | Inflammation | NFKB1
36678502 | Positive_Correlation | Inflammation | TNF
36678502 | Positive_Correlation | Osteoarthritis | NFKB1
37676567 | Association | Salts | IMPA-1
37792911 | Association | Cognition Disorders | MAPK1
37792911 | Association | Kpna2 | Mapk3
37792911 | Association | Huntington Disease | MAPK1
37792911 | Association | Mapk3 | KPNA2
37792911 | Association | Kpna2 | Mapk1
37823646 | Association | 4-octyl itaconate | #7514#
37823646 | Association | RELA | XPO1
37823646 | Negative_Correlation | 4-octyl itaconate | XPO1
37823646 | Association | Inflammation | XPO1
37823646 | Association | TP53 | XPO1
37823646 | Negative_Correlation | 4-octyl itaconate | Inflammation
37823646 | Association | 4-octyl itaconate | Cysteine
38450336 | Negative_Correlation | Azithromycin | COVID-19
26816005 | Association | DUX4 | DES
26816005 | Association | DUX4 | LMCD1
26816005 | Association | DUX4 | SRSF9
26816005 | Association | DUX4 | RBM3
26816005 | Association | DUX4L9 | FUS
26816005 | Association | DUX4 | FUS
26816005 | Association | DUX4L9 | SFPQ
26816005 | Association | Muscular Dystrophy Facioscapulohumeral | DUX4
26816005 | Association | DUX4 | SFPQ
26816005 | Association | DUX4L9 | SRSF9
26816005 | Association | DUX4L9 | RBM3
26816005 | Association | DUX4L9 | C1QBP
26816005 | Association | DUX4L9 | DES
26816005 | Association | DUX4 | C1QBP
26816005 | Association | DES | DUX1
30683885 | Positive_Correlation | CSF2 | CD8B
30683885 | Negative_Correlation | FGL2 | ITGAE
30683885 | Negative_Correlation | Fgl2 | Stat1
30683885 | Negative_Correlation | FGL2 | CD8B
30683885 | Association | Neoplasms | Nfkb1
30683885 | Negative_Correlation | Fgl2 | Mapk14
30683885 | Negative_Correlation | Fgl2 | Itgae
30683885 | Association | Glioblastoma | FGL2
30683885 | Association | Glioblastoma | Fgl2
30683885 | Negative_Correlation | FGL2 | CSF2
30683885 | Negative_Correlation | Fgl2 | Stat5a
30683885 | Association | Neoplasms | Itgae
30683885 | Association | Neoplasms | FGL2
30683885 | Negative_Correlation | Fgl2 | Nfkb1
30683885 | Association | Brain Neoplasms | FGL2
30683885 | Negative_Correlation | Csf2 | Fgl2
30683885 | Association | Glioma | FGL2
31428517 | Negative_Correlation | Imatinib Mesylate | Irf1
31428517 | Negative_Correlation | Imatinib Mesylate | Pdgfra
31428517 | Association | Gastrointestinal Stromal Tumors | Pdgfra
31428517 | Negative_Correlation | Imatinib Mesylate | Kit
31428517 | Association | Gastrointestinal Stromal Tumors | Cd4
31428517 | Association | Melanoma | Cd4
31428517 | Association | Gastrointestinal Stromal Tumors | Cd274
31428517 | Negative_Correlation | Imatinib Mesylate | Gastrointestinal Stromal Tumors
31428517 | Association | Neoplasms | Pdcd1
31428517 | Association | Gastrointestinal Stromal Tumors | Irf1
31428517 | Association | Neoplasms | Cd274
31428517 | Association | Cd8a | Cd274
31428517 | Association | Gastrointestinal Stromal Tumors | Pdcd1
31428517 | Association | Gastrointestinal Stromal Tumors | Kit
31428517 | Negative_Correlation | Imatinib Mesylate | Cd274
31428517 | Positive_Correlation | Irf1 | Kit
32265897 | Association | Colorectal Neoplasms | IFNG
32265897 | Association | CTLA4 | IFNG
32265897 | Association | Neoplasms | CD8B
32265897 | Association | Colorectal Neoplasms | GBP4
32265897 | Association | Colorectal Neoplasms | CD8A
32265897 | Association | IFNG | LAG3
32265897 | Association | CD274 | IFNG
32265897 | Association | Esophageal Neoplasms | IFNG
32265897 | Association | Carcinoma Squamous Cell | IFNG
32265897 | Association | Colorectal Neoplasms | CD274
32265897 | Association | Melanoma Cutaneous Malignant | IFNG
32265897 | Association | Colorectal Neoplasms | CTLA4
32265897 | Association | Colorectal Neoplasms | LAG3
32265897 | Association | Neoplasms | GBP1
32265897 | Association | Colorectal Neoplasms | HAVCR2
32265897 | Association | Colorectal Neoplasms | GBP1
32265897 | Positive_Correlation | GBP1 | IFNG
32265897 | Association | Stomach Neoplasms | IFNG
32265897 | Association | Neoplasms | GBP4
32265897 | Association | IFNG | CD8A
32265897 | Association | IFNG | HAVCR2
32265897 | Positive_Correlation | IFI30 | IFNG
32265897 | Association | Neoplasms | IFNG
32265897 | Association | Neoplasms | CD8A
32265897 | Association | Colorectal Neoplasms | IDO1
32265897 | Association | IFNG | PDCD1
32265897 | Positive_Correlation | GBP4 | IFNG
32265897 | Association | Colorectal Neoplasms | PDCD1
32265897 | Association | Breast Neoplasms | IFNG
32265897 | Association | Intracranial Hypertension | IFNG
32265897 | Association | Breast Neoplasms | GBP1
33148660 | Association | Breast Neoplasms | Ifnb1
33148660 | Association | ZMYND8 | CD8B
33148660 | Association | Neoplasms | ZMYND8
33148660 | Association | ZMYND8 | CD4
33148660 | Association | Ifnb1 | Nfkb1
33148660 | Positive_Correlation | Cd4 | ZMYND8
33148660 | Association | ZMYND8 | CD8A
33148660 | Positive_Correlation | Ifnb1 | ZMYND8
33148660 | Association | Breast Neoplasms | Cd4
33148660 | Association | Breast Neoplasms | ZMYND8
33148660 | Positive_Correlation | Nfkb1 | ZMYND8
34127970 | Association | ACE2 | PIAS1
34127970 | Association | SMAD4 | ACE2
34127970 | Association | BAMBI | ACE2
34127970 | Association | COVID-19 | SMAD4
34127970 | Association | COVID-19 | BAMBI
34127970 | Association | EP300 | ACE2
34127970 | Association | COVID-19 | ACE2
34127970 | Association | COVID-19 | EP300
34127970 | Association | COVID-19 | PIAS1
34943787 | Association | Inflammation | NFKB1
34943787 | Association | Inflammation | AKT1
34943787 | Association | Inflammation | STAT1
35066912 | Association | Lipopolysaccharides | COVID-19
35066912 | Positive_Correlation | Lipopolysaccharides | Agtr1a
35066912 | Positive_Correlation | Severe Acute Respiratory Syndrome | Il6
35066912 | Positive_Correlation | Lipopolysaccharides | Respiratory Distress Syndrome
35066912 | Positive_Correlation | Lipopolysaccharides | Pneumonia
35066912 | Positive_Correlation | Lipopolysaccharides | Lung Injury
35066912 | Positive_Correlation | Severe Acute Respiratory Syndrome | Csf2
35066912 | Association | Blood Coagulation Disorders | Agtr1a
35066912 | Association | Lung Injury | Agtr1a
35066912 | Positive_Correlation | Lipopolysaccharides | Hemorrhage
35066912 | Association | COVID-19 | Agtr1a
35066912 | Positive_Correlation | Lipopolysaccharides | Blood Coagulation Disorders
35066912 | Association | Pneumonia | Agtr1a
35066912 | Association | Hemorrhage | Agtr1a
35066912 | Positive_Correlation | Severe Acute Respiratory Syndrome | Il17a
35066912 | Association | Blood Coagulation Disorders | Serpine1
35218001 | Positive_Correlation | Ivermectin | Dysbiosis
35218001 | Negative_Correlation | Ivermectin | Parasitic Diseases
35218001 | Negative_Correlation | Ivermectin | IMPA1
35218001 | Negative_Correlation | Ivermectin | COVID-19
35231079 | Association | EP300 | ACE2
35231079 | Association | ACE2 | MOGS
35231079 | Association | BAMBI | ACE2
35231079 | Association | COVID-19 | EP300
35231079 | Association | ACE2 | UGP2
35231079 | Association | COVID-19 | BAMBI
35231079 | Association | COVID-19 | SMAD4
35231079 | Association | COVID-19 | PIAS1
35231079 | Association | ACE2 | KDM6A
35231079 | Association | COVID-19 | ACE2
35231079 | Association | ACE2 | PIAS1
35231079 | Association | ACE2 | GPAA1
35231079 | Association | SMAD4 | ACE2
35399819 | Association | Cytokine Release Syndrome | IL6
