37403086 | Association | IL2 | STAT5A
38598033 | Positive_Correlation | IL15 | STAT5A
38598033 | Positive_Correlation | Severe Combined Immunodeficiency | p.R775H
38598033 | Positive_Correlation | Immunologic Deficiency Syndromes | p.R431P
38598033 | Positive_Correlation | Severe Combined Immunodeficiency | p.R431P
38598033 | Association | Severe Combined Immunodeficiency | JAK3
38598033 | Positive_Correlation | IL2 | STAT5A
38598033 | Association | Immunologic Deficiency Syndromes | JAK3
38598033 | Positive_Correlation | IL7 | STAT5A
22342247 | Cotreatment | Rifampin | Ofloxacin
22342247 | Negative_Correlation | Fluoroquinolones | Tuberculosis Multidrug-Resistant
22342247 | Cotreatment | Ethambutol | Ofloxacin
22342247 | Negative_Correlation | Ofloxacin | Tuberculosis
22342247 | Negative_Correlation | Isoniazid | Ofloxacin
22342247 | Negative_Correlation | Fluoroquinolones | Tuberculosis
22342247 | Negative_Correlation | Ofloxacin | Tuberculosis Multidrug-Resistant
22880104 | Association | CX3CR1 | CD8A
22880104 | Association | CXCR1 | CD8A
22880104 | Association | X-Linked Combined Immunodeficiency Diseases | CD34
23312604 | Cotreatment | Linezolid | Ethambutol
23312604 | Cotreatment | Ethambutol | Levofloxacin
23312604 | Cotreatment | Linezolid | Levofloxacin
23312604 | Cotreatment | Ethambutol | Rifampin
23312604 | Cotreatment | Linezolid | Amikacin
23312604 | Cotreatment | Amikacin | Levofloxacin
23312604 | Cotreatment | Isoniazid | Rifampin
23312604 | Cotreatment | Ethambutol | Isoniazid
26458453 | Association | Graft vs Host Disease | HLA-A
26458453 | Association | Graft vs Host Disease | HLA-DPB1
26458453 | Association | Graft vs Host Disease | HLA-DRB1
26458453 | Association | Graft vs Host Disease | HLA-C
26458453 | Association | Graft vs Host Disease | HLA-DQB1
26458453 | Association | Neoplasms | HLA-DQB1
26458453 | Association | Graft vs Host Disease | HLA-B
26458453 | Association | Neoplasms | HLA-DRB1
27549307 | Association | MICA | HLA-B
27549307 | Association | Bronchiolitis Obliterans Syndrome | MICA
27549307 | Association | Graft vs Host Disease | MICA
27549307 | Association | MICA | KLRK1
27840957 | Positive_Correlation | Valproic Acid | NCR3
27840957 | Negative_Correlation | Tretinoin | KLRC1
27840957 | Negative_Correlation | Valproic Acid | KLRC1
27840957 | Negative_Correlation | Tretinoin | Leukemia
27840957 | Positive_Correlation | Valproic Acid | ICAM1
27840957 | Cotreatment | Tretinoin | Valproic Acid
27840957 | Positive_Correlation | Tretinoin | KLRK1
27840957 | Positive_Correlation | Tretinoin | NCR3
27840957 | Negative_Correlation | Valproic Acid | Leukemia
27840957 | Positive_Correlation | Tretinoin | ICAM1
27840957 | Positive_Correlation | Valproic Acid | KLRK1
32112449 | Association | Alopecia Areata | MICA
32112449 | Association | MICA | HLA-B
32112449 | Association | Alopecia Areata | HLA-B
32112449 | Bind | MICA | KLRK1
32286503 | Association | Cytomegalovirus Infections | MICB
32286503 | Association | KLRK1 | MICB
32286503 | Association | Graft vs Host Disease | MICB
32519199 | Positive_Correlation | Agranulocytosis | rs116135464
32519199 | Positive_Correlation | Agranulocytosis | rs4349859
32519199 | Positive_Correlation | Agranulocytosis | rs189600525
32519199 | Positive_Correlation | Agranulocytosis | rs148015908
32519199 | Positive_Correlation | Agranulocytosis | rs145575084
32519199 | Association | Agranulocytosis | MICA
32519199 | Association | Agranulocytosis | MICA-AS1
32656310 | Negative_Correlation | Hydroxychloroquine | COVID-19
32656310 | Negative_Correlation | favipiravir | COVID-19
32656310 | Negative_Correlation | Azithromycin | Dyspnea
32656310 | Negative_Correlation | umifenovir | COVID-19
32656310 | Negative_Correlation | remdesivir | COVID-19
32656310 | Negative_Correlation | lopinavir-ritonavir drug combination | COVID-19
32656310 | Negative_Correlation | favipiravir | Diarrhea
32656310 | Negative_Correlation | Azithromycin | Diarrhea
32656310 | Negative_Correlation | Azithromycin | COVID-19
32737971 | Association | Dengue | MICA
32737971 | Association | Dengue | MICB
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs1516971
32831971 | Association | Arthritis Rheumatoid | CCL21
32831971 | Association | Arthritis Rheumatoid | GATA3
32831971 | Association | Arthritis Rheumatoid | HLA-A
32831971 | Association | Arthritis Rheumatoid | MICA
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs951005
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs13426947
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs2240336
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs3806624
32831971 | Association | Arthritis Rheumatoid | EOMES
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs934734
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs3087243
32831971 | Association | Arthritis Rheumatoid | HLA-B
32831971 | Association | Arthritis Rheumatoid | SPRED2
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs26232
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs2275806
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs9979383
32831971 | Positive_Correlation | Arthritis Rheumatoid | p.S37C
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs4409785
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs595158
32831971 | Association | Arthritis Rheumatoid | HLA-DRB1
32831971 | Association | Arthritis Rheumatoid | VPS37C
32831971 | Association | Arthritis Rheumatoid | CEP57
32831971 | Association | Arthritis Rheumatoid | RUNX1
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs2596565
32831971 | Association | Arthritis Rheumatoid | C5orf30
32831971 | Positive_Correlation | Arthritis Rheumatoid | rs660895
32831971 | Association | Arthritis Rheumatoid | LINC00824
32831971 | Association | Arthritis Rheumatoid | 101929739
32831971 | Association | Arthritis Rheumatoid | STAT4
32831971 | Association | Arthritis Rheumatoid | PADI4
32831971 | Association | Arthritis Rheumatoid | CTLA4
32832246 | Association | mica | Lipids
33151039 | Association | Leprosy | MICA
33151039 | Association | Leprosy | HLA-B
33247940 | Association | Sjogren's Syndrome | IL21
33247940 | Positive_Correlation | BTG3 | IL21
33247940 | Positive_Correlation | JAK3 | POU2F2
33247940 | Positive_Correlation | Peritonitis | IL21
33247940 | Association | Hypoxia | IL21
33247940 | Positive_Correlation | CCR7 | IL21
33247940 | Positive_Correlation | IL21 | CD8A
33247940 | Positive_Correlation | IL21 | CD4
33247940 | Association | HLA-B | IL21
33247940 | Association | IL21 | STAT1
33247940 | Association | JAK3 | IL21
33247940 | Positive_Correlation | IL21 | SSB
33247940 | Association | Peritonitis | CXCL10
33247940 | Association | Peritonitis | IL21R
33247940 | Association | Peritonitis | CCR7
33247940 | Association | IFNA1 | IL21
33247940 | Bind | IL21R | IL21
33247940 | Association | Peritonitis | HLA-B
33247940 | Association | Peritonitis | JAK3
33247940 | Positive_Correlation | CXCL10 | IL21
33537058 | Association | Hypotrichosis | HLA-B
33537058 | Association | Hypotrichosis | GPX5
33554868 | Positive_Correlation | MYD88 | NR1I3
33554868 | Positive_Correlation | CD40 | NR1I3
33599111 | Bind | MICA | KIR2DL4
33599111 | Bind | MICA | KLRK1
33599111 | Bind | KIR2DL4 | MICB
33599111 | Association | MICA | HLA-B
33599111 | Bind | KLRK1 | MICB
33732254 | Association | Mucocutaneous Lymph Node Syndrome | HLA-DRB1
33732254 | Association | Mucocutaneous Lymph Node Syndrome | IFNG
33732254 | Association | Vasculitis | HLA-A
33732254 | Association | Vasculitis | IL10
33732254 | Association | Ataxia Telangiectasia | HLA-A
33732254 | Association | Vasculitis | IL6
33732254 | Association | Vasculitis | IL17A
33732254 | Association | Mucocutaneous Lymph Node Syndrome | IL6
33732254 | Association | Mucocutaneous Lymph Node Syndrome | IL17A
33732254 | Association | Vasculitis | CXCL10
33732254 | Association | COVID-19 | TGFB1
33732254 | Association | Mucocutaneous Lymph Node Syndrome | TGFB1
33732254 | Association | Mucocutaneous Lymph Node Syndrome | HLA-A
33732254 | Association | Mucocutaneous Lymph Node Syndrome | IL10
33910591 | Association | Mapk14 | Klrk1
33910591 | Association | Neoplasms | Ecm1
33910591 | Association | Neoplasms | Ifng
33910591 | Association | Neoplasms | Gzmb
34650566 | Association | Infections | MICA
34650566 | Association | Infections | HLA-DRB1
34650566 | Association | COVID-19 | HLA-C
34650566 | Association | Infections | MICB
34650566 | Association | Infections | HLA-A
34905179 | Association | Carcinoma Non-Small-Cell Lung | CD48
34921518 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | KIR2DL3
34921518 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | KIR2DS2
34921518 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | KLRK1
35481955 | Bind | MICA | KLRK1
35481955 | Association | Respiratory Insufficiency | MICA
35481955 | Association | COVID-19 | MICA
35481955 | Association | Infections | MICA
35805975 | Association | COVID-19 | MICA
36338974 | Association | Breast Neoplasms | ERBB2
36338974 | Association | Breast Neoplasms | TNXB
36706036 | Positive_Correlation | captax | mica
37413693 | Association | S | VIM
37413693 | Association | COVID-19 | VIM
37413693 | Association | mica | VIM
37427097 | Positive_Correlation | Adenocarcinoma of Lung | HLA-A
37427097 | Association | Adenocarcinoma of Lung | HLA-DQB1
37427097 | Association | Adenocarcinoma of Lung | SPP1
37427097 | Association | Adenocarcinoma of Lung | HLA-DQB2
37427097 | Positive_Correlation | Adenocarcinoma of Lung | HLA-DPA1
37427097 | Positive_Correlation | Adenocarcinoma of Lung | MICA
37427097 | Positive_Correlation | Adenocarcinoma of Lung | PTGFRN
37427097 | Association | Adenocarcinoma of Lung | HLA-DQA2
37427097 | Association | Adenocarcinoma of Lung | MICB
37879938 | Association | MICA | TFAP2C
37879938 | Bind | JUND | TFAP2C
37879938 | Association | MICA | JUND
38022600 | Association | Pre-Eclampsia | HLA-C
38022600 | Association | Pre-Eclampsia | HLA-B
38022600 | Association | Pre-Eclampsia | HLA-DQB1
18332098 | Association | Diabetes Mellitus Type 1 | HLA-A
18332098 | Association | Diabetes Mellitus Type 1 | HLA-DQB1
18332098 | Association | Diabetes Mellitus Type 1 | MICA
22001756 | Positive_Correlation | Hereditary Sensory and Motor Neuropathy | rs3765524
22001756 | Association | Hereditary Sensory and Motor Neuropathy | PLCE1
22001756 | Association | Dengue | rs3132468
22001756 | Association | Dengue | PLCE1
22001756 | Association | Hereditary Sensory and Motor Neuropathy | MICB
22001756 | Positive_Correlation | Hereditary Sensory and Motor Neuropathy | rs3132468
22001756 | Association | Dengue | MICB
22001756 | Association | Severe Dengue | PLCE1
22001756 | Association | Severe Dengue | MICB
22914738 | Positive_Correlation | Psoriasis | rs9260313
22914738 | Positive_Correlation | Psoriasis | rs380924
22914738 | Positive_Correlation | Psoriasis | rs2507971
22914738 | Positive_Correlation | Psoriasis | rs66609536
22914738 | Association | Psoriasis | MICB
22914738 | Association | Psoriasis | MICA
22914738 | Association | Psoriasis | HLA-C
22914738 | Association | Psoriasis | MICA-AS1
24600518 | Association | Arthritis Psoriatic | HLA-C
24600518 | Association | Osteoarthritis | MICB
24600518 | Association | Psoriasis | HLA-C
24939907 | Association | HTLV-I Infections | MICA
24939907 | Association | HIV Infections | MICA
24939907 | Association | Acquired Immunodeficiency Syndrome | HLA-A
25087609 | Association | Psoriasis | HLA-DQA1
25087609 | Association | Psoriasis | HLA-C
25087609 | Association | Psoriasis | HLA-B
25087609 | Association | Arthritis Psoriatic | HLA-B
25087609 | Association | Psoriasis | HLA-A
25087609 | Association | Psoriasis | MICA
25521205 | Positive_Correlation | Cholangitis Sclerosing | rs9267845
25521205 | Association | Cholangitis Sclerosing | HLA-A
25521205 | Association | Cholangitis Sclerosing | HLA-C
25521205 | Association | Cholangitis Sclerosing | HLA-DRB1
25521205 | Association | Cholangitis Sclerosing | NOTCH4
25521205 | Positive_Correlation | Cholangitis Sclerosing | HLA-B
25521205 | Association | Cholangitis Sclerosing | MICA
26569110 | Association | Neoplasms | MICB
26569110 | Bind | KLRK1 | MICB
26569110 | Association | MICB | CD8A
26569110 | Association | Communicable Diseases | MICB
26569110 | Association | Autoimmune Diseases | MICB
26613086 | Association | Psoriasis | PSORS6
26613086 | Association | Psoriasis | CCHCR1
26613086 | Positive_Correlation | Psoriasis | rs12191877
26613086 | Association | Psoriasis | TNFAIP3
26613086 | Association | Psoriasis | TNF
26613086 | Association | Psoriasis | CCL4L1
26613086 | Association | Psoriasis | TNFRSF1A
26613086 | Positive_Correlation | Hypersensitivity Immediate | rs12191877
26613086 | Association | Psoriasis | FBXL19
26613086 | Association | Psoriasis | SLC22A4
26613086 | Association | Psoriasis | IL13
26613086 | Association | Psoriasis | HLA-B
26613086 | Association | Psoriasis | HLA-C
26613086 | Association | Psoriasis | CDKAL1
26613086 | Association | Psoriasis | CD226
26613086 | Association | Psoriasis | TYK2
26613086 | Association | Psoriasis | LINC02693
26613086 | Association | Psoriasis | FCGR2A
26672749 | Association | Toxoplasmosis Ocular | HLA-C
26672749 | Association | Toxoplasmosis Ocular | HLA-B
27057306 | Association | Carcinoma Hepatocellular | UBE4B
27057306 | Negative_Correlation | Carcinoma Hepatocellular | p.K939Q
27057306 | Negative_Correlation | c.-1195G>A | Carcinoma Hepatocellular
27057306 | Positive_Correlation | p.A499V | Carcinoma Hepatocellular
27057306 | Positive_Correlation | Carcinoma Hepatocellular | rs7768538
27057306 | Association | Carcinoma Hepatocellular | rs2275959
27057306 | Positive_Correlation | g.21151C>T | Carcinoma Hepatocellular
27057306 | Positive_Correlation | Carcinoma Hepatocellular | rs1419881
27057306 | Positive_Correlation | Carcinoma Hepatocellular | rs7453920
27057306 | Positive_Correlation | Carcinoma Hepatocellular | rs3997872
27057306 | Association | Carcinoma Hepatocellular | p.K939Q
27057306 | Association | Carcinoma Hepatocellular | p.A499V
27057306 | Positive_Correlation | g.33512A>C | Carcinoma Hepatocellular
27057306 | Association | Carcinoma Hepatocellular | COX2
27057306 | Positive_Correlation | Carcinoma Hepatocellular | rs2228001
27057306 | Association | Hepatitis B | COX2
27057306 | Association | Carcinoma Hepatocellular | rs37821974
27057306 | Positive_Correlation | p.K939Q | Carcinoma Hepatocellular
27057306 | Positive_Correlation | Carcinoma Hepatocellular | rs2228000
27057306 | Positive_Correlation | Carcinoma Hepatocellular | c.-1195G>A
27057306 | Association | Carcinoma Hepatocellular | XPC
27057306 | Association | Carcinoma Hepatocellular | TNF
27057306 | Association | Carcinoma Hepatocellular | HLA-DQB2
27057306 | Association | Carcinoma Hepatocellular | 101929604
27057306 | Association | Carcinoma Hepatocellular | TCF19
27141379 | Association | Multiple Myeloma | HLA-C
27141379 | Association | Multiple Myeloma | KIR3DL1
27141379 | Association | Multiple Myeloma | KIR2DL2
27141379 | Association | Multiple Myeloma | KIR2DL1
27141379 | Association | Multiple Myeloma | KIR2DL3
28256194 | Positive_Correlation | Doxorubicin | Autoimmune Diseases
28256194 | Association | Doxorubicin | MSH5
28256194 | Association | Cardiotoxicity | DDX39B
28256194 | Association | Doxorubicin | MICA
28256194 | Association | Cardiotoxicity | HLA-C
28256194 | Association | Doxorubicin | NOTCH4
28256194 | Positive_Correlation | Doxorubicin | Cardiotoxicity
28256194 | Association | Doxorubicin | NFKBIL1
28256194 | Association | Doxorubicin | HLA-C
28256194 | Negative_Correlation | Doxorubicin | Breast Neoplasms
28256194 | Association | Doxorubicin | Inflammation
28256194 | Negative_Correlation | Doxorubicin | Neoplasms
28256194 | Association | Psoriasis | HLA-C
28256194 | Association | Doxorubicin | DDX39B
28256194 | Positive_Correlation | Doxorubicin | Drug Hypersensitivity
28578917 | Association | Neoplasms | STAT3
28578917 | Positive_Correlation | STA-21 | MICB
28578917 | Negative_Correlation | MICB | CD8A
28578917 | Bind | MICA | KLRK1
28578917 | Positive_Correlation | MICB | STAT3
28578917 | Negative_Correlation | STA-21 | STAT3
28578917 | Negative_Correlation | MICA | STAT3
28578917 | Negative_Correlation | KLRK1 | MICB
28578917 | Association | STA-21 | Stomach Neoplasms
28578917 | Association | Stomach Neoplasms | STAT3
28578917 | Association | Stomach Neoplasms | MICB
28599625 | Association | Dengue | rs3740360
28599625 | Association | Dengue | PLCE1
28599625 | Association | Dengue | rs3132468
28599625 | Association | Dengue | MICB
28617847 | Association | Psoriasis | RPP21
28617847 | Association | Psoriasis | MICA
28617847 | Association | Psoriasis | HLA-C
28617847 | Association | Psoriasis | IL12B
28617847 | Association | Psoriasis | TRIM39
28617847 | Association | Psoriasis | POU5F1
28684217 | Association | Crohn Disease | ULBP1
28684217 | Association | Crohn Disease | KLRK1
28684217 | Bind | RAET1E | KLRK1
28684217 | Association | Crohn Disease | MICA
28684217 | Positive_Correlation | KLRK1 | CD8A
28684217 | Association | KLRK1 | ULBP1
28684217 | Association | Crohn Disease | RAET1G
28684217 | Association | Crohn Disease | ULBP2
28684217 | Association | KLRK1 | ULBP2
28684217 | Association | KLRK1 | NCAM1
28684217 | Association | Crohn Disease | MICB
28684217 | Bind | RAET1L | KLRK1
28684217 | Association | Crohn Disease | ULBP3
28684217 | Association | KLRK1 | ULBP3
28684217 | Association | Crohn Disease | RAET1L
28684217 | Association | KLRK1 | MICB
28684217 | Bind | KLRK1 | RAET1G
28684217 | Association | Crohn Disease | RAET1E
28684217 | Bind | MICA | KLRK1
28684217 | Association | CRP | KLRK1
28855716 | Association | Mucocutaneous Lymph Node Syndrome | BLK
28855716 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | rs6938467
28855716 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | rs2078087
28855716 | Association | Mucocutaneous Lymph Node Syndrome | NLRP14
28855716 | Association | Mucocutaneous Lymph Node Syndrome | HLA-C
28855716 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | rs9266669
28855716 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | rs6993775
28855716 | Association | Mucocutaneous Lymph Node Syndrome | NMNAT2
28855716 | Association | Mucocutaneous Lymph Node Syndrome | HCP5
28855716 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | rs17280682
28855716 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | rs9378199
28855716 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | rs9380242
28855716 | Association | Mucocutaneous Lymph Node Syndrome | HLA-B
28855716 | Association | Mucocutaneous Lymph Node Syndrome | LINC01149
28926962 | Positive_Correlation | KLRK1 | CD8A
28926962 | Association | Neoplasms | KLRK1
28926962 | Association | Virus Diseases | KLRK1
28926962 | Association | Nerve Degeneration | KLRK1
28926962 | Association | Crohn Disease | KLRK1
28926962 | Association | Inflammatory Bowel Diseases | KLRK1
28926962 | Association | Inflammation | KLRK1
30180944 | Association | Inflammation | CSF3
30180944 | Bind | KLRK1 | CD247
30180944 | Association | Inflammation | CCL5
30180944 | Association | HCST | KLRK1
30180944 | Association | Inflammation | TNF
30180944 | Association | Inflammation | IFNG
30180944 | Association | Multiple Myeloma | KLRK1
30307368 | Association | Neoplasms | MICB
30307368 | Association | Neoplasms | MICA
30871626 | Association | Neoplasms | KLRK1
30871626 | Association | Neoplasms | HLA-E
30871626 | Association | Colorectal Neoplasms | KLRC1
30871626 | Association | Neoplasms | KLRC1
30871626 | Association | Neoplasms | CD8A
30906652 | Association | MIR183 | CD8A
30906652 | Association | Neoplasms | TGFB1
30906652 | Association | Neoplasms | MIR183
30906652 | Association | Neoplasms | CD8A
30906652 | Association | Lung Neoplasms | MIR183
30906652 | Association | Lung Neoplasms | TGFB1
30906652 | Positive_Correlation | MIR183 | TGFB1
30906652 | Association | MIR183 | MICB
30906652 | Association | Neoplasms | KLRK1
31354215 | Association | Stomach Neoplasms | NRP1
31354215 | Association | Stomach Neoplasms | TNFRSF18
31354215 | Association | Stomach Neoplasms | ITGA6
31354215 | Association | Stomach Neoplasms | CXCR4
31354215 | Association | Stomach Neoplasms | TLR5
31354215 | Association | Stomach Neoplasms | PBK
31354215 | Association | Stomach Neoplasms | PNMA1
31354215 | Association | Stomach Neoplasms | MICB
31354215 | Association | Stomach Neoplasms | MFGE8
31354215 | Association | Stomach Neoplasms | LBP
31354215 | Association | Stomach Neoplasms | TGFB2
31877315 | Positive_Correlation | TNF | CD8A
31877315 | Association | Vitiligo | IL15
31877315 | Association | MICA | KLRK1
31877315 | Positive_Correlation | KLRK1 | IFNG
31877315 | Bind | MICA | MICB
31877315 | Association | Vitiligo | MICB
31877315 | Association | KLRK1 | MICB
31877315 | Association | Vitiligo | KLRK1
31877315 | Association | KLRK1 | CD8A
31877315 | Association | Vitiligo | MICA
31877315 | Positive_Correlation | KLRK1 | IL15
31877315 | Positive_Correlation | IFNG | CD8A
31877315 | Positive_Correlation | KLRK1 | TNF
31877315 | Association | Vitiligo | CD8A
32514324 | Association | Takayasu Arteritis | MICB
32514324 | Association | Takayasu Arteritis | HLA-C
32514324 | Association | Takayasu Arteritis | LILRB3
32514324 | Association | Takayasu Arteritis | MICA
32514324 | Association | Takayasu Arteritis | LILRA3
33794208 | Positive_Correlation | Uterine Cervical Neoplasms | rs9266183
33794208 | Positive_Correlation | Uterine Cervical Neoplasms | rs27069
33794208 | Association | Uterine Cervical Neoplasms | HLA-DQA1
33794208 | Positive_Correlation | Uterine Cervical Neoplasms | rs6938453
33794208 | Association | Uterine Cervical Neoplasms | HLA-A
33794208 | Positive_Correlation | Uterine Cervical Neoplasms | rs10175462
33794208 | Positive_Correlation | Uterine Cervical Neoplasms | rs9272050
33794208 | Positive_Correlation | Uterine Cervical Neoplasms | rs55986091
33794208 | Association | Uterine Cervical Neoplasms | PAX8
33794208 | Association | Uterine Cervical Neoplasms | CLPTM1L
33794208 | Association | Uterine Cervical Neoplasms | MICA
33794208 | Association | Uterine Cervical Neoplasms | HLA-B
34394116 | Association | Neoplasms | MICB
34394116 | Bind | KLRK1 | MICB
34394116 | Association | Neoplasms | KLRK1
34394116 | Bind | MICA | KLRK1
34489964 | Association | Ventricular Dysfunction Left | KIR2DL4
34489964 | Association | Ventricular Dysfunction Left | MICA
34489964 | Association | Chagas Disease | KIR2DL4
34489964 | Association | Chagas Disease | MICA
34489964 | Association | Ventricular Dysfunction Left | KLRK1
34489964 | Association | MICA | KLRK1
34660145 | Negative_Correlation | tofacitinib | IL7
34660145 | Negative_Correlation | tofacitinib | JAK3
34660145 | Negative_Correlation | tofacitinib | IL2
34660145 | Negative_Correlation | tofacitinib | Alopecia Areata
34660145 | Negative_Correlation | tofacitinib | IL6
34660145 | Negative_Correlation | tofacitinib | COVID-19
34660145 | Negative_Correlation | tofacitinib | JAK1
34660145 | Negative_Correlation | tofacitinib | Alopecia universalis
34660145 | Association | Alopecia Areata | JAK3
35878738 | Association | Thrombocythemia Essential | p.V61F
35878738 | Positive_Correlation | Primary Myelofibrosis | p.V61F
35878738 | Negative_Correlation | abrocitinib | Dermatitis Atopic
35878738 | Association | Lymphoma | JAK2
35878738 | Association | Polycythemia Vera | p.V61F
35878738 | Association | Inflammation | JAK1
35878738 | Negative_Correlation | baricitinib | Arthritis Rheumatoid
35878738 | Negative_Correlation | ruxolitinib | Primary Myelofibrosis
35878738 | Negative_Correlation | baricitinib | COVID-19
35878738 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Primary Myelofibrosis
35878738 | Negative_Correlation | tofacitinib | Colitis Ulcerative
35878738 | Negative_Correlation | ruxolitinib | Dermatitis Atopic
35878738 | Association | Neoplasms | JAK2
35878738 | Association | Leukemia | JAK2
35878738 | Negative_Correlation | upadacitinib | Colitis Ulcerative
35878738 | Negative_Correlation | fedratinib | Primary Myelofibrosis
35878738 | Negative_Correlation | ruxolitinib | Polycythemia Vera
35878738 | Association | Neoplasms | JAK1
35878738 | Association | Leukemia | JAK1
35878738 | Association | Lymphoma | JAK1
35878738 | Association | Inflammation | JAK3
35878738 | Negative_Correlation | tofacitinib | Arthritis Rheumatoid
35878738 | Negative_Correlation | upadacitinib | Arthritis Rheumatoid
35878738 | Negative_Correlation | upadacitinib | Dermatitis Atopic
35878738 | Association | Thrombocythemia Essential | JAK2
35878738 | Association | Primary Myelofibrosis | JAK2
35878738 | Association | Polycythemia Vera | JAK2
35987173 | Association | Behcet Syndrome | IFNGR1
35987173 | Positive_Correlation | Behcet Syndrome | rs12525170
35987173 | Positive_Correlation | Behcet Syndrome | rs2617170
35987173 | Association | Behcet Syndrome | HLA-B
35987173 | Positive_Correlation | Behcet Syndrome | HLA-C
35987173 | Association | Behcet Syndrome | HLA-A
35987173 | Positive_Correlation | Behcet Syndrome | rs4896243
35987173 | Positive_Correlation | Behcet Syndrome | rs76546355
35987173 | Association | Behcet Syndrome | KLRC4
35987173 | Association | Behcet Syndrome | MICA
35987173 | Positive_Correlation | Behcet Syndrome | rs2848712
35987173 | Association | Behcet Syndrome | PSORS1C1
36252553 | Association | Severe Combined Immunodeficiency | JAK3
36252553 | Positive_Correlation | Myeloproliferative Disorders | p.V61F
36252553 | Association | Lupus Erythematosus Systemic | TYK2
36252553 | Association | Neoplastic Syndromes Hereditary | JAK2
36252553 | Association | Myeloproliferative Disorders | JAK2
