35408447 | @GENE_AGTR1 | AGTR1 | 32 | 4 | Gene | gene | AT1R
38283360 | @GENE_ORF6 | ORF6 | 1450 | 4 | Gene | gene | ORF6
38283360 | @GENE_KPNA2 | KPNA2 | 1455 | 5 | Gene | gene | KPNA2
38598121 | @DISEASE_Asthma | Asthma | 41 | 6 | Disease | disease | asthma
38598121 | @DISEASE_Inflammation | Inflammation | 138 | 32 | Disease | disease | eosinophilic airway inflammation
38598121 | @DISEASE_Asthma | Asthma | 213 | 6 | Disease | disease | asthma
38598121 | @DISEASE_Asthma | Asthma | 322 | 6 | Disease | disease | asthma
38598121 | @GENE_KNG1 | KNG1 | 772 | 10 | Gene | gene | bradykinin
38598121 | @GENE_IL10 | IL10 | 914 | 5 | Gene | gene | IL-10
38598121 | @DISEASE_Inflammation | Inflammation | 938 | 12 | Disease | disease | inflammatory
38598121 | @DISEASE_Inflammation | Inflammation | 997 | 12 | Disease | disease | inflammatory
38598121 | @GENE_BDKRB1 | BDKRB1 | 1108 | 11 | Gene | gene | B1 receptor
38598121 | @GENE_ACE2 | ACE2 | 1124 | 5 | Gene | gene | ACE-2
38598121 | @GENE_KNG1 | KNG1 | 1214 | 10 | Gene | gene | bradykinin
38598121 | @GENE_IL1B | IL1B | 1226 | 8 | Gene | gene | IL-1beta
38598121 | @GENE_IL4 | IL4 | 1236 | 4 | Gene | gene | IL-4
38598121 | @GENE_IL5 | IL5 | 1242 | 4 | Gene | gene | IL-5
38598121 | @GENE_IL17A | IL17A | 1248 | 5 | Gene | gene | IL-17
38598121 | @GENE_IL33 | IL33 | 1255 | 5 | Gene | gene | IL-33
38598121 | @GENE_TNF | TNF | 1262 | 9 | Gene | gene | TNF-alpha
38598121 | @GENE_IL13 | IL13 | 1277 | 5 | Gene | gene | IL-13
38598121 | @GENE_IL10 | IL10 | 1311 | 5 | Gene | gene | IL-10
38598121 | @GENE_KL | KL | 1318 | 6 | Gene | gene | klotho
38598121 | @GENE_IL1RN | IL1RN | 1330 | 6 | Gene | gene | IL-1RA
38598121 | @GENE_BDKRB1 | BDKRB1 | 1585 | 11 | Gene | gene | B1 receptor
38598121 | @GENE_ACE2 | ACE2 | 1601 | 5 | Gene | gene | ACE-2
38598121 | @GENE_KNG1 | KNG1 | 1634 | 10 | Gene | gene | bradykinin
38598121 | @GENE_IL1B | IL1B | 1941 | 8 | Gene | gene | IL-1beta
38598121 | @GENE_IL4 | IL4 | 1951 | 4 | Gene | gene | IL-4
38598121 | @GENE_IL5 | IL5 | 1957 | 4 | Gene | gene | IL-5
38598121 | @GENE_IL17A | IL17A | 1963 | 5 | Gene | gene | IL-17
38598121 | @GENE_TNF | TNF | 1970 | 9 | Gene | gene | TNF-alpha
38598121 | @GENE_IL33 | IL33 | 1985 | 5 | Gene | gene | IL-33
38598121 | @GENE_IL10 | IL10 | 2022 | 5 | Gene | gene | IL-10
38598121 | @GENE_IL1RN | IL1RN | 2032 | 6 | Gene | gene | IL-1RA
38598121 | @DISEASE_Asthma | Asthma | 2105 | 6 | Disease | disease | asthma
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 0 | 10 | Chemical | chemical | Ivermectin
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 80 | 10 | Chemical | chemical | Ivermectin
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 212 | 10 | Chemical | chemical | Ivermectin
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 285 | 10 | Chemical | chemical | Ivermectin
38606261 | @CHEMICAL_avermectin | avermectin | 315 | 10 | Chemical | chemical | avermectin
38606261 | @DISEASE_Parasitic_Diseases | Parasitic Diseases | 351 | 20 | Disease | disease | parasitic infections
38606261 | @DISEASE_Inflammation | Inflammation | 457 | 23 | Disease | disease | inflammatory conditions
38606261 | @DISEASE_Virus_Diseases | Virus Diseases | 482 | 16 | Disease | disease | viral infections
38606261 | @DISEASE_Neoplasms | Neoplasms | 504 | 7 | Disease | disease | cancers
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 513 | 10 | Chemical | chemical | Ivermectin
38606261 | @DISEASE_Inflammation | Inflammation | 547 | 12 | Disease | disease | inflammatory
38606261 | @DISEASE_Parasitic_Diseases | Parasitic Diseases | 650 | 18 | Disease | disease | parasitic diseases
38606261 | @DISEASE_Scabies | Scabies | 678 | 7 | Disease | disease | scabies
38606261 | @DISEASE_Malaria | Malaria | 690 | 7 | Disease | disease | malaria
38606261 | @GENE_ABCB1 | ABCB1 | 809 | 14 | Gene | gene | P-glycoprotein
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 901 | 10 | Chemical | chemical | ivermectin
38606261 | @GENE_NFKB1 | NFKB1 | 987 | 9 | Gene | gene | NF-kappaB
38606261 | @DISEASE_Inflammation | Inflammation | 1117 | 12 | Disease | disease | inflammatory
38606261 | @DISEASE_Rosacea | Rosacea | 1145 | 7 | Disease | disease | rosacea
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 1154 | 10 | Chemical | chemical | Ivermectin
38606261 | @DISEASE_Infections | Infections | 1202 | 10 | Disease | disease | infections
38606261 | @CHEMICAL_Ivermectin | Ivermectin | 1402 | 10 | Chemical | chemical | ivermectin
38606261 | @DISEASE_Neoplasms | Neoplasms | 1528 | 7 | Disease | disease | cancers
1535337 | @GENE_CD4 | Cd4 | 83 | 3 | Gene | gene | CD4
1535337 | @GENE_CD4 | Cd4 | 112 | 3 | Gene | gene | CD4
1535337 | @GENE_CD4 | Cd4 | 324 | 3 | Gene | gene | CD4
1535337 | @GENE_CD247 | Cd247 | 336 | 3 | Gene | gene | CD3
1535337 | @GENE_CD24A | Cd24a | 349 | 3 | Gene | gene | HSA
1535337 | @GENE_CD4 | Cd4 | 394 | 3 | Gene | gene | CD4
1535337 | @GENE_CD247 | Cd247 | 406 | 3 | Gene | gene | CD3
1535337 | @GENE_CD5 | Cd5 | 412 | 4 | Gene | gene | CD5(
1535337 | @GENE_CD24A | Cd24a | 421 | 3 | Gene | gene | HSA
1535337 | @GENE_CD44 | Cd44 | 433 | 4 | Gene | gene | CD44
1535337 | @GENE_THY1 | Thy1 | 472 | 7 | Gene | gene | Thy-1.1
1535337 | @GENE_ITGAL | Itgal | 481 | 6 | Gene | gene | Ly-2.1
1535337 | @GENE_LY31 | Ly31 | 493 | 6 | Gene | gene | Ly-3.1
1535337 | @GENE_CD8A | Cd8a | 802 | 9 | Gene | gene | CD8 alpha
1535337 | @DISEASE_Diabetes_Mellitus_Insulin_Dependent_12 | Diabetes Mellitus Insulin-Dependent 12 | 934 | 12 | Disease | disease | SAKRTLS 12.1
1661605 | @GENE_THY1 | Thy1 | 280 | 5 | Gene | gene | Thy-1
1661605 | @GENE_CD8B1 | Cd8b1 | 315 | 5 | Gene | gene | Lyt-3
1661605 | @GENE_PITPNA | Pitpna | 413 | 6 | Gene | gene | V beta
1661605 | @GENE_CD8A | Cd8a | 1050 | 5 | Gene | gene | Lyt-2
1661605 | @GENE_CD8B1 | Cd8b1 | 1064 | 5 | Gene | gene | Lyt-3
1673361 | @GENE_CD8A | Cd8a | 110 | 5 | Gene | gene | Lyt-2
1673361 | @GENE_CD8B1 | Cd8b1 | 120 | 5 | Gene | gene | Lyt-3
1673361 | @GENE_CD8A | Cd8a | 195 | 5 | Gene | gene | Lyt-2
1673361 | @GENE_CD4 | Cd4 | 333 | 3 | Gene | gene | CD4
1673361 | @GENE_CD4 | Cd4 | 817 | 3 | Gene | gene | CD4
1673361 | @GENE_TRAV6_3 | Trav6-3 | 821 | 3 | Gene | gene | TcR
1673361 | @GENE_CD4 | Cd4 | 829 | 3 | Gene | gene | CD4
1836956 | @GENE_IL7 | Il7 | 0 | 13 | Gene | gene | Interleukin 7
1836956 | @GENE_IL1 | Il1 | 195 | 26 | Gene | gene | IL-1, 2, 3, 4, 5, 6, and 7
1836956 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 253 | 31 | Chemical | chemical | phorbol 12-myristate 13-acetate
1836956 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 286 | 3 | Chemical | chemical | PMA
1836956 | @GENE_IL4 | Il4 | 319 | 4 | Gene | gene | IL-4
1836956 | @GENE_IL7 | Il7 | 328 | 4 | Gene | gene | IL-7
1836956 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 395 | 3 | Chemical | chemical | PMA
1836956 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 518 | 3 | Chemical | chemical | PMA
1836956 | @GENE_IL4 | Il4 | 527 | 4 | Gene | gene | IL-4
1836956 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 540 | 3 | Chemical | chemical | PMA
1836956 | @GENE_IL2 | Il2 | 549 | 4 | Gene | gene | IL-2
1836956 | @GENE_CD4 | Cd4 | 563 | 3 | Gene | gene | CD4
1836956 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 688 | 3 | Chemical | chemical | PMA
1836956 | @GENE_IL7 | Il7 | 697 | 4 | Gene | gene | IL-7
1836956 | @GENE_TCRD | Tcrd | 777 | 16 | Gene | gene | TCR gamma, delta
1836956 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 898 | 3 | Chemical | chemical | PMA
1836956 | @GENE_IL7 | Il7 | 907 | 4 | Gene | gene | IL-7
1836956 | @GENE_CD4 | Cd4 | 941 | 3 | Gene | gene | CD4
1836956 | @GENE_CD8A | Cd8a | 945 | 7 | Gene | gene | Lyt-2-3
1836956 | @GENE_CD4 | Cd4 | 955 | 3 | Gene | gene | CD4
1836956 | @GENE_CD8A | Cd8a | 959 | 5 | Gene | gene | Lyt-2
1836956 | @GENE_CD8B1 | Cd8b1 | 967 | 5 | Gene | gene | Lyt-3
1836956 | @GENE_CD4 | Cd4 | 978 | 3 | Gene | gene | CD4
1836956 | @GENE_CD8A | Cd8a | 982 | 5 | Gene | gene | Lyt-2
1836956 | @GENE_CD8B1 | Cd8b1 | 990 | 5 | Gene | gene | Lyt-3
1836956 | @GENE_IL7 | Il7 | 1108 | 4 | Gene | gene | IL-7
1836956 | @GENE_CD4 | Cd4 | 1137 | 3 | Gene | gene | CD4
1836956 | @GENE_IL7 | Il7 | 1357 | 4 | Gene | gene | IL-7
2118122 | @GENE_CD8A | CD8A | 30 | 9 | Gene | gene | CD8 alpha
2118122 | @GENE_LCK | LCK | 83 | 6 | Gene | gene | p56lck
2118122 | @GENE_CD8A | CD8A | 95 | 3 | Gene | gene | CD8
2118122 | @GENE_CD8B | CD8B | 197 | 7 | Gene | gene | (Lyt-3)
2118122 | @GENE_CD4 | CD4 | 244 | 3 | Gene | gene | CD4
2118122 | @GENE_CD8A | CD8A | 252 | 3 | Gene | gene | CD8
2118122 | @GENE_TXK | TXK | 313 | 15 | Gene | gene | tyrosine kinase
2118122 | @GENE_LCK | LCK | 329 | 6 | Gene | gene | p56lck
2118122 | @GENE_LCK | LCK | 391 | 6 | Gene | gene | p56lck
2118122 | @GENE_CD4 | CD4 | 422 | 3 | Gene | gene | CD4
2118122 | @GENE_CD8A | CD8A | 430 | 3 | Gene | gene | CD8
2118122 | @GENE_CD8A | CD8A | 506 | 9 | Gene | gene | CD8 alpha
2118122 | @GENE_CD8A | CD8A | 621 | 9 | Gene | gene | CD8 alpha
2118122 | @GENE_LCK | LCK | 673 | 6 | Gene | gene | p56lck
2118122 | @GENE_CD8A | CD8A | 781 | 9 | Gene | gene | CD8 alpha
2118122 | @GENE_LCK | LCK | 836 | 6 | Gene | gene | p56lck
2140790 | @GENE_CD8A | Cd8a | 24 | 9 | Gene | gene | CD8 alpha
2140790 | @GENE_CD8A | Cd8a | 35 | 4 | Gene | gene | Ly-2
2140790 | @GENE_TCRD | Tcrd | 115 | 33 | Gene | gene | T cell receptor (TcR) gamma/delta
2140790 | @GENE_CD4 | Cd4 | 161 | 3 | Gene | gene | CD4
2140790 | @GENE_CD8A | Cd8a | 375 | 9 | Gene | gene | CD8 alpha
2140790 | @GENE_CD8A | Cd8a | 386 | 4 | Gene | gene | Ly-2
2140790 | @GENE_CD8B1 | Cd8b1 | 396 | 8 | Gene | gene | CD8 beta
2140790 | @GENE_CD8B1 | Cd8b1 | 406 | 4 | Gene | gene | Ly-3
2140790 | @GENE_CD8A | Cd8a | 441 | 9 | Gene | gene | CD8 alpha
2140790 | @GENE_CD8A | Cd8a | 621 | 9 | Gene | gene | CD8 alpha
2140790 | @GENE_CD8A | Cd8a | 724 | 9 | Gene | gene | CD8 alpha
2140790 | @GENE_CD8B1 | Cd8b1 | 734 | 8 | Gene | gene | CD8 beta
2332632 | @GENE_IL2 | IL2 | 113 | 4 | Gene | gene | IL-2
2332632 | @GENE_IL2RA | IL2RA | 158 | 19 | Gene | gene | IL-2 receptor alpha
2332632 | @GENE_IL2RA | IL2RA | 232 | 11 | Gene | gene | IL-2R alpha
2332632 | @GENE_IL2RA | Il2ra | 361 | 11 | Gene | gene | IL-2R alpha
2332632 | @GENE_IL2RB | Il2rb | 395 | 10 | Gene | gene | IL-2R beta
2332632 | @GENE_IL2RB | Il2rb | 621 | 10 | Gene | gene | IL-2R beta
2332632 | @GENE_CD247 | Cd247 | 715 | 3 | Gene | gene | CD3
2332632 | @GENE_CD4 | Cd4 | 719 | 3 | Gene | gene | CD4
2332632 | @GENE_CD8A | CD8A | 723 | 3 | Gene | gene | CD8
2332632 | @GENE_CD4 | Cd4 | 772 | 3 | Gene | gene | CD4
2332632 | @GENE_CD8A | CD8A | 970 | 3 | Gene | gene | CD8
2332632 | @GENE_CD247 | Cd247 | 1015 | 3 | Gene | gene | CD3
2332632 | @GENE_CD247 | Cd247 | 1033 | 3 | Gene | gene | CD3
2332632 | @GENE_CD247 | Cd247 | 1066 | 3 | Gene | gene | CD3
2332632 | @GENE_CD247 | Cd247 | 1234 | 3 | Gene | gene | CD3
2332632 | @GENE_CD8A | CD8A | 1255 | 3 | Gene | gene | CD8
2332632 | @GENE_CD8A | Cd8a | 1260 | 5 | Gene | gene | Lyt-2
2332632 | @GENE_CD8B1 | Cd8b1 | 1285 | 5 | Gene | gene | Lyt-3
2332632 | @GENE_CD247 | Cd247 | 1300 | 3 | Gene | gene | CD3
2332632 | @GENE_CD8A | CD8A | 1304 | 3 | Gene | gene | CD8
2332632 | @GENE_CD8A | CD8A | 1440 | 3 | Gene | gene | CD8
2332632 | @GENE_CD247 | Cd247 | 1496 | 3 | Gene | gene | CD3
2332632 | @GENE_CD4 | Cd4 | 1500 | 3 | Gene | gene | CD4
2332632 | @GENE_CD8A | CD8A | 1504 | 3 | Gene | gene | CD8
2332632 | @GENE_TRAV6_3 | Trav6-3 | 1508 | 3 | Gene | gene | TCR
2332632 | @GENE_ITGAM | Itgam | 1512 | 4 | Gene | gene | Mac1
2332632 | @GENE_CD247 | Cd247 | 1556 | 3 | Gene | gene | CD3
2332632 | @GENE_CD4 | Cd4 | 1560 | 3 | Gene | gene | CD4
2332632 | @GENE_CD8A | CD8A | 1564 | 3 | Gene | gene | CD8
2332632 | @GENE_TRAV6_3 | Trav6-3 | 1615 | 3 | Gene | gene | TCR
2332632 | @GENE_IL2RB | Il2rb | 1732 | 10 | Gene | gene | IL-2R beta
2332632 | @GENE_CD4 | Cd4 | 1860 | 3 | Gene | gene | CD4
2523934 | @GENE_CD3E | Cd3e | 45 | 3 | Gene | gene | CD3
2523934 | @GENE_CD4 | Cd4 | 50 | 3 | Gene | gene | CD4
2523934 | @GENE_CD3E | Cd3e | 114 | 3 | Gene | gene | CD3
2523934 | @GENE_CD4 | Cd4 | 119 | 3 | Gene | gene | CD4
2523934 | @GENE_CD3E | Cd3e | 441 | 3 | Gene | gene | CD3
2523934 | @GENE_CD4 | Cd4 | 446 | 3 | Gene | gene | CD4
2523934 | @GENE_THY1 | Thy1 | 509 | 5 | Gene | gene | Thy-1
2523934 | @GENE_IL2RA | Il2ra | 524 | 5 | Gene | gene | IL-2R
2523934 | @GENE_CD24A | Cd24a | 531 | 3 | Gene | gene | HSA
2523934 | @GENE_PTPRC | Ptprc | 536 | 4 | Gene | gene | B220
2523934 | @GENE_LY6C1 | Ly6c1 | 565 | 5 | Gene | gene | Ly-6C
2523934 | @GENE_CD44 | Cd44 | 580 | 5 | Gene | gene | Pgp-1
2523934 | @GENE_CD3E | Cd3e | 594 | 3 | Gene | gene | CD3
2523934 | @GENE_CD4 | Cd4 | 599 | 3 | Gene | gene | CD4
2523934 | @GENE_CD3E | Cd3e | 664 | 11 | Gene | gene | CD3-epsilon
2523934 | @GENE_IL2 | Il2 | 695 | 4 | Gene | gene | IL-2
2523934 | @GENE_PTPRC | Ptprc | 753 | 4 | Gene | gene | B220
2523934 | @GENE_IL2RA | Il2ra | 762 | 5 | Gene | gene | IL-2R
2523934 | @GENE_CD8B1 | Cd8b1 | 992 | 5 | Gene | gene | Lyt-3
2523934 | @GENE_CD3E | Cd3e | 1141 | 11 | Gene | gene | CD3-epsilon
2523934 | @GENE_THY1 | Thy1 | 1154 | 5 | Gene | gene | Thy-1
2523934 | @GENE_LY6C1 | Ly6c1 | 1165 | 5 | Gene | gene | Ly-6C
2523934 | @GENE_CD3E | Cd3e | 1304 | 3 | Gene | gene | CD3
2523934 | @GENE_CD4 | Cd4 | 1309 | 3 | Gene | gene | CD4
2523934 | @GENE_FCR | Fcr | 1392 | 3 | Gene | gene | FcR
2523934 | @GENE_CD3E | Cd3e | 1436 | 11 | Gene | gene | CD3-epsilon
2523934 | @GENE_CD3E | Cd3e | 1514 | 11 | Gene | gene | CD3-epsilon
2523934 | @GENE_CD3E | Cd3e | 1550 | 3 | Gene | gene | CD3
2523934 | @GENE_CD4 | Cd4 | 1556 | 3 | Gene | gene | CD4
2523934 | @GENE_IL2 | Il2 | 1626 | 4 | Gene | gene | IL-2
2523934 | @GENE_IL3 | Il3 | 1632 | 4 | Gene | gene | IL-3
2523934 | @GENE_IFNG | Ifng | 1638 | 9 | Gene | gene | IFN-gamma
2523934 | @GENE_TNF | Tnf | 1653 | 3 | Gene | gene | TNF
2523934 | @GENE_CD3E | Cd3e | 1692 | 11 | Gene | gene | CD3-epsilon
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 29 | 23 | Disease | disease | rheumatic heart disease
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 236 | 23 | Disease | disease | rheumatic heart disease
2952796 | @DISEASE_Tonsillitis | Tonsillitis | 354 | 11 | Disease | disease | tonsillitis
2952796 | @DISEASE_Rheumatic_Fever | Rheumatic Fever | 394 | 15 | Disease | disease | rheumatic fever
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 413 | 23 | Disease | disease | rheumatic heart disease
2952796 | @GENE_CD8B | CD8B | 489 | 5 | Gene | gene | Lyt-3
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 630 | 23 | Disease | disease | rheumatic heart disease
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 872 | 23 | Disease | disease | rheumatic heart disease
2955903 | @GENE_CD8A | CD8A | 177 | 3 | Gene | gene | CD8
2955903 | @GENE_CD4 | CD4 | 305 | 3 | Gene | gene | CD4
2955903 | @GENE_CD8B | CD8B | 642 | 5 | Gene | gene | Lyt-3
2955903 | @GENE_CD4 | CD4 | 823 | 3 | Gene | gene | CD4
3872139 | @DISEASE_Lymphoproliferative_Disorders | Lymphoproliferative Disorders | 87 | 45 | Disease | disease | chronic T gamma lymphoproliferative disorders
3872139 | @DISEASE_Lymphocytosis | Lymphocytosis | 148 | 21 | Disease | disease | T gamma lymphocytosis
3872139 | @DISEASE_Lymphoproliferative_Disorders | Lymphoproliferative Disorders | 246 | 39 | Disease | disease | chronic T lymphoproliferative disorders
3872139 | @DISEASE_Neoplasms | Neoplasms | 313 | 10 | Disease | disease | malignancy
3872139 | @DISEASE_Neoplasms | Neoplasms | 1230 | 5 | Disease | disease | tumor
3872139 | @DISEASE_Melanoma | Melanoma | 1284 | 14 | Disease | disease | melanoma tumor
3872139 | @GENE_B3GAT1 | B3GAT1 | 1416 | 4 | Gene | gene | HNK1
3872139 | @GENE_CD8B | CD8B | 1430 | 4 | Gene | gene | Lyt3
3872139 | @GENE_WT1 | WT1 | 1437 | 3 | Gene | gene | WT1
6233369 | @DISEASE_Neoplasms | Neoplasms | 867 | 5 | Disease | disease | tumor
6233369 | @GENE_B3GAT1 | B3GAT1 | 973 | 4 | Gene | gene | HNK1
6233369 | @GENE_CD8B | CD8B | 985 | 5 | Gene | gene | Lyt-3
6233369 | @GENE_B3GAT1 | B3GAT1 | 1210 | 4 | Gene | gene | HNK1
6233369 | @GENE_CD8B | CD8B | 1218 | 5 | Gene | gene | Lyt-3
6233369 | @GENE_B3GAT1 | B3GAT1 | 1427 | 4 | Gene | gene | HNK1
6233369 | @GENE_CD8B | CD8B | 1435 | 5 | Gene | gene | Lyt-3
6233369 | @GENE_B3GAT1 | B3GAT1 | 1577 | 4 | Gene | gene | HNK1
6233369 | @GENE_CD8B | CD8B | 1585 | 5 | Gene | gene | Lyt-3
6233369 | @GENE_CD8B | CD8B | 1813 | 5 | Gene | gene | Lyt-3
6233369 | @GENE_B3GAT1 | B3GAT1 | 2485 | 4 | Gene | gene | HNK1
6388971 | @GENE_IGHE | IGHE | 68 | 3 | Gene | gene | IgE
6388971 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 86 | 17 | Disease | disease | atopic dermatitis
6388971 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 118 | 17 | Disease | disease | Atopic dermatitis
6388971 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 137 | 2 | Disease | disease | AD
6388971 | @DISEASE_Immune_System_Diseases | Immune System Diseases | 167 | 20 | Disease | disease | immune abnormalities
6388971 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 392 | 2 | Disease | disease | AD
6388971 | @GENE_IGHE | IGHE | 450 | 3 | Gene | gene | IgE
6388971 | @GENE_CD8B | CD8B | 595 | 4 | Gene | gene | Lyt3
6388971 | @GENE_IGHE | IGHE | 778 | 3 | Gene | gene | IgE
6388971 | @GENE_IGHE | IGHE | 918 | 3 | Gene | gene | IgE
6388971 | @GENE_IGHE | IGHE | 1051 | 3 | Gene | gene | IgE
6388971 | @GENE_IGHE | IGHE | 1170 | 3 | Gene | gene | IgE
6388971 | @GENE_IGHE | IGHE | 1246 | 3 | Gene | gene | IgE
6388971 | @GENE_IGHE | IGHE | 1529 | 3 | Gene | gene | IgE
10477615 | @GENE_LGALS3 | LGALS3 | 16 | 23 | Gene | gene | laminin binding protein
10477615 | @CHEMICAL_Ionomycin | Ionomycin | 571 | 9 | Chemical | chemical | ionomycin
10477615 | @GENE_CD4 | CD4 | 731 | 3 | Gene | gene | CD4
10477615 | @GENE_CD4 | CD4 | 743 | 3 | Gene | gene | CD4
10477615 | @GENE_ITGA6 | ITGA6 | 840 | 15 | Gene | gene | integrin alpha6
10477615 | @GENE_ITGA6 | ITGA6 | 863 | 5 | Gene | gene | CD49f
10477615 | @DISEASE_Neoplasms | Neoplasms | 915 | 5 | Disease | disease | tumor
10477615 | @GENE_ITGB1 | ITGB1 | 974 | 14 | Gene | gene | integrin beta1
10477615 | @GENE_TWF1 | TWF1 | 1012 | 6 | Gene | gene | alpha6
10477615 | @GENE_ITGA6 | ITGA6 | 1061 | 31 | Gene | gene | very late activation Ag (VLA)-6
10477615 | @GENE_LBP | LBP | 1160 | 3 | Gene | gene | LBP
10477615 | @GENE_MRAP | MRAP | 1262 | 4 | Gene | gene | B2.7
10477615 | @GENE_MRAP | MRAP | 1299 | 4 | Gene | gene | B2.7
10477615 | @GENE_ITGA6 | ITGA6 | 1392 | 5 | Gene | gene | VLA-6
10477615 | @GENE_ITGA6 | ITGA6 | 1529 | 5 | Gene | gene | VLA-6
11104582 | @CHEMICAL_Raloxifene_Hydrochloride | Raloxifene Hydrochloride | 11 | 10 | Chemical | chemical | raloxifene
11104582 | @GENE_ESR1 | Esr1 | 35 | 17 | Gene | gene | estrogen receptor
11104582 | @DISEASE_Inflammation | Inflammation | 98 | 12 | Disease | disease | inflammation
11104582 | @CHEMICAL_Raloxifene_Hydrochloride | Raloxifene Hydrochloride | 120 | 10 | Chemical | chemical | Raloxifene
11104582 | @GENE_ESR1 | Esr1 | 146 | 17 | Gene | gene | estrogen receptor
11104582 | @DISEASE_Osteoporosis | Osteoporosis | 201 | 12 | Disease | disease | osteoporosis
11104582 | @CHEMICAL_Lipids | Lipids | 330 | 6 | Chemical | chemical | lipids
11104582 | @CHEMICAL_Raloxifene_Hydrochloride | Raloxifene Hydrochloride | 444 | 10 | Chemical | chemical | raloxifene
11104582 | @CHEMICAL_LY_117018 | LY 117018 | 464 | 8 | Chemical | chemical | LY117018
11104582 | @CHEMICAL_LY_117018 | LY 117018 | 474 | 2 | Chemical | chemical | LY
11104582 | @DISEASE_Hereditary_Angioedema_Type_III | Hereditary Angioedema Type III | 482 | 10 | Disease | disease | estrogenic
11104582 | @DISEASE_Inflammation | Inflammation | 543 | 12 | Disease | disease | inflammation
11104582 | @CHEMICAL_LY_117018 | LY 117018 | 667 | 2 | Chemical | chemical | LY
11104582 | @CHEMICAL_Estradiol | Estradiol | 684 | 16 | Chemical | chemical | 17beta-estradiol
11104582 | @CHEMICAL_Estradiol | Estradiol | 702 | 2 | Chemical | chemical | E2
11104582 | @GENE_CD4 | Cd4 | 820 | 3 | Gene | gene | CD4
11104582 | @DISEASE_Inflammation | Inflammation | 874 | 12 | Disease | disease | inflammation
11104582 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 921 | 29 | Disease | disease | delayed-type hypersensitivity
11104582 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 952 | 3 | Disease | disease | DTH
11104582 | @DISEASE_Edema | Edema | 982 | 16 | Disease | disease | footpad swelling
11104582 | @CHEMICAL_LY_117018 | LY 117018 | 1000 | 2 | Chemical | chemical | LY
11104582 | @CHEMICAL_Estradiol | Estradiol | 1040 | 2 | Chemical | chemical | E2
11104582 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 1046 | 3 | Disease | disease | DTH
11104582 | @DISEASE_Inflammation | Inflammation | 1075 | 12 | Disease | disease | inflammation
11104582 | @CHEMICAL_LY_117018 | LY 117018 | 1102 | 2 | Chemical | chemical | LY
11104582 | @DISEASE_Atrophy | Atrophy | 1124 | 14 | Disease | disease | thymus atrophy
11104582 | @CHEMICAL_Estradiol | Estradiol | 1153 | 2 | Chemical | chemical | E2
11104582 | @CHEMICAL_Estradiol | Estradiol | 1184 | 2 | Chemical | chemical | E2
11104582 | @GENE_CD4 | Cd4 | 1205 | 3 | Gene | gene | CD4
11104582 | @CHEMICAL_Raloxifene_Hydrochloride | Raloxifene Hydrochloride | 1264 | 10 | Chemical | chemical | raloxifene
11104582 | @DISEASE_Inflammation | Inflammation | 1357 | 12 | Disease | disease | inflammation
11104582 | @GENE_ESR1 | Esr1 | 1431 | 17 | Gene | gene | estrogen receptor
11104582 | @DISEASE_Rheumatic_Diseases | Rheumatic Diseases | 1514 | 29 | Disease | disease | autoimmune rheumatic diseases
18796705 | @DISEASE_Infections | Infections | 594 | 9 | Disease | disease | infection
18796705 | @DISEASE_Infections | Infections | 976 | 9 | Disease | disease | infection
18796705 | @DISEASE_Inflammation | Inflammation | 1029 | 12 | Disease | disease | inflammatory
18796705 | @DISEASE_Infections | Infections | 1113 | 9 | Disease | disease | infection
18796705 | @GENE_CD4 | Cd4 | 1140 | 3 | Gene | gene | CD4
