28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-C
27107455 | Positive_Correlation | Kpna2 | Il23a
28148715 | Negative_Correlation | selinexor | Neoplasms
28148715 | Association | Melanoma | Pdcd1
28148715 | Association | Melanoma | CD274
28148715 | Association | Melanoma | Cd274
28148715 | Positive_Correlation | selinexor | CD274
28148715 | Negative_Correlation | selinexor | Melanoma
28148715 | Positive_Correlation | selinexor | CTLA4
28148715 | Positive_Correlation | selinexor | CD4
28148715 | Positive_Correlation | selinexor | PDCD1
28148715 | Negative_Correlation | selinexor | XPO1
28621822 | Association | Sjogren's Syndrome | NR4A2
28621822 | Association | Sjogren's Syndrome | RORC
28621822 | Negative_Correlation | importazole | IL21
28621822 | Association | NR4A2 | CD4
28621822 | Association | Sjogren's Syndrome | CD4
28621822 | Negative_Correlation | importazole | NR4A2
28621822 | Association | Sjogren's Syndrome | IL17A
28944101 | Association | Lupus Erythematosus Systemic | KLRK1
28944101 | Bind | KLRK1 | KLRC1
28944101 | Association | KLRK1 | MICB
28944101 | Association | Lupus Erythematosus Systemic | MICB
28944101 | Association | MICB | CD4
28944101 | Association | Lupus Erythematosus Systemic | CD4
28944101 | Association | Lupus Erythematosus Systemic | MICA
28944101 | Association | KLRK1 | CD4
28944101 | Association | MICA | KLRK1
29023371 | Association | HIV Infections | HLA-A
29381435 | Negative_Correlation | Bortezomib | Drug Resistant Epilepsy
29381435 | Negative_Correlation | selinexor | 49 XXXXX syndrome
29381435 | Association | Neoplasms | XPO1
29381435 | Positive_Correlation | selinexor | Neutropenia
29381435 | Positive_Correlation | selinexor | Thrombocytopenia
29381435 | Negative_Correlation | Dexamethasone | Multiple Myeloma
29381435 | Negative_Correlation | selinexor | Multiple Myeloma
29381435 | Negative_Correlation | Lenalidomide | Multiple Myeloma
29381435 | Negative_Correlation | selinexor | Drug Resistant Epilepsy
29381435 | Negative_Correlation | carfilzomib | Multiple Myeloma
29381435 | Negative_Correlation | selinexor | XPO1
29381435 | Negative_Correlation | Neoplasms | NR3C1
29381435 | Negative_Correlation | carfilzomib | Drug Resistant Epilepsy
29381435 | Negative_Correlation | Bortezomib | Multiple Myeloma
29381435 | Positive_Correlation | selinexor | Leukopenia
29381435 | Positive_Correlation | selinexor | Anemia
29381435 | Negative_Correlation | selinexor | Neoplasms
29381435 | Negative_Correlation | pomalidomide | Multiple Myeloma
29381435 | Cotreatment | selinexor | Dexamethasone
29381435 | Negative_Correlation | PENTA | Multiple Myeloma
29381435 | Positive_Correlation | selinexor | Hyponatremia
29381435 | Positive_Correlation | selinexor | Fatigue
30867508 | Negative_Correlation | hexamethylene bisacetamide | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
30867508 | Association | Neoplasms | KLRK1
30867508 | Association | HCST | IL15
30867508 | Association | hexamethylene bisacetamide | IL15
30867508 | Bind | KLRK1 | MICB
30867508 | Positive_Correlation | hexamethylene bisacetamide | ULBP2
30867508 | Negative_Correlation | hexamethylene bisacetamide | KLRK1
30867508 | Positive_Correlation | hexamethylene bisacetamide | MICB
30867508 | Association | hexamethylene bisacetamide | prostratin
30867508 | Negative_Correlation | hexamethylene bisacetamide | HCST
30867508 | Positive_Correlation | prostratin | ULBP2
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | IL15
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | KLRK1
30867508 | Negative_Correlation | hexamethylene bisacetamide | Precursor Cell Lymphoblastic Leukemia-Lymphoma
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | ULBP2
30867508 | Bind | KLRK1 | ULBP2
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | MICB
30867508 | Negative_Correlation | hexamethylene bisacetamide | Neoplasms
30867508 | Bind | HCST | KLRK1
30867508 | Negative_Correlation | hexamethylene bisacetamide | Leukemia
31341054 | Association | TNPO3 | IFNA1
31597697 | Negative_Correlation | Foxp3 | Nlrp3
31597697 | Association | Inflammation | Nlrp3
31597697 | Association | Cd4 | Nlrp3
31597697 | Association | Kpna2 | Nlrp3
31611641 | Association | HIV Infections | TNPO1
31759187 | Positive_Correlation | ITIH4 | FURIN
31759187 | Association | rev | PACS1
31759187 | Association | ITIH4 | PACS1
31759187 | Association | gag-pol | PACS1
31759187 | Association | rev | XPO1
31759187 | Positive_Correlation | TMED2 | PACS1
31759187 | Association | FURIN | PACS1
31759187 | Association | PACS1 | XPO1
31759187 | Positive_Correlation | ENPEP | FURIN
33101298 | Association | KLRK1 | MICB
33101298 | Association | Squamous Cell Carcinoma of Head and Neck | BTN1A1
33101298 | Association | Neoplasms | BTN1A1
33101298 | Association | Squamous Cell Carcinoma of Head and Neck | BTN3A3
33535183 | Association | Carcinoma Hepatocellular | KPNA4
33535183 | Association | KPNA4 | CD4
33535183 | Association | KPNA4 | CD8A
35186822 | Association | Mucocutaneous Lymph Node Syndrome | CD14
35186822 | Association | Mucocutaneous Lymph Node Syndrome | NCAM1
35186822 | Association | Mucocutaneous Lymph Node Syndrome | FCGR3A
35388299 | Positive_Correlation | Dextran Sulfate | Weight Loss
35388299 | Positive_Correlation | Dextran Sulfate | Colorectal Neoplasms
35388299 | Positive_Correlation | Dextran Sulfate | Colonic Diseases
35388299 | Positive_Correlation | Dextran Sulfate | Colitis
36059511 | Negative_Correlation | Colonic Diseases | CD274
36059511 | Negative_Correlation | PSEN1 | CD8A
36059511 | Positive_Correlation | CD274 | PSEN1
36059511 | Association | Colonic Diseases | PSEN1
36059511 | Association | Colorectal Neoplasms | CD274
36059511 | Association | PSEN1 | VIM
36059511 | Association | Neoplasms | PSEN1
36059511 | Association | PSEN1 | CD4
36059511 | Association | HDAC2 | PSEN1
36059511 | Association | Colorectal Neoplasms | PSEN1
36520384 | Association | Stomach Neoplasms | PRKACA
36520384 | Association | Lipids | Stomach Neoplasms
36520384 | Association | Stomach Neoplasms | PIAS4
36520384 | Association | Lipids | STARD4
36520384 | Association | Lipids | SLCO1A2
36520384 | Association | Stomach Neoplasms | ITGB2
36520384 | Association | Stomach Neoplasms | SLCO1A2
36520384 | Association | Lipids | Neoplasms
36520384 | Association | Stomach Neoplasms | PLA2R1
36520384 | Association | Lipids | PLA2R1
36520384 | Association | Stomach Neoplasms | STARD4
36520384 | Association | Lipids | PRKACA
36520384 | Association | Lipids | PIAS4
37008329 | Association | Aneurysm | Mmp2
37008329 | Positive_Correlation | Eln | Pias3
37008329 | Association | Aortic Aneurysm Abdominal | Pias3
37008329 | Association | Aneurysm | Pias3
37008329 | Positive_Correlation | Cd4 | Pias3
37008329 | Association | Aneurysm | Mmp9
37008329 | Association | Aortic Aneurysm Familial Abdominal 1 | Pias3
37008329 | Positive_Correlation | Mmp9 | Pias3
37008329 | Association | Aortic Aneurysm Abdominal | Eln
37008329 | Negative_Correlation | Stat3 | Pias3
37008329 | Association | Aortic Aneurysm | Pias3
37008329 | Positive_Correlation | Mmp2 | Pias3
37254791 | Association | HIV Infections | IRF5
37254791 | Association | TNPO3 | IRF5
37711200 | Association | Neoplasms | CCL14
37711200 | Association | Carcinoma Renal Cell | KIF14
37711200 | Association | Neoplasms | TNFSF13
37711200 | Association | Neoplasms | CXCL16
37711200 | Association | Neoplasms | CD276
37711200 | Association | Neoplasms | KIF14
37711200 | Association | Neoplasms | TNFRSF14
10557076 | Association | Pancreatic Neoplasms | IRF2
10557076 | Association | IRF2 | TMEM132A
10557076 | Association | Malocclusion Angle Class II | IRF1
10557076 | Positive_Correlation | IFNG | CIITA
10557076 | Association | CIITA | CD4
10557076 | Bind | IRF1 | TMEM132A
10557076 | Association | Neoplasms | IRF2
10557076 | Positive_Correlation | Malocclusion Angle Class II | IRF2
13678465 | Association | Cognition Disorders | CD4
14611728 | Association | Tuberculosis Pulmonary | APP
14611728 | Association | Tuberculosis | APP
14611728 | Positive_Correlation | Tuberculosis | CD4
15888249 | Association | HIV Infections | KLRD1
15888249 | Positive_Correlation | HLA-E | CD4
15888249 | Negative_Correlation | HIV Infections | HLA-A
15888249 | Bind | HLA-E | KLRD1
15888249 | Positive_Correlation | HIV Infections | HLA-E
15888249 | Negative_Correlation | HIV Infections | HLA-C
15888249 | Negative_Correlation | HIV Infections | HLA-B
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | PIAS1
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | RNASEL
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | OLR1
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | ITGAL
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | RTN4RL2
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | NUMB
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | CD8A
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | ITGAM
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | CASP8AP2
20855355 | Positive_Correlation | Multiple Sclerosis Relapsing-Remitting | IL37
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | IFNG
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | CD4
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | THBS1
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | MAPK8
20855355 | Negative_Correlation | bentamapimod | MAPK8
20855355 | Association | Multiple Sclerosis | MAPK8
20966256 | Bind | Foxp3 | Pias1
20966256 | Association | Encephalomyelitis Autoimmune Experimental | Pias1
22591364 | Association | Methamphetamine | Infections
22591364 | Association | Methamphetamine | IRF3
22591364 | Association | Methamphetamine | PIAS4
22591364 | Positive_Correlation | Methamphetamine | 270100
22591364 | Positive_Correlation | Methamphetamine | Viremia
22591364 | Association | Methamphetamine | SOCS2
22591364 | Association | HIV Infections | CD4
22591364 | Association | Methamphetamine | IRF5
22591364 | Association | Methamphetamine | PIAS3
22591364 | Association | Methamphetamine | DDX58
22591364 | Positive_Correlation | Methamphetamine | HIV Infections
22591364 | Association | Methamphetamine | SOCS3
22591364 | Association | Methamphetamine | PIAS1
22591364 | Positive_Correlation | Methamphetamine | Acquired Immunodeficiency Syndrome
22591364 | Association | Methamphetamine | PIAS2
25448495 | Negative_Correlation | Gabapentin | Pain
25448495 | Negative_Correlation | Gabapentin | Hydrocortisone
25448495 | Negative_Correlation | Gabapentin | Catecholamines
25448495 | Negative_Correlation | Gabapentin | CD4
25448495 | Association | Hydrocortisone | Pain
27004748 | Negative_Correlation | thiodigalactoside | Neoplasms
27004748 | Negative_Correlation | thiodigalactoside | IL10
27004748 | Negative_Correlation | thiodigalactoside | Mouth Neoplasms
27004748 | Negative_Correlation | thiodigalactoside | Squamous Cell Carcinoma of Head and Neck
27275775 | Association | GBP5 | vpu
28056393 | Association | CD274 | SOCS1
28056393 | Positive_Correlation | Lipopolysaccharides | TLR4
28056393 | Positive_Correlation | Lipopolysaccharides | SOCS3
28056393 | Association | HIV Infections | CD274
28056393 | Positive_Correlation | Lipopolysaccharides | PIAS1
28056393 | Positive_Correlation | Lipopolysaccharides | TNF
28056393 | Association | HIV Infections | SOCS3
28056393 | Positive_Correlation | CD274 | SOCS3
28056393 | Positive_Correlation | Lipopolysaccharides | SOCS1
28056393 | Positive_Correlation | Lipopolysaccharides | CXCL8
28056393 | Positive_Correlation | Lipopolysaccharides | NR0B2
28056393 | Association | HIV Infections | TNF
28056393 | Positive_Correlation | Lipopolysaccharides | IL10
28056393 | Association | Lipopolysaccharides | HIV Infections
28056393 | Association | HIV Infections | PIAS1
28056393 | Positive_Correlation | Lipopolysaccharides | IL12B
28056393 | Association | HIV Infections | IL10
28056393 | Positive_Correlation | HIV Infections | SOCS1
28056393 | Association | CD274 | NR0B2
28056393 | Positive_Correlation | Lipopolysaccharides | CD274
28056393 | Association | HIV Infections | CXCL8
28056393 | Association | HIV Infections | NR0B2
28056393 | Negative_Correlation | HIV Infections | IL12B
28056393 | Positive_Correlation | CD274 | PIAS1
29406430 | Positive_Correlation | abacavir lamivudine drug combination | Cholesterol
29406430 | Positive_Correlation | abacavir lamivudine drug combination | Kidney Diseases
29406430 | Positive_Correlation | abacavir lamivudine drug combination | Premature Birth
29406430 | Positive_Correlation | abacavir lamivudine drug combination | Hypertension
31730025 | Bind | Lipopeptides | TLR2
31730025 | Association | Granuloma | CD8A
31730025 | Association | Water | Granuloma
31730025 | Association | Lipopeptides | TLR1
33597887 | Negative_Correlation | Curcumin | Dextran Sulfate
33597887 | Negative_Correlation | Curcumin | Il7
33597887 | Association | Colitis | Stat5a
33597887 | Negative_Correlation | Curcumin | Cd4
33597887 | Negative_Correlation | Curcumin | Inflammation
33597887 | Positive_Correlation | Dextran Sulfate | Colitis
33597887 | Negative_Correlation | Curcumin | Inflammatory Bowel Diseases
33597887 | Association | Jak1 | Stat5a
33597887 | Negative_Correlation | Curcumin | Jak1
33597887 | Negative_Correlation | Curcumin | Il21
33597887 | Negative_Correlation | Curcumin | Il15
33597887 | Association | Colitis | Il7
33597887 | Negative_Correlation | Curcumin | Stat5a
33597887 | Association | Colitis | Il21
33597887 | Association | Colitis | Il15
33597887 | Negative_Correlation | Curcumin | Colitis
33597887 | Association | Colitis | Cd4
33597887 | Positive_Correlation | Curcumin | Pias1
33963983 | Association | Premature Birth | CD8A
33963983 | Association | Premature Birth | CD4
33963983 | Association | HIV Infections | CD4
33963983 | Association | HIV Infections | CD8A
34015361 | Negative_Correlation | Sirolimus | Obesity
34015361 | Negative_Correlation | Sirolimus | Inflammation
34015361 | Negative_Correlation | Sirolimus | Cd4
34795669 | Negative_Correlation | Formaldehyde | Distal myopathy Nonaka type
34956237 | Association | Copper-64 | CD4
34956237 | Association | Inflammation | CD4
34956237 | Association | Neoplasms | CD4
