1788521 | Cotreatment | Pyridostigmine Bromide | Trimedoxime
25289687 | Association | Adenoviridae Infections | TRBV20OR9-2
25289687 | Bind | APP | TRBV20OR9-2
25289687 | Association | Adenoviridae Infections | CD8A
25289687 | Association | Graft vs Host Disease | TRBV20OR9-2
29031612 | Association | Psoriasis | HLA-C
29031612 | Association | Psoriasis | HLA-A
29031612 | Association | Psoriasis | HLA-DQB1
30626427 | Association | Neoplasms | CTAG1A
30626427 | Association | CTAG1A | CD8B
30626427 | Association | Neoplasms | CD8A
30626427 | Association | CTAG1A | CD8A
30626427 | Association | Ovarian Neoplasms | CTAG1A
30626427 | Association | CTAG1A | TRBV20OR9-2
30626427 | Association | Neoplasms | TRBV20OR9-2
30626427 | Association | TRBV20OR9-2 | CD4
30626427 | Association | Neoplasms | CD4
30626427 | Association | CTAG1A | CD4
30626427 | Association | TRBV20OR9-2 | CD8A
30626427 | Association | Ovarian Neoplasms | TRBV20OR9-2
31921215 | Association | Infections | Cd4
32022317 | Association | Neoplasms | Cd8a
32289779 | Positive_Correlation | Light Fixation Seizure Syndrome | Cd4
32289779 | Association | Porcine Reproductive and Respiratory Syndrome | Cd4
33343569 | Association | Diabetes Mellitus Type 1 | Ifng
33343569 | Association | Diabetes Mellitus Type 1 | Jak1
33343569 | Association | Autoimmune Diseases | Jak1
33343569 | Association | Autoimmune Diseases | Jak2
33395585 | Positive_Correlation | Lipopolysaccharides | Arg1
33395585 | Negative_Correlation | Lipopolysaccharides | Cd40
33395585 | Association | Stat1 | Jak1
34759930 | Association | Neoplasms | Cd8a
34759930 | Bind | CD4 | CD8A
34759930 | Association | Neoplasms | CD8A
35739510 | Association | Carcinoma Renal Cell | CD8B
35739510 | Association | Carcinoma Renal Cell | CIITA
35739510 | Association | Carcinoma Renal Cell | IDO1
35739510 | Association | Carcinoma Renal Cell | HLA-DRA
35739510 | Association | Carcinoma Renal Cell | HLA-A
35739510 | Association | Carcinoma Renal Cell | PRF1
35739510 | Association | Carcinoma Renal Cell | TAGAP
35739510 | Association | Carcinoma Renal Cell | HLA-B
36496055 | Positive_Correlation | Chemical and Drug Induced Liver Injury | rs1363907
36496055 | Association | Amoxicillin-Potassium Clavulanate Combination | rs2476601
36496055 | Positive_Correlation | Chemical and Drug Induced Liver Injury | rs2476601
36496055 | Association | Amoxicillin-Potassium Clavulanate Combination | ERAP2
36496055 | Association | Chemical and Drug Induced Liver Injury | PTPN22
36496055 | Positive_Correlation | Amoxicillin-Potassium Clavulanate Combination | Chemical and Drug Induced Liver Injury
36496055 | Association | Chemical and Drug Induced Liver Injury | ERAP2
36496055 | Positive_Correlation | Amoxicillin-Potassium Clavulanate Combination | Liver Failure
36496055 | Association | Amoxicillin-Potassium Clavulanate Combination | PTPN22
36496055 | Association | Liver Failure | ERAP2
36496055 | Association | Amoxicillin-Potassium Clavulanate Combination | HLA-A
36496055 | Association | Liver Failure | HLA-A
37795024 | Association | Monobactams | HLA-DRB1
37795024 | Positive_Correlation | Monobactams | Stevens-Johnson Syndrome
37795024 | Association | Acute Generalized Exanthematous Pustulosis | HLA-DQB1
37795024 | Association | Monobactams | HLA-DQA1
37795024 | Association | Monobactams | HLA-A
37795024 | Association | Monobactams | HLA-DQB1
37795024 | Positive_Correlation | Monobactams | Drug Hypersensitivity Syndrome
37795024 | Association | Stevens-Johnson Syndrome | HLA-A
37795024 | Association | Stevens-Johnson Syndrome | HLA-DRB1
37795024 | Association | Stevens-Johnson Syndrome | HLA-DQA1
37795024 | Positive_Correlation | Monobactams | Acute Generalized Exanthematous Pustulosis
38100550 | Association | Neoplasms | ACRBP
38100550 | Association | Neoplasm Metastasis | ACRBP
38100550 | Association | ACRBP | CD8A
38114231 | Association | Neoplasms | CTAG1A
38114231 | Association | Neoplasms | HLA-A
38114231 | Association | Neoplasms | MAGEA8
38114231 | Association | Neoplasms | MAGEA1
38114231 | Association | Neoplasms | MAGEA4
38114231 | Association | Neoplasms | PRAME
38114231 | Association | Neoplasms | MMP1
38114231 | Association | Neoplasms | MXRA5
38114231 | Association | Neoplasms | COL6A3
38195212 | Association | Coronavirus Infections | CD8A
38214610 | Association | IFNG | CD8A
38214610 | Association | COVID-19 | CD8A
38239352 | Association | Neoplasms | CTAG1A
38239352 | Association | CTAG1A | CD8A
38239352 | Association | Neoplasms | TRBV20OR9-2
38239352 | Association | Peptides | Neoplasms
38239352 | Association | Melanoma | CTAG1A
38239352 | Association | Disulfides | HLA-G
11418651 | Association | ITGAL | PTPRC
11418651 | Positive_Correlation | IFNG | PTPRC
11418651 | Association | Infectious Mononucleosis | PTPRC
11418651 | Association | Infectious Mononucleosis | ITGAL
11418651 | Association | IL2 | CD8A
11418651 | Association | Epstein-Barr Virus Infections | CD8A
11564593 | Positive_Correlation | Immune Reconstitution Inflammatory Syndrome | CCR3
11564593 | Positive_Correlation | TSHR | TNFRSF8
11564593 | Positive_Correlation | Immune Reconstitution Inflammatory Syndrome | CCR5
11564593 | Association | Immune Reconstitution Inflammatory Syndrome | CD4
11564593 | Association | 614878 | TSHR
11564593 | Positive_Correlation | Immune Reconstitution Inflammatory Syndrome | IL6
12797544 | Positive_Correlation | HBE1 | CD8A
12797544 | Association | Hepatitis B | HBE1
15972696 | Association | SENP6 | SELL
15972696 | Positive_Correlation | SENP6 | IFNG
15972696 | Association | CCR7 | SENP6
15972696 | Association | Severe Acute Respiratory Syndrome | SENP6
15972696 | Association | SENP6 | CD44
15972696 | Association | SENP6 | PTPRC
15972696 | Association | SENP6 | TNF
15972696 | Association | CCR5 | SENP6
16300869 | Positive_Correlation | Cd40 | CD8A
16300869 | Association | TERT | CD8A
18192109 | Positive_Correlation | WT1 | CXCR4
18192109 | Positive_Correlation | montanide ISA 51 | WT1
18192109 | Association | Multiple Myeloma | WT1
18192109 | Association | LAMP1 | WT1
18192109 | Association | CXCL12 | WT1
18192109 | Association | Neoplasms | WT1
18408395 | Association | Tuberculosis | PDE6B
18408395 | Positive_Correlation | IFNG | PDE6B
20083666 | Association | Vitiligo | TYR
20083666 | Association | Vitiligo | Cxcr3
20083666 | Association | Vitiligo | Trav6-3
20083666 | Association | Tyr | Trav6-3
20083666 | Association | Vitiligo | Ifng
20083666 | Association | Trav6-3 | TYR
22735807 | Association | Neoplasms | CCR5
22735807 | Association | Neoplasms | GZMB
22735807 | Association | Neoplasms | MLANA
22735807 | Association | Neoplasms | KLRD1
22735807 | Association | Neoplasms | IL7R
22735807 | Association | Neoplasms | CD8A
22735807 | Association | Neoplasms | EOMES
22735807 | Association | Neoplasms | CXCR3
22735807 | Association | Neoplasms | CD27
22735807 | Association | Neoplasms | IFNG
22735807 | Association | Neoplasms | PRF1
22735807 | Association | Cytomegalovirus Infections | KLRD1
22818666 | Association | HIV Infections | CCR5
22818666 | Association | Acquired Immunodeficiency Syndrome | HLA-A
24782321 | Bind | HLA-A | HLA-C
24782321 | Positive_Correlation | Neoplasms | PDCD1
24782321 | Association | Neoplasms | CTLA4
24782321 | Association | Neoplasms | CD8A
25197660 | Association | Alzheimer Disease | ITGAL
25197660 | Association | Neurodegenerative Diseases | IL1B
25197660 | Association | Alzheimer Disease | SELL
25197660 | Association | Alzheimer Disease | HLA-A
25197660 | Association | Neurodegenerative Diseases | ICAM1
25197660 | Association | Neurodegenerative Diseases | SELP
25197660 | Association | Alzheimer Disease | IL1B
25197660 | Association | Alzheimer Disease | CD8A
25197660 | Association | Neurodegenerative Diseases | CD4
25197660 | Association | Alzheimer Disease | CD4
25197660 | Association | Alzheimer Disease | SELP
25197660 | Association | Neurodegenerative Diseases | ITGAL
25197660 | Association | Neurodegenerative Diseases | ITGB2
25197660 | Association | Neurodegenerative Diseases | IL2
25197660 | Association | Alzheimer Disease | IL2
25197660 | Association | Alzheimer Disease | ITGB2
25197660 | Association | Alzheimer Disease | ICAM1
25197660 | Association | Neurodegenerative Diseases | SELL
25197660 | Association | Neurodegenerative Diseases | CD8A
25406087 | Association | HIV Infections | CCR5
25761891 | Association | CXCR3 | CD8A
25761891 | Association | SELPLG | CD4
25761891 | Association | Dengue | SELPLG
25761891 | Association | SELPLG | CD8A
25761891 | Association | CCR5 | CD8A
26980598 | Association | CD274 | HLA-A
26980598 | Association | Carcinoma Renal Cell | HLA-A
26980598 | Association | Neoplasms | PDCD1LG2
26980598 | Association | Neoplasms | IL10
26980598 | Association | Neoplasms | CTLA4
26980598 | Association | Neoplasms | CD274
26980598 | Association | Neoplasms | LAG3
26980598 | Association | HLA-A | PDCD1
26980598 | Association | Neoplasms | PDCD1
26980598 | Association | Neoplasms | IDO1
28521443 | Association | Colorectal Neoplasms | FASLG
28521443 | Association | Colorectal Neoplasms | CCR5
28521443 | Association | Neoplasms | FASLG
28521443 | Association | Colorectal Neoplasms | HLA-E
28521443 | Negative_Correlation | Colorectal Neoplasms | FAS
28920005 | Association | Neoplasms | CD8A
28920005 | Association | Neoplasms | LAG3
28920005 | Association | Hereditary Angioedema Types I and II | LAG3
28920005 | Association | Hereditary Angioedema Types I and II | HAVCR2
28920005 | Association | Neoplasms | HLA-B
28920005 | Association | Neoplasms | PDCD1
28920005 | Association | Neoplasms | HAVCR2
28920005 | Association | Neoplasms | HLA-A
28920005 | Association | Neoplasms | HLA-C
28920005 | Association | Neoplasms | CTLA4
33869027 | Positive_Correlation | HLA-C | TYRP1
33869027 | Positive_Correlation | HLA-A | TYRP1
33869027 | Positive_Correlation | HLA-B | TYRP1
33869027 | Association | Melanoma | PDCD1
33869027 | Negative_Correlation | TYRP1 | CD8A
34127972 | Association | MAVS | TOMM70
35793369 | Association | COVID-19 | TMPRSS2
35793369 | Association | COVID-19 | HLA-A
35793369 | Association | COVID-19 | APOE
35793369 | Association | COVID-19 | ACE
35793369 | Association | COVID-19 | CCR5
36007063 | Negative_Correlation | IRF1 | ORF6
36007063 | Association | COVID-19 | DDX58
36007063 | Negative_Correlation | DDX58 | ORF6
36007063 | Association | ORF6 | RAE1
36698398 | Association | Squamous Cell Carcinoma of Head and Neck | GZMA
36698398 | Association | Squamous Cell Carcinoma of Head and Neck | LAG3
36698398 | Association | Neoplasms | GZMA
36698398 | Association | Neoplasms | CD8A
36698398 | Association | Squamous Cell Carcinoma of Head and Neck | GZMB
36698398 | Association | Squamous Cell Carcinoma of Head and Neck | CTLA4
36698398 | Association | Neoplasms | PRF1
36698398 | Association | Squamous Cell Carcinoma of Head and Neck | CD70
36698398 | Association | Squamous Cell Carcinoma of Head and Neck | PRF1
36698398 | Association | Squamous Cell Carcinoma of Head and Neck | CD8A
37738983 | Association | ORF6 | NUP98
37738983 | Association | ORF6 | RAE1
37738983 | Association | NUP98 | RAE1
37738983 | Association | ORF6 | TRIM63
37747932 | Association | IFNA1 | ORF6
37747932 | Association | COVID-19 | NFE2L2
37853388 | Negative_Correlation | ORF6 | NFE2L2
37853388 | Positive_Correlation | MAPK14 | ORF6
37853388 | Association | Virus Diseases | ORF6
37982908 | Association | COVID-19 | ORF6
37982908 | Association | COVID-19 | DDX58
37982908 | Association | DDX58 | ORF6
37982908 | Negative_Correlation | ORF6 | STAT1
37982908 | Association | IFNA1 | STAT1
37982908 | Negative_Correlation | IRF3 | ORF6
37982908 | Negative_Correlation | IFNA1 | ORF6
37982908 | Association | COVID-19 | IFNA1
37982908 | Association | COVID-19 | TRIM25
37982908 | Negative_Correlation | IFNA1 | IRF3
37982908 | Association | ORF6 | TRIM25
38084957 | Association | Virus Diseases | ORF6
38084957 | Association | Infections | ORF6
38084957 | Association | COVID-19 | ORF6
38084957 | Negative_Correlation | IFNA1 | ORF6
38084957 | Association | COVID-19 | USP1
38084957 | Negative_Correlation | ORF6 | USP1
38090439 | Association | COVID-19 | FAM3B
38090439 | Association | COVID-19 | E
38090439 | Positive_Correlation | COVID-19 | ORF1ab
38236733 | Association | NUP98 | RAE1
38265236 | Negative_Correlation | COVID-19 | Prpf19
38265236 | Association | ORF6 | CUL4B
38265236 | Association | PRPF19 | Cul4b
38265236 | Negative_Correlation | IFNA1 | ORF6
38265236 | Association | Ddb1 | ORF6
38265236 | Negative_Correlation | Prpf19 | IFNA1
38265236 | Association | ORF6 | Cul4b
38265236 | Association | COVID-19 | ORF6
38265236 | Positive_Correlation | Etoposide | Cul4b
38265236 | Association | ORF6 | Rbx1
38265236 | Negative_Correlation | Etoposide | COVID-19
38265236 | Association | Ddb1 | PRPF19
38265236 | Negative_Correlation | Etoposide | Infections
38265236 | Positive_Correlation | Prpf19 | ORF6
38265236 | Negative_Correlation | Etoposide | Lung Diseases
38265236 | Association | PRPF19 | Rbx1
38396726 | Negative_Correlation | Nivolumab | Squamous Cell Carcinoma of Head and Neck
38396726 | Negative_Correlation | Nivolumab | Melanoma
38396726 | Negative_Correlation | Nivolumab | Carcinoma Renal Cell
38396726 | Negative_Correlation | Nivolumab | Carcinoma Non-Small-Cell Lung
38396726 | Negative_Correlation | Nivolumab | Carcinoma Squamous Cell
38396726 | Negative_Correlation | Nivolumab | Lung Neoplasms
38396726 | Positive_Correlation | Nivolumab | NT5E
38396726 | Negative_Correlation | Nivolumab | Ureteral Neoplasms
38396726 | Positive_Correlation | Nivolumab | CD8A
38396726 | Association | Nivolumab | ITGAL
38396726 | Negative_Correlation | Nivolumab | Urinary Bladder Neoplasms
38396726 | Association | Nivolumab | ITK
38396843 | Negative_Correlation | IFNG | ORF6
38396843 | Association | ORF6 | RAE1
38507240 | Association | Poly A | ORF6
38507240 | Association | COVID-19 | RAE1
38507240 | Association | ORF6 | NUP98
38507240 | Association | Poly A | COVID-19
38507240 | Association | NUP98 | RAE1
38507240 | Negative_Correlation | ORF6 | STAT1
38507240 | Association | ORF6 | RAE1
38507240 | Association | COVID-19 | ORF6
9059145 | Association | Spondylitis Ankylosing | MRAP
9059145 | Association | Spondylitis Ankylosing | HLA-B
14592774 | Negative_Correlation | leptomycin B | XPO1
14592774 | Association | BCKDHB | XPO1
15914216 | Association | SNORA73A | XPO1
15949308 | Association | Tuberculosis Pleural | ABLIM1
15949308 | Association | Tuberculosis | GATM
15949308 | Association | Tuberculosis | LSP1
15949308 | Association | Tuberculosis Pleural | INSR
15949308 | Association | Tuberculosis | IL1A
15949308 | Association | Tuberculosis Pleural | HLA-G
15949308 | Association | Tuberculosis Pleural | CXCL10
15949308 | Association | Tuberculosis Pleural | ACTG2
15949308 | Association | Tuberculosis Pleural | HLA-DPB1
15949308 | Association | Tuberculosis Pleural | TXLNA
15949308 | Association | Tuberculosis | IL15
15949308 | Association | Tuberculosis Pleural | ECI2
15949308 | Association | Tuberculosis | INSR
15949308 | Association | Tuberculosis Pleural | IL7
15949308 | Association | Tuberculosis | HSF2
15949308 | Association | Tuberculosis | ECI2
15949308 | Association | Tuberculosis Pleural | IL17RA
15949308 | Association | Tuberculosis Pleural | MYOT
15949308 | Association | Tuberculosis Pleural | IL18BP
15949308 | Association | Tuberculosis | THBD
15949308 | Association | Tuberculosis | TXLNA
15949308 | Association | Tuberculosis Pleural | IL12B
15949308 | Association | Tuberculosis Pleural | TGFB3
15949308 | Association | Tuberculosis | IL13RA2
15949308 | Association | Tuberculosis Pleural | IGF1
15949308 | Association | Tuberculosis Pleural | CXCR4
15949308 | Association | Tuberculosis | MYOT
15949308 | Association | Tuberculosis | IL12B
15949308 | Association | Tuberculosis | IL7
15949308 | Association | Tuberculosis Pleural | CCL14
15949308 | Association | Tuberculosis | IL10
15949308 | Association | Tuberculosis Pleural | IL4
15949308 | Association | Tuberculosis | CXCR4
15949308 | Association | Tuberculosis Pleural | THBD
15949308 | Association | Tuberculosis Pleural | LTB
15949308 | Association | Tuberculosis Pleural | IRF2
15949308 | Association | Tuberculosis Pleural | HLA-A
15949308 | Association | Tuberculosis Pleural | MAOA
15949308 | Association | Tuberculosis | MAOA
15949308 | Association | Tuberculosis | IL4
15949308 | Association | Tuberculosis Pleural | TRAJ60
15949308 | Association | Tuberculosis | TRAP1
15949308 | Association | Tuberculosis Pleural | A2M
15949308 | Association | Tuberculosis | IL17A
15949308 | Association | Tuberculosis Pleural | TRAP1
15949308 | Association | Tuberculosis | CCL14
15949308 | Association | Tuberculosis | ACTG2
15949308 | Association | Tuberculosis Pleural | IL18
15949308 | Association | Tuberculosis Pleural | IL17A
15949308 | Association | Tuberculosis | TRAJ60
15949308 | Association | Tuberculosis Pleural | HSF2
15949308 | Association | Tuberculosis Pleural | TNF
15949308 | Association | Tuberculosis Pleural | IL11
15949308 | Association | Tuberculosis Pleural | CANX
15949308 | Association | Tuberculosis | IL11
15949308 | Association | Tuberculosis Pleural | CXCL8
15949308 | Association | Tuberculosis Pleural | GATM
15949308 | Association | Tuberculosis Pleural | IL13RA2
15949308 | Association | Tuberculosis | IL18
15949308 | Association | Tuberculosis Pleural | LSP1
15949308 | Association | Tuberculosis Pleural | IL15
15949308 | Association | Tuberculosis | TRB
15949308 | Association | Tuberculosis Pleural | IFNG
15949308 | Association | Tuberculosis Pleural | IL10
15949308 | Association | Tuberculosis | TNF
15949308 | Association | Tuberculosis Pleural | TRB
15949308 | Association | Tuberculosis Pleural | CCL2
15949308 | Association | Tuberculosis Pleural | IL1A
15949308 | Association | Tuberculosis | ABLIM1
21533899 | Association | Diabetes Mellitus Type 1 | HLA-B
21533899 | Association | Diabetes Mellitus | HLA-B
21592983 | Association | HLA-DQB1 | IFNG
21592983 | Association | HLA-B | IL1B
23964274 | Association | HIV Infections | HLA-B
23964274 | Association | HIV Infections | CD8B
23964274 | Association | Virus Diseases | CD8A
23964274 | Association | HIV Infections | CD8A
23964274 | Association | HIV Infections | KLRB1
28452824 | Association | Attention Deficit Disorder with Hyperactivity | HLA-A
28452824 | Association | Attention Deficit Disorder with Hyperactivity | HLA-DPA1
28452824 | Association | Attention Deficit Disorder with Hyperactivity | GRM3
30889422 | Association | Spondylitis Ankylosing | IL12B
31382992 | Association | Multiple Sclerosis | HLA-DRB1
31382992 | Association | Neuromyelitis Optica | HLA-DQA1
31382992 | Association | Multiple Sclerosis | HLA-A
31382992 | Association | Multiple Sclerosis | HLA-DQB1
31382992 | Association | Neuromyelitis Optica | HLA-A
32791162 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | rs41554616
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | CYP2D6
32791162 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Stevens-Johnson Syndrome
32791162 | Negative_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Pneumonia Pneumocystis
32791162 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Eosinophilia
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | HLA-B
32791162 | Positive_Correlation | Stevens-Johnson Syndrome | rs41554616
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | NAT2
32791162 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Drug Hypersensitivity
32791162 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Signs and Symptoms
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | GCLC
32791162 | Positive_Correlation | Stevens-Johnson Syndrome | HLA-B
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | GSTP1
32791162 | Negative_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Infections
32791162 | Association | Stevens-Johnson Syndrome | MICA
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | MICA
32791162 | Association | MICA | HLA-B
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | CYP2C8
32791162 | Association | Trimethoprim Sulfamethoxazole Drug Combination | HLA-A
34685742 | Association | CXCR4 | EOMES
34685742 | Association | BIRC5 | EOMES
34685742 | Association | BDNF | CXCR4
34685742 | Association | Neoplasms | BIRC5
34685742 | Association | BIRC5 | PECAM1
34685742 | Association | BIRC5 | BDNF
34685742 | Association | HLA-A | CXCR4
34685742 | Association | PECAM1 | CXCR4
34685742 | Association | HLA-A | BIRC5
34785698 | Association | Glioblastoma | WT1
34785698 | Association | Neoplasms | WT1
35394875 | Association | Infections | gag
35496269 | Positive_Correlation | Carbamazepine | Drug Hypersensitivity
35878026 | Association | ACP3 | TRBV20OR9-2
35878026 | Association | Neoplasms | ACP3
36624315 | Association | Sarcoma Synovial | MAGEA4
36624315 | Association | Neoplasms | MAGEA4
37192158 | Association | Iridogoniodysgenesis type1 | HLA-A
37192158 | Association | Prostatic Neoplasms | HLA-A
37490916 | Association | Neoplasms | MLANA
37490916 | Association | Neoplasms | BST2
37490916 | Association | Neoplasms | IGF2BP2
37490916 | Association | Neoplasms | TRBV20OR9-2
37586317 | Association | IL2 | TRBV20OR9-2
37604828 | Association | Neoplasms | p.G12V
37604828 | Association | Neoplasms | KRAS
37640197 | Association | Carcinoma Pancreatic Ductal | HLA-A
37640197 | Association | Carcinoma Pancreatic Ductal | TRBV20OR9-2
37640197 | Association | LAMC2 | TRBV20OR9-2
37640197 | Association | Neoplasms | LAMC2
37640197 | Association | Neoplasms | TRBV20OR9-2
37640197 | Association | Carcinoma Pancreatic Ductal | LAMC2
37640197 | Association | Carcinoma Pancreatic Ductal | CD8A
37640197 | Association | Neoplasms | HLA-A
37649599 | Positive_Correlation | MAGEA3 | CD8A
37649599 | Association | Carcinoma Non-Small-Cell Lung | CD8A
37649599 | Association | Neoplasms | MAGEA3
37649599 | Association | Carcinoma Non-Small-Cell Lung | MAGEA3
37649599 | Association | Neoplasms | TRBV20OR9-2
37708194 | Association | COVID-19 | HLA-A
37777360 | Association | COVID-19 | KIR2DL1
37777360 | Association | COVID-19 | HLA-DRB1
37777360 | Association | COVID-19 | HLA-A
37777360 | Association | COVID-19 | BW4
37777360 | Association | COVID-19 | KIR3DL1
37777360 | Association | COVID-19 | KIR2DS4
37865274 | Association | Neoplasms | VEGFA
37865274 | Association | Encephalitis | VEGFA
38116398 | Association | COVID-19 | MX1
38116398 | Association | COVID-19 | HLA-A
38116398 | Association | COVID-19 | S1PR1
38116398 | Association | COVID-19 | ANG
38116398 | Association | COVID-19 | BSG
38116398 | Association | COVID-19 | BAX
38116398 | Association | COVID-19 | CASP8
38116398 | Association | COVID-19 | ERAP1
38116398 | Association | COVID-19 | BCL2
38116398 | Association | COVID-19 | IL6
38433722 | Association | COVID-19 | HLA-A
38514841 | Association | Inflammation | TLR1
38514841 | Negative_Correlation | CU-CPT22 | TLR1
38514841 | Negative_Correlation | ORF6 | NFKB1
38514841 | Association | Inflammation | ACE2
38514841 | Negative_Correlation | CU-CPT22 | Inflammation
38514841 | Association | COVID-19 | ACE2
38514841 | Association | Infections | ACE2
38539271 | Association | COVID-19 | TRBV20OR9-2
38580537 | Association | COVID-19 | HLA-DPB1
38580537 | Association | Infections | HLA-DRB1
38580537 | Association | COVID-19 | HLA-DQB1
38580537 | Association | COVID-19 | HLA-A
38580537 | Association | Autoimmune Diseases | HLA-A
38580537 | Association | COVID-19 | HLA-DQA1
38580537 | Association | Infections | HLA-DQA1
38580537 | Association | COVID-19 | HLA-DRB1
38582657 | Association | COVID-19 | TRBV20OR9-2
38582657 | Association | COVID-19 | TRBV28
38590857 | Association | COVID-19 | HLA-A
38590857 | Association | COVID-19 | HLA-DRB1
38590857 | Association | Inflammation | HLA-A
12517979 | Positive_Correlation | Cd8a | Itgam
12517979 | Association | Inflammation | HLA-B
12517979 | Association | Spondylarthropathies | HLA-B
12517979 | Association | Arthritis | HLA-B
12517979 | Association | Colitis | HLA-B
12517979 | Positive_Correlation | Cd8a | Cd4
12517979 | Association | Colitis | Cd8a
12517979 | Association | Arthritis | Cd8a
