1788521 | @CHEMICAL_Soman | Soman | 62 | 5 | Chemical | chemical | soman
38114221 | @DISEASE_Neoplasms | Neoplasms | 1093 | 5 | Disease | disease | tumor
38114221 | @DISEASE_Neoplasms | Neoplasms | 1205 | 6 | Disease | disease | tumors
38114221 | @CHEMICAL_Hematoxylin | Hematoxylin | 1251 | 11 | Chemical | chemical | hematoxylin
38114221 | @GENE_CD86 | Cd86 | 1298 | 4 | Gene | gene | CD86
38114221 | @GENE_MRC1 | Mrc1 | 1307 | 5 | Gene | gene | CD206
38114221 | @DISEASE_Neoplasms | Neoplasms | 1320 | 5 | Disease | disease | tumor
38114221 | @GENE_JAK2 | Jak2 | 1479 | 4 | Gene | gene | JAK2
38114221 | @GENE_JAK3 | Jak3 | 1485 | 4 | Gene | gene | JAK3
38114221 | @GENE_STAT6 | Stat6 | 1552 | 5 | Gene | gene | STAT6
38114221 | @DISEASE_Neoplasms | Neoplasms | 1565 | 5 | Disease | disease | tumor
38114221 | @CHEMICAL_Cortisone | Cortisone | 1686 | 4 | Chemical | chemical | CORT
38114221 | @GENE_IL4 | Il4 | 1692 | 4 | Gene | gene | IL-4
38114221 | @GENE_IL10 | Il10 | 1702 | 5 | Gene | gene | IL-10
38114221 | @CHEMICAL_Serotonin | Serotonin | 1731 | 4 | Chemical | chemical | 5-HT
38114221 | @GENE_IL1B | Il1b | 1741 | 8 | Gene | gene | IL-1beta
38114221 | @GENE_TNF | Tnf | 1762 | 9 | Gene | gene | TNF-alpha
38114221 | @DISEASE_Subcutaneous_Emphysema | Subcutaneous Emphysema | 1800 | 12 | Disease | disease | subcutaneous
38114221 | @DISEASE_Neoplasms | Neoplasms | 1813 | 6 | Disease | disease | tumors
38114221 | @DISEASE_Neoplasms | Neoplasms | 1825 | 5 | Disease | disease | tumor
38114221 | @DISEASE_Neoplasms | Neoplasms | 1844 | 5 | Disease | disease | tumor
38114221 | @GENE_MRC1 | Mrc1 | 1927 | 5 | Gene | gene | CD206
38114221 | @GENE_JAK1 | Jak1 | 1934 | 4 | Gene | gene | JAK1
38114221 | @GENE_JAK2 | Jak2 | 1940 | 4 | Gene | gene | JAK2
38114221 | @GENE_JAK3 | Jak3 | 1946 | 4 | Gene | gene | JAK3
38114221 | @GENE_STAT3 | Stat3 | 1952 | 5 | Gene | gene | STAT3
38114221 | @GENE_STAT6 | Stat6 | 1963 | 5 | Gene | gene | STAT6
38114221 | @GENE_CD86 | Cd86 | 2006 | 4 | Gene | gene | CD86
38114221 | @CHEMICAL_Cortisone | Cortisone | 2114 | 4 | Chemical | chemical | CORT
38114221 | @GENE_IL4 | Il4 | 2120 | 4 | Gene | gene | IL-4
38114221 | @GENE_IL10 | Il10 | 2130 | 5 | Gene | gene | IL-10
38114221 | @CHEMICAL_Serotonin | Serotonin | 2166 | 4 | Chemical | chemical | 5-HT
38114221 | @GENE_IL1B | Il1b | 2176 | 8 | Gene | gene | IL-1beta
38114221 | @GENE_TNF | Tnf | 2197 | 9 | Gene | gene | TNF-alpha
38114221 | @DISEASE_Subcutaneous_Emphysema | Subcutaneous Emphysema | 2236 | 12 | Disease | disease | subcutaneous
38114221 | @DISEASE_Neoplasms | Neoplasms | 2249 | 6 | Disease | disease | tumors
38114221 | @DISEASE_Necrosis | Necrosis | 2317 | 8 | Disease | disease | necrosis
38114221 | @DISEASE_Neoplasms | Neoplasms | 2333 | 5 | Disease | disease | tumor
38114221 | @GENE_MRC1 | Mrc1 | 2385 | 5 | Gene | gene | CD206
38114221 | @GENE_JAK1 | Jak1 | 2392 | 4 | Gene | gene | JAK1
38114221 | @GENE_JAK2 | Jak2 | 2398 | 4 | Gene | gene | JAK2
38114221 | @GENE_JAK3 | Jak3 | 2404 | 4 | Gene | gene | JAK3
38114221 | @GENE_STAT3 | Stat3 | 2410 | 5 | Gene | gene | STAT3
38114221 | @GENE_STAT6 | Stat6 | 2421 | 5 | Gene | gene | STAT6
38114221 | @GENE_CD86 | Cd86 | 2466 | 4 | Gene | gene | CD86
38114221 | @DISEASE_Neoplasms | Neoplasms | 2582 | 5 | Disease | disease | tumor
38114221 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 2656 | 17 | Disease | disease | colorectal cancer
38172378 | @GENE_DOT1L | DOT1L | 45 | 5 | Gene | gene | DOT1L
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 61 | 19 | Disease | disease | peritoneal fibrosis
38172378 | @GENE_DOT1L | DOT1L | 195 | 5 | Gene | gene | DOT1L
38172378 | @GENE_PRDM9 | PRDM9 | 214 | 25 | Gene | gene | histone methyltransferase
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 366 | 19 | Disease | disease | peritoneal fibrosis
38172378 | @GENE_DOT1L | DOT1L | 437 | 5 | Gene | gene | DOT1L
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 523 | 19 | Disease | disease | peritoneal fibrosis
38172378 | @GENE_DOT1L | DOT1L | 580 | 5 | Gene | gene | DOT1L
38172378 | @DISEASE_Parkinson_Disease | Parkinson Disease | 647 | 2 | Disease | disease | PD
38172378 | @GENE_DOT1L | DOT1L | 683 | 5 | Gene | gene | DOT1L
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 810 | 19 | Disease | disease | peritoneal fibrosis
38172378 | @GENE_DOT1L | DOT1L | 901 | 5 | Gene | gene | DOT1L
38172378 | @GENE_EPHA8 | EPHA8 | 947 | 23 | Gene | gene | protein tyrosine kinase
38172378 | @GENE_DOT1L | DOT1L | 1108 | 5 | Gene | gene | DOT1L
38172378 | @GENE_EGFR | EGFR | 1144 | 4 | Gene | gene | EGFR
38172378 | @GENE_JAK3 | Jak3 | 1174 | 4 | Gene | gene | JAK3
38172378 | @GENE_DOT1L | DOT1L | 1263 | 5 | Gene | gene | DOT1L
38172378 | @GENE_EGFR | EGFR | 1289 | 4 | Gene | gene | EGFR
38172378 | @GENE_JAK3 | Jak3 | 1298 | 4 | Gene | gene | JAK3
38172378 | @GENE_DOT1L | DOT1L | 1363 | 5 | Gene | gene | DOT1L
38172378 | @GENE_EGFR | EGFR | 1429 | 4 | Gene | gene | EGFR
38172378 | @GENE_JAK3 | JAK3 | 1459 | 4 | Gene | gene | JAK3
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 1547 | 19 | Disease | disease | peritoneal fibrosis
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 1619 | 19 | Disease | disease | peritoneal fibrosis
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 1640 | 2 | Disease | disease | PF
38172378 | @GENE_DOT1L | DOT1L | 1695 | 5 | Gene | gene | DOT1L
38172378 | @DISEASE_Peritoneal_Fibrosis | Peritoneal Fibrosis | 1719 | 2 | Disease | disease | PF
38249884 | @GENE_SLFN5 | Slfn5 | 13 | 5 | Gene | gene | Slfn5
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 30 | 18 | Chemical | chemical | lipopolysaccharide
38249884 | @DISEASE_Pneumonia | Pneumonia | 57 | 9 | Disease | disease | pneumonia
38249884 | @DISEASE_Pneumonia | Pneumonia | 200 | 9 | Disease | disease | pneumonia
38249884 | @DISEASE_Death | Death | 258 | 5 | Disease | disease | death
38249884 | @GENE_SLFN5 | SLFN5 | 320 | 5 | Gene | gene | Slfn5
38249884 | @DISEASE_Neoplasms | Neoplasms | 352 | 7 | Disease | disease | cancers
38249884 | @GENE_SLFN5 | Slfn5 | 365 | 5 | Gene | gene | Slfn5
38249884 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 418 | 10 | Disease | disease | metastasis
38249884 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 432 | 11 | Disease | disease | lung cancer
38249884 | @GENE_SLFN5 | Slfn5 | 472 | 5 | Gene | gene | Slfn5
38249884 | @DISEASE_Pneumonia | Pneumonia | 481 | 9 | Disease | disease | pneumonia
38249884 | @GENE_SLFN5 | Slfn5 | 609 | 5 | Gene | gene | Slfn5
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 618 | 18 | Chemical | chemical | lipopolysaccharide
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 638 | 3 | Chemical | chemical | LPS
38249884 | @DISEASE_Pneumonia | Pneumonia | 651 | 9 | Disease | disease | pneumonia
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 741 | 3 | Chemical | chemical | LPS
38249884 | @DISEASE_Pneumonia | Pneumonia | 758 | 9 | Disease | disease | pneumonia
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 827 | 3 | Chemical | chemical | LPS
38249884 | @DISEASE_Pneumonia | Pneumonia | 853 | 9 | Disease | disease | pneumonia
38249884 | @GENE_SLFN5 | Slfn5 | 870 | 5 | Gene | gene | Slfn5
38249884 | @CHEMICAL_deoxyuridine_triphosphate | deoxyuridine triphosphate | 1035 | 25 | Chemical | chemical | deoxyuridine triphosphate
38249884 | @CHEMICAL_Biotin | Biotin | 1061 | 6 | Chemical | chemical | biotin
38249884 | @DISEASE_Fractures_Spontaneous | Fractures Spontaneous | 1135 | 19 | Disease | disease | pathological injury
38249884 | @DISEASE_Inflammation | Inflammation | 1159 | 12 | Disease | disease | inflammation
38249884 | @CHEMICAL_monooxyethylene_trimethylolpropane_tristearate | monooxyethylene trimethylolpropane tristearate | 1173 | 3 | Chemical | chemical | MTT
38249884 | @CHEMICAL_3_(4_5_dimethyl_2_thiazolyl)_2_5_diphenyl_2H_tetrazolium_bromide | 3-(4 5-dimethyl-2-thiazolyl)-2 5-diphenyl-2H-tetrazolium bromide | 1178 | 64 | Chemical | chemical | 3(4,5-dimethyl-2-thiazolyl)-2,5-diphenyl-2-H-tetrazolium bromide
38249884 | @DISEASE_Inflammation | Inflammation | 1365 | 12 | Disease | disease | inflammation
38249884 | @GENE_SLFN5 | Slfn5 | 1450 | 5 | Gene | gene | Slfn5
38249884 | @DISEASE_Pneumonia | Pneumonia | 1459 | 9 | Disease | disease | pneumonia
38249884 | @GENE_SLFN5 | Slfn5 | 1479 | 5 | Gene | gene | Slfn5
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1515 | 3 | Chemical | chemical | LPS
38249884 | @DISEASE_Pneumonia | Pneumonia | 1527 | 9 | Disease | disease | pneumonia
38249884 | @GENE_SLFN5 | Slfn5 | 1583 | 5 | Gene | gene | Slfn5
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1598 | 3 | Chemical | chemical | LPS
38249884 | @DISEASE_Lung_Injury | Lung Injury | 1610 | 11 | Disease | disease | lung injury
38249884 | @DISEASE_Inflammation | Inflammation | 1626 | 12 | Disease | disease | inflammation
38249884 | @GENE_JAK2 | Jak2 | 1673 | 4 | Gene | gene | JAK2
38249884 | @GENE_JAK3 | Jak3 | 1681 | 4 | Gene | gene | JAK3
38249884 | @GENE_STAT3 | Stat3 | 1693 | 5 | Gene | gene | STAT3
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1703 | 3 | Chemical | chemical | LPS
38249884 | @GENE_SLFN5 | Slfn5 | 1748 | 5 | Gene | gene | Slfn5
38249884 | @GENE_SLFN5 | Slfn5 | 1779 | 5 | Gene | gene | Slfn5
38249884 | @GENE_SLFN5 | Slfn5 | 1844 | 5 | Gene | gene | Slfn5
38249884 | @GENE_SLFN5 | Slfn5 | 1875 | 5 | Gene | gene | Slfn5
38249884 | @DISEASE_Inflammation | Inflammation | 1922 | 12 | Disease | disease | inflammation
38249884 | @GENE_JAK2 | Jak2 | 1959 | 4 | Gene | gene | JAK2
38249884 | @GENE_JAK3 | Jak3 | 1967 | 4 | Gene | gene | JAK3
38249884 | @GENE_STAT3 | Stat3 | 1979 | 5 | Gene | gene | STAT3
38249884 | @CHEMICAL_AG_490 | AG 490 | 1986 | 5 | Chemical | chemical | AG490
38249884 | @GENE_SLFN5 | Slfn5 | 2064 | 5 | Gene | gene | Slfn5
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 2106 | 3 | Chemical | chemical | LPS
38249884 | @DISEASE_Pneumonia | Pneumonia | 2118 | 9 | Disease | disease | pneumonia
38249884 | @GENE_SLFN5 | Slfn5 | 2135 | 5 | Gene | gene | Slfn5
38249884 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 2162 | 3 | Chemical | chemical | LPS
38249884 | @DISEASE_Lung_Injury | Lung Injury | 2174 | 11 | Disease | disease | lung injury
38260810 | @GENE_IL7R | Il7r | 27 | 5 | Gene | gene | IL-7R
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 72 | 24 | Disease | disease | Intracerebral Hemorrhage
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 110 | 36 | Disease | disease | Spontaneous intracerebral hemorrhage
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 148 | 3 | Disease | disease | ICH
38260810 | @DISEASE_Stroke | Stroke | 169 | 6 | Disease | disease | stroke
38260810 | @DISEASE_Inflammation | Inflammation | 274 | 12 | Disease | disease | inflammatory
38260810 | @DISEASE_Brain_Injuries | Brain Injuries | 337 | 12 | Disease | disease | brain injury
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 445 | 3 | Disease | disease | ICH
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 1072 | 3 | Disease | disease | ICH
38260810 | @GENE_IL7R | Il7r | 1109 | 5 | Gene | gene | IL-7R
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 1203 | 3 | Disease | disease | ICH
38260810 | @GENE_IL7 | Il7 | 1244 | 4 | Gene | gene | IL-7
38260810 | @GENE_IL7R | Il7r | 1249 | 5 | Gene | gene | IL-7R
38260810 | @GENE_ITGAX | Itgax | 1305 | 5 | Gene | gene | ITGAX
38260810 | @GENE_ITGAM | Itgam | 1312 | 5 | Gene | gene | ITGAM
38260810 | @GENE_CCR2 | Ccr2 | 1319 | 4 | Gene | gene | CCR2
38260810 | @GENE_CD28 | Cd28 | 1325 | 4 | Gene | gene | CD28
38260810 | @GENE_SELL | Sell | 1331 | 4 | Gene | gene | SELL
38260810 | @GENE_IL7R | Il7r | 1341 | 5 | Gene | gene | IL-7R
38260810 | @GENE_IL7R | Il7r | 1365 | 5 | Gene | gene | IL-7R
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 1404 | 3 | Disease | disease | ICH
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 1464 | 3 | Disease | disease | ICH
38260810 | @GENE_IL7 | Il7 | 1534 | 4 | Gene | gene | IL-7
38260810 | @GENE_NOS2 | Nos2 | 1540 | 4 | Gene | gene | iNOS
38260810 | @GENE_ARG1 | Arg1 | 1596 | 5 | Gene | gene | Arg-1
38260810 | @GENE_JAK3 | Jak3 | 1657 | 4 | Gene | gene | JAK3
38260810 | @GENE_STAT5A | Stat5a | 1662 | 5 | Gene | gene | STAT5
38260810 | @GENE_IL7 | Il7 | 1735 | 4 | Gene | gene | IL-7
38260810 | @GENE_IL7R | Il7r | 1740 | 5 | Gene | gene | IL-7R
38260810 | @DISEASE_Inflammation | Inflammation | 1783 | 12 | Disease | disease | inflammatory
38260810 | @DISEASE_Cerebral_Hemorrhage | Cerebral Hemorrhage | 1814 | 3 | Disease | disease | ICH
38310765 | @GENE_RSAD2 | Rsad2 | 0 | 49 | Gene | gene | Radical S-adenosyl methionine domain-containing 2
38310765 | @DISEASE_Asthma | Asthma | 89 | 6 | Disease | disease | asthma
38310765 | @DISEASE_Asthma | Asthma | 149 | 6 | Disease | disease | Asthma
38310765 | @DISEASE_Respiratory_Tract_Diseases | Respiratory Tract Diseases | 176 | 19 | Disease | disease | respiratory disease
38310765 | @DISEASE_Inflammation | Inflammation | 239 | 19 | Disease | disease | airway inflammation
38310765 | @GENE_RSAD2 | Rsad2 | 350 | 49 | Gene | gene | radical S-adenosyl methionine domain-containing 2
38310765 | @GENE_RSAD2 | Rsad2 | 401 | 5 | Gene | gene | RSAD2
38310765 | @DISEASE_Asthma | Asthma | 458 | 6 | Disease | disease | asthma
38310765 | @DISEASE_Asthma | Asthma | 516 | 6 | Disease | disease | asthma
38310765 | @GENE_SERPINB1_PS1 | Serpinb1-ps1 | 529 | 9 | Gene | gene | ovalbumin
38310765 | @GENE_SERPINB1_PS1 | Serpinb1-ps1 | 540 | 3 | Gene | gene | OVA
38310765 | @GENE_RSAD2 | Rsad2 | 641 | 5 | Gene | gene | RSAD2
38310765 | @GENE_CD4 | Cd4 | 752 | 4 | Gene | gene | CD-4
38310765 | @GENE_RSAD2 | Rsad2 | 831 | 5 | Gene | gene | RSAD2
38310765 | @GENE_RSAD2 | Rsad2 | 866 | 5 | Gene | gene | RSAD2
38310765 | @DISEASE_Asthma | Asthma | 901 | 6 | Disease | disease | asthma
38310765 | @GENE_RSAD2 | Rsad2 | 941 | 5 | Gene | gene | RSAD2
38310765 | @DISEASE_Inflammation | Inflammation | 968 | 12 | Disease | disease | inflammatory
38310765 | @GENE_RSAD2 | Rsad2 | 1043 | 5 | Gene | gene | RSAD2
38310765 | @GENE_IL25 | Il25 | 1089 | 5 | Gene | gene | IL-25
38310765 | @GENE_IL33 | Il33 | 1096 | 5 | Gene | gene | IL-33
38310765 | @GENE_TSLP | Tslp | 1107 | 4 | Gene | gene | TSLP
38310765 | @DISEASE_Inflammation | Inflammation | 1142 | 12 | Disease | disease | inflammatory
38310765 | @GENE_RSAD2 | Rsad2 | 1198 | 5 | Gene | gene | RSAD2
38310765 | @GENE_IL4 | Il4 | 1262 | 4 | Gene | gene | IL-4
38310765 | @GENE_IL5 | Il5 | 1268 | 4 | Gene | gene | IL-5
38310765 | @GENE_IL13 | Il13 | 1278 | 5 | Gene | gene | IL-13
38310765 | @GENE_IFNG | Ifng | 1336 | 9 | Gene | gene | IFN-gamma
38310765 | @GENE_RSAD2 | Rsad2 | 1362 | 5 | Gene | gene | RSAD2
38310765 | @GENE_JAK1 | Jak1 | 1411 | 4 | Gene | gene | JAK1
38310765 | @GENE_JAK3 | Jak3 | 1417 | 4 | Gene | gene | JAK3
38310765 | @GENE_STAT6 | Stat6 | 1427 | 5 | Gene | gene | STAT6
38310765 | @GENE_GATA3 | Gata3 | 1452 | 6 | Gene | gene | GATA-3
38310765 | @GENE_RSAD2 | Rsad2 | 1471 | 5 | Gene | gene | RSAD2
38310765 | @DISEASE_Inflammation | Inflammation | 1502 | 12 | Disease | disease | inflammatory
38310765 | @GENE_SERPINB1_PS1 | Serpinb1-ps1 | 1631 | 3 | Gene | gene | OVA
38310765 | @GENE_IL4 | Il4 | 1660 | 4 | Gene | gene | IL-4
38310765 | @GENE_IL5 | Il5 | 1669 | 4 | Gene | gene | IL-5
38310765 | @GENE_IFNG | Ifng | 1703 | 9 | Gene | gene | IFN-gamma
38310765 | @GENE_RSAD2 | Rsad2 | 1730 | 5 | Gene | gene | RSAD2
38310765 | @GENE_RSAD2 | Rsad2 | 1790 | 5 | Gene | gene | RSAD2
38310765 | @GENE_SERPINB1_PS1 | Serpinb1-ps1 | 1819 | 3 | Gene | gene | OVA
38310765 | @DISEASE_Asthma | Asthma | 1831 | 6 | Disease | disease | asthma
38310765 | @GENE_STAT6 | Stat6 | 1884 | 5 | Gene | gene | STAT6
38349589 | @CHEMICAL_flavipin | flavipin | 0 | 8 | Chemical | chemical | Flavipin
38349589 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 48 | 20 | Disease | disease | rheumatoid arthritis
38349589 | @CHEMICAL_flavipin | flavipin | 90 | 8 | Chemical | chemical | Flavipin
38349589 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 314 | 26 | Disease | disease | adjuvant-induced arthritis
38349589 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 342 | 3 | Disease | disease | AIA
38349589 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 402 | 20 | Disease | disease | Rheumatoid arthritis
38349589 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 424 | 2 | Disease | disease | RA
38349589 | @CHEMICAL_flavipin | flavipin | 524 | 8 | Chemical | chemical | Flavipin
38349589 | @DISEASE_Inflammation | Inflammation | 578 | 12 | Disease | disease | inflammatory
38349589 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 607 | 2 | Disease | disease | RA
38349589 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 678 | 3 | Disease | disease | AIA
38349589 | @CHEMICAL_flavipin | flavipin | 720 | 8 | Chemical | chemical | Flavipin
38349589 | @GENE_TNF | Tnf | 748 | 27 | Gene | gene | tumor necrosis factor alpha
38349589 | @GENE_TNF | Tnf | 777 | 9 | Gene | gene | TNF-alpha
38349589 | @CHEMICAL_Hydrogen | Hydrogen | 809 | 8 | Chemical | chemical | hydrogen
38349589 | @GENE_TNF | Tnf | 842 | 9 | Gene | gene | TNF-alpha
38349589 | @CHEMICAL_flavipin | flavipin | 946 | 8 | Chemical | chemical | Flavipin
38349589 | @CHEMICAL_Adenosine_Triphosphate | Adenosine Triphosphate | 964 | 3 | Chemical | chemical | ATP
38349589 | @GENE_JAK1 | Jak1 | 1004 | 4 | Gene | gene | JAK1
38349589 | @GENE_JAK2 | Jak2 | 1010 | 4 | Gene | gene | JAK2
38349589 | @GENE_JAK3 | Jak3 | 1019 | 4 | Gene | gene | JAK3
38349589 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1111 | 2 | Disease | disease | RA
38349589 | @GENE_TNF | Tnf | 1195 | 9 | Gene | gene | TNF-alpha
38349589 | @CHEMICAL_flavipin | flavipin | 1205 | 8 | Chemical | chemical | Flavipin
38349589 | @CHEMICAL_flavipin | flavipin | 1296 | 8 | Chemical | chemical | Flavipin
38349589 | @DISEASE_Arthritis | Arthritis | 1445 | 9 | Disease | disease | arthritis
38349589 | @DISEASE_Tang_Hsi_Ryu_syndrome | Tang Hsi Ryu syndrome | 1474 | 6 | Disease | disease | oedema
38349589 | @CHEMICAL_flavipin | flavipin | 1510 | 8 | Chemical | chemical | Flavipin
38349589 | @GENE_TNF | Tnf | 1589 | 9 | Gene | gene | TNF-alpha
38349589 | @GENE_NFKB1 | Nfkb1 | 1641 | 9 | Gene | gene | NF-kappaB
38349589 | @GENE_STAT3 | Stat3 | 1712 | 5 | Gene | gene | STAT3
38349589 | @CHEMICAL_flavipin | flavipin | 1790 | 8 | Chemical | chemical | Flavipin
38349589 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 1799 | 3 | Disease | disease | AIA
38349589 | @CHEMICAL_flavipin | flavipin | 1834 | 8 | Chemical | chemical | Flavipin
38349589 | @DISEASE_Arthritis | Arthritis | 1880 | 9 | Disease | disease | arthritis
38349589 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1902 | 2 | Disease | disease | RA
38375265 | @GENE_ZFP335 | Zfp335 | 19 | 23 | Gene | gene | zinc finger protein 335
38375265 | @DISEASE_Colitis | Colitis | 92 | 7 | Disease | disease | colitis
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 111 | 20 | Disease | disease | colorectal carcinoma
38375265 | @DISEASE_Neoplasms | Neoplasms | 196 | 5 | Disease | disease | tumor
38375265 | @DISEASE_Neoplasms | Neoplasms | 239 | 12 | Disease | disease | malignancies
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 304 | 20 | Disease | disease | colorectal carcinoma
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 326 | 3 | Disease | disease | CRC
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 497 | 3 | Disease | disease | CRC
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 574 | 3 | Disease | disease | CRC
38375265 | @GENE_ZFP335 | Zfp335 | 605 | 23 | Gene | gene | zinc finger protein 335
38375265 | @GENE_ZFP335 | Zfp335 | 630 | 6 | Gene | gene | ZFP335
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 678 | 3 | Disease | disease | CRC
38375265 | @CHEMICAL_Azoxymethane | Azoxymethane | 693 | 12 | Chemical | chemical | azoxymethane
38375265 | @CHEMICAL_Dextran_Sulfate | Dextran Sulfate | 710 | 22 | Chemical | chemical | dextran sulfate sodium
38375265 | @GENE_ZFP335 | Zfp335 | 734 | 6 | Gene | gene | ZFP335
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 807 | 3 | Disease | disease | CRC
38375265 | @GENE_ZFP335 | Zfp335 | 825 | 6 | Gene | gene | ZFP335
38375265 | @GENE_ZFP335 | Zfp335 | 947 | 6 | Gene | gene | ZFP335
38375265 | @GENE_ZFP335 | Zfp335 | 1122 | 6 | Gene | gene | ZFP335
38375265 | @GENE_ZFP335 | Zfp335 | 1171 | 6 | Gene | gene | ZFP335
38375265 | @GENE_JAK1 | Jak1 | 1214 | 14 | Gene | gene | Janus kinase 1
38375265 | @GENE_JAK1 | Jak1 | 1230 | 4 | Gene | gene | JAK1
38375265 | @GENE_JAK3 | Jak3 | 1240 | 14 | Gene | gene | Janus kinase 3
38375265 | @GENE_JAK3 | Jak3 | 1256 | 4 | Gene | gene | JAK3
38375265 | @GENE_ZFP335 | Zfp335 | 1349 | 6 | Gene | gene | ZFP335
38375265 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1447 | 3 | Disease | disease | CRC
38375265 | @GENE_ZFP335 | Zfp335 | 1472 | 6 | Gene | gene | ZFP335
38442328 | @GENE_JAK3 | Jak3 | 41 | 14 | Gene | gene | Janus kinase 3
38442328 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 97 | 20 | Disease | disease | rheumatoid arthritis
38442328 | @GENE_JAK3 | Jak3 | 143 | 14 | Gene | gene | Janus kinase 3
38442328 | @GENE_JAK3 | Jak3 | 159 | 4 | Gene | gene | JAK3
38442328 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 210 | 19 | Disease | disease | autoimmune diseases
38442328 | @GENE_RB1 | Rb1 | 315 | 3 | Gene | gene | RB1
38442328 | @GENE_JAK3 | Jak3 | 327 | 4 | Gene | gene | JAK3
38442328 | @GENE_JAK3 | Jak3 | 362 | 4 | Gene | gene | JAK3
38442328 | @GENE_RB1 | Rb1 | 437 | 3 | Gene | gene | RB1
38442328 | @GENE_JAK3 | Jak3 | 459 | 4 | Gene | gene | JAK3
38442328 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 537 | 8 | Disease | disease | toxicity
38442328 | @DISEASE_Inflammation | Inflammation | 579 | 12 | Disease | disease | inflammatory
38442328 | @DISEASE_Neoplasms | Neoplasms | 617 | 6 | Disease | disease | Cancer
38442328 | @DISEASE_Arthritis | Arthritis | 769 | 9 | Disease | disease | arthritis
38442328 | @GENE_JAK3 | Jak3 | 999 | 4 | Gene | gene | JAK3
38442328 | @DISEASE_Arthritis | Arthritis | 1060 | 9 | Disease | disease | arthritis
38442328 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1080 | 19 | Disease | disease | autoimmune diseases
38547769 | @CHEMICAL_peficitinib | peficitinib | 0 | 11 | Chemical | chemical | Peficitinib
38547769 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 23 | 17 | Disease | disease | acute lung injury
38547769 | @GENE_JAK3 | Jak3 | 72 | 4 | Gene | gene | JAK3
