23926326 | Association | Meningococcal Infections | pJS-B_06
38524140 | Association | Arthritis Psoriatic | CD8A
38524140 | Association | Autoimmune Diseases | TRBV20OR9-2
38524140 | Association | Arthritis Psoriatic | TRBV20OR9-2
38524140 | Association | Psoriasis | TRBV20OR9-2
38524140 | Association | Psoriasis | ADAMTSL5
38524140 | Association | Psoriasis | CD8A
38535155 | Negative_Correlation | Lymphoproliferative Disorders | HLA-DRB1
38535155 | Association | Chronic Disease | HLA-A
38535155 | Association | Lymphoproliferative Disorders | HLA-A
38568509 | Positive_Correlation | Sulfamethoxazole | Stevens-Johnson Syndrome
38568509 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Stevens-Johnson Syndrome
38568509 | Comparison | Sulfamethoxazole | Trimethoprim Sulfamethoxazole Drug Combination
38568509 | Cotreatment | Sulfamethoxazole | Trimethoprim
38570725 | Association | Carbamazepine | HLA-B
38570725 | Association | Lamotrigine | HLA-B
38570725 | Positive_Correlation | Phenytoin | Cardiovascular Diseases
38570725 | Positive_Correlation | Oxcarbazepine | Cardiovascular Diseases
38570725 | Positive_Correlation | Oxcarbazepine | Exanthema
38570725 | Association | Phenytoin | CYP2C9
38570725 | Positive_Correlation | Phenytoin | Exanthema
38570725 | Association | Drug Resistant Epilepsy | HLA-B
38570725 | Positive_Correlation | Lamotrigine | Cardiovascular Diseases
38570725 | Association | Drug Resistant Epilepsy | CYP2C9
38570725 | Positive_Correlation | Lamotrigine | Exanthema
38570725 | Association | Carbamazepine | HLA-A
38570725 | Positive_Correlation | Carbamazepine | Cardiovascular Diseases
38570725 | Positive_Correlation | Carbamazepine | Exanthema
38570725 | Association | Phenytoin | HLA-B
38570725 | Association | Oxcarbazepine | HLA-B
38570725 | Association | Drug Resistant Epilepsy | HLA-A
38575661 | Association | Behcet Syndrome | HLA-DRB1
38575661 | Association | Behcet Syndrome | TNF
38575661 | Association | Behcet Syndrome | HLA-A
38575661 | Association | Behcet Syndrome | HLA-DQB1
38575661 | Association | Behcet Syndrome | ERAP1
38578246 | Positive_Correlation | Allopurinol | Drug Hypersensitivity Syndrome
38578246 | Positive_Correlation | Allopurinol | Drug Hypersensitivity
11309482 | Association | HIV Infections | CCR5
11309482 | Negative_Correlation | Acquired Immunodeficiency Syndrome | HLA-B
11309482 | Association | Viremia | HLA-B
19050382 | Association | RNF39 | CD4
19050382 | Association | Acrocephalosyndactylia | HCP5
19050382 | Association | HIV Infections | HLA-C
19050382 | Association | HIV Infections | HCP5
19050382 | Association | ZNRD1 | CD4
19050382 | Association | Lymphoma AIDS-Related | HCP5
19050382 | Association | Acrocephalosyndactylia | HLA-C
19513699 | Positive_Correlation | Cocaine | Learning Disabilities
21084992 | Association | HIV Infections | CCR5
23217182 | Association | Acquired Immunodeficiency Syndrome | CUL5
24383474 | Association | Emphysema | PPT2
24383474 | Association | Emphysema | rs10947233
24383474 | Association | Emphysema | MAN1C1
24383474 | Association | Emphysema | rs7957346
24383474 | Association | Emphysema | SNRPF
30333224 | Association | Leukemia Lymphocytic Chronic B-Cell | BCR
30333224 | Negative_Correlation | 4-(cyclopropylamino)-2-((4-(4-(ethylsulfonyl)piperazin-1-yl)phenyl)amino)pyrimidine-5-carboxamide | Neoplasms
30333224 | Association | Neoplasms | SYK
30333224 | Negative_Correlation | Leukemia Lymphocytic Chronic B-Cell | CD69
30333224 | Negative_Correlation | IL4 | CD86
30333224 | Association | Leukemia Lymphocytic Chronic B-Cell | CXCR4
30333224 | Negative_Correlation | 4-(cyclopropylamino)-2-((4-(4-(ethylsulfonyl)piperazin-1-yl)phenyl)amino)pyrimidine-5-carboxamide | Lymphoma B-Cell
30333224 | Negative_Correlation | Leukemia Lymphocytic Chronic B-Cell | CD86
30333224 | Negative_Correlation | BCR | CD5
30333224 | Negative_Correlation | 4-(cyclopropylamino)-2-((4-(4-(ethylsulfonyl)piperazin-1-yl)phenyl)amino)pyrimidine-5-carboxamide | Leukemia Lymphocytic Chronic B-Cell
30333224 | Negative_Correlation | 4-(cyclopropylamino)-2-((4-(4-(ethylsulfonyl)piperazin-1-yl)phenyl)amino)pyrimidine-5-carboxamide | SYK
30333224 | Negative_Correlation | IL4 | CD69
30333224 | Negative_Correlation | 4-(cyclopropylamino)-2-((4-(4-(ethylsulfonyl)piperazin-1-yl)phenyl)amino)pyrimidine-5-carboxamide | Inflammation
30333224 | Negative_Correlation | IL4 | CXCR4
30341486 | Negative_Correlation | Berberine | Prehypertension
30341486 | Negative_Correlation | AG 490 | JAK2
30341486 | Association | JAK2 | CXCR4
30341486 | Negative_Correlation | Berberine | Atherosclerosis
30341486 | Positive_Correlation | Berberine | CXCR4
30341486 | Positive_Correlation | Berberine | JAK2
30341486 | Negative_Correlation | Berberine | Carotid Artery Injuries
30341486 | Association | Prehypertension | CXCR4
31423579 | Association | Lenalidomide | JAK2
31423579 | Negative_Correlation | ruxolitinib | Myeloproliferative Disorders
31423579 | Association | JAK1 | MUC1
31423579 | Association | JAK1 | CD44
31423579 | Association | Lenalidomide | JAK1
31423579 | Negative_Correlation | ruxolitinib | TRIB1
31423579 | Association | JAK2 | MUC1
31423579 | Association | Multiple Myeloma | JAK1
31423579 | Negative_Correlation | ruxolitinib | MUC1
31423579 | Association | JAK2 | CXCL12
31423579 | Negative_Correlation | ruxolitinib | CXCL12
31423579 | Association | TRIB1 | JAK2
31423579 | Association | Multiple Myeloma | TRIB1
31423579 | Negative_Correlation | ruxolitinib | CXCR4
31423579 | Negative_Correlation | Lenalidomide | Multiple Myeloma
31423579 | Association | Multiple Myeloma | CXCL12
31423579 | Association | Multiple Myeloma | JAK2
31423579 | Positive_Correlation | Disease Progression | TRIB1
31423579 | Association | JAK2 | CD44
31423579 | Negative_Correlation | ruxolitinib | Multiple Myeloma
31423579 | Association | TRIB1 | JAK1
31423579 | Association | JAK2 | CXCR4
31423579 | Association | JAK1 | CXCL12
31423579 | Negative_Correlation | ruxolitinib | CD44
31423579 | Association | JAK1 | CXCR4
31512724 | Association | Neoplasms Adipose Tissue | PRKAG2
31512724 | Association | Blood Glucose | PRKAG3
31512724 | Association | Atherosclerosis | PRKAA2
31512724 | Association | Diabetes Mellitus | PRKAG3
31512724 | Association | Cholesterol | PRKAG3
31512724 | Association | Diabetes Mellitus | PRKAG2
31512724 | Association | Diabetes Mellitus | PRKAA2
31512724 | Association | Blood Glucose | PRKAA2
31512724 | Association | Cholesterol | PRKAA1
31512724 | Association | Cholesterol | PRKAA2
31512724 | Positive_Correlation | Cholesterol | Diabetes Mellitus
31512724 | Association | Atherosclerosis | PRKAG2
31512724 | Association | Neoplasms Adipose Tissue | PRKAA1
31512724 | Association | Cholesterol | PRKAG2
31512724 | Positive_Correlation | Cholesterol | Diabetes Mellitus Type 2
31512724 | Association | Blood Glucose | PRKAA1
31512724 | Association | Neoplasms Adipose Tissue | PRKAG3
31512724 | Positive_Correlation | Blood Glucose | Cholesterol
31512724 | Association | Glucose | PRKAA1
31512724 | Association | Diabetes Mellitus | PRKAA1
31512724 | Association | Neoplasms Adipose Tissue | PRKAA2
31512724 | Positive_Correlation | Cholesterol | Atherosclerosis
31512724 | Association | INS | PRKAA1
31512724 | Association | Atherosclerosis | PRKAG3
31512724 | Association | Blood Glucose | PRKAG2
31512724 | Association | Cholesterol | Glucose
