34625540 | Association | Klf4 | Ipo13
11570581 | Negative_Correlation | Cd8a | Cd247
11570581 | Negative_Correlation | Cd8a | Lat
11570581 | Association | Glioma | Cd8a
22016621 | Association | Diabetes Mellitus Type 2 | rs2237892
22016621 | Negative_Correlation | Diabetes Mellitus Type 2 | rs2283228
22016621 | Negative_Correlation | Diabetes Mellitus Type 2 | rs2237895
22016621 | Association | Diabetes Mellitus Type 2 | KCNQ1
22682551 | Positive_Correlation | Amiodarone | rs10919035
22682551 | Positive_Correlation | Amiodarone | rs10800397
22682551 | Positive_Correlation | Long QT Syndrome | rs10800397
22682551 | Positive_Correlation | Long QT Syndrome | rs10919035
22682551 | Association | Arrhythmias Cardiac | NOS1AP
22682551 | Association | Long QT Syndrome | NOS1AP
22682551 | Positive_Correlation | Amiodarone | Long QT Syndrome
22682551 | Association | Amiodarone | NOS1AP
23902946 | Association | Osteoporosis | rs4454537
23902946 | Positive_Correlation | Bone Diseases Metabolic | rs9728351
23902946 | Positive_Correlation | Bone Diseases Metabolic | rs4454537
23902946 | Association | Bone Diseases Metabolic | GREM2
23902946 | Association | Osteoporosis | rs9728351
23902946 | Positive_Correlation | Bone Diseases Metabolic | rs11588607
23902946 | Association | Osteoporosis | GREM2
24915083 | Association | Sodium Dodecyl Sulfate | CD8A
25078492 | Association | Hypoglycemia | rs560887
25078492 | Association | Hypoglycemia | G6PC2
25832805 | Association | dimethylacetamide | zinc hydroxide
25873087 | Association | Prodromal Symptoms | CDH1
25873087 | Positive_Correlation | Colorectal Neoplasms | rs9929218
25873087 | Association | Colorectal Neoplasms | CDH1
25873087 | Association | Neoplasms | rs9929218
25873087 | Positive_Correlation | Prodromal Symptoms | rs9929218
25873087 | Association | Neoplasms | CDH1
25878334 | Association | Endometrial Neoplasms | CD8A
27349314 | Association | Polysaccharides | RAB7B
28448241 | Association | Prostatic Neoplasms | BRCA2
28448241 | Association | Neoplasms | BRCA1
28448241 | Association | Prostatic Neoplasms | BRCA1
28448241 | Association | Breast Neoplasms | BRCA2
28448241 | Association | Breast Neoplasms | BRCA1
28607102 | Association | Cd8a | Clec9a
28607102 | Association | Atherosclerosis | Il10
28607102 | Positive_Correlation | Il10 | Clec9a
28607102 | Association | Atherosclerosis | Clec9a
28607102 | Association | Hypercholesterolemia | Clec9a
28607102 | Positive_Correlation | Hypercholesterolemia | Il10
28607102 | Association | Necrosis | Clec9a
28829991 | Positive_Correlation | Fatty Acids | Colorectal Neoplasms
28829991 | Negative_Correlation | Fatty Acids Unsaturated | Colorectal Neoplasms
28829991 | Positive_Correlation | Fatty Acids | Inflammation
28829991 | Positive_Correlation | stearic acid | Colorectal Neoplasms
28829991 | Positive_Correlation | Arachidonic Acid | Colorectal Neoplasms
29188294 | Association | Lipids | Aortic Aneurysm Abdominal
29188294 | Association | Aortic Aneurysm Abdominal | PCSK9
29188294 | Association | Lipids | PCSK9
29188294 | Association | Aortic Aneurysm Abdominal | CETP
29188294 | Association | Aortic Aneurysm Abdominal | HMGCR
29436389 | Positive_Correlation | Cd1d1 | Irf8
29436389 | Association | Irf8 | Itgae
29436389 | Association | Cd8a | Irf8
29436389 | Association | Atherosclerosis | Irf8
29465311 | Association | Obesity | C1QBP
29465311 | Association | Diabetes Mellitus | C1QBP
29465311 | Negative_Correlation | ACACA | MOGS
29465311 | Association | Lipids | Diabetes Mellitus
29465311 | Association | Obesity | MOGS
29465311 | Negative_Correlation | C1QBP | MOGS
29465311 | Association | Diabetes Mellitus | MOGS
29465311 | Association | Fatty Acids | C1QBP
29465311 | Negative_Correlation | SREBF1 | MOGS
29465311 | Negative_Correlation | FASN | MOGS
29465311 | Association | Glucose | C1QBP
29465311 | Association | Lipids | Obesity
29465311 | Association | Lipids | MOGS
29465311 | Association | Lipids | C1QBP
31388185 | Association | Colorectal Neoplasms | CD8A
31388185 | Association | Neoplasms | CD8A
31585951 | Association | Neoplasms | HLA-A
31610723 | Association | Atherosclerosis | Atg16l1
31610723 | Association | Atherosclerosis | Itgam
31610723 | Association | Tgfb1 | Atg16l1
31610723 | Association | Cd4 | Itgam
31610723 | Association | Atherosclerosis | Ldlr
31610723 | Association | Cd8a | Atg16l1
32099098 | Association | Substance-Related Disorders | rs9291211
32099098 | Association | Depressive Disorder | rs9291211
32099098 | Positive_Correlation | Musculoskeletal Diseases | rs201123820
32099098 | Positive_Correlation | Musculoskeletal Diseases | rs9291211
32099098 | Association | Opioid-Related Disorders | rs9291211
32099098 | Association | Opioid-Related Disorders | SDCCAG8
32099098 | Association | Opioid-Related Disorders | rs201123820
32099098 | Association | Depressive Disorder | BEND4
32099098 | Association | Depressive Disorder | SLC30A9
32099098 | Association | Schizophrenia | SDCCAG8
32099098 | Association | Substance-Related Disorders | BEND4
32099098 | Association | Musculoskeletal Diseases | LINC02837
32099098 | Association | Musculoskeletal Diseases | BEND4
32099098 | Association | Opioid-Related Disorders | BEND4
32099098 | Association | Opioid-Related Disorders | LINC02837
33239672 | Positive_Correlation | Abortion Spontaneous | rs146350366
33239672 | Positive_Correlation | Abortion Spontaneous | rs143445068
33239672 | Positive_Correlation | Abortion Spontaneous | rs7859844
33239672 | Positive_Correlation | Abortion Spontaneous | rs183453668
33239672 | Association | Abortion Spontaneous | NAV2
33397934 | Association | Cd4 | Trav6-3
33625064 | Association | dolutegravir | ABCC10
33625064 | Association | dolutegravir | rs7590091
33625064 | Association | dolutegravir | ABCG2
33625064 | Association | dolutegravir | rs67861980
33625064 | Cotreatment | dolutegravir | Tenofovir
33625064 | Association | dolutegravir | rs4148149
33625064 | Association | Tenofovir | rs76771105
33625064 | Positive_Correlation | dolutegravir | Weight Gain
33625064 | Positive_Correlation | Weight Gain | rs4148149
33625064 | Association | Tenofovir | ABCG2
33625064 | Cotreatment | tenofovir alafenamide | dolutegravir
33625064 | Association | dolutegravir | TMEM163
33625064 | Association | Tenofovir | ABCC10
33625064 | Comparison | tenofovir alafenamide | Tenofovir
33625064 | Association | Weight Gain | ABCG2
34710339 | Association | Inflammation | S100A12
34710339 | Association | Inflammation | AGER
35414868 | Negative_Correlation | Polymers | KRT20
35414868 | Association | Polymers | Rhenium
35414868 | Association | maleimide | Rhenium
35414868 | Association | 2 2'-dipicolylamine | Rhenium
35414868 | Negative_Correlation | Polymers | CD8A
35414868 | Association | 2 2'-dipicolylamine | Platinum
35414868 | Association | Platinum | Polymers
36437532 | Association | Developmental Disabilities | IRX5
36437532 | Association | Developmental Disabilities | PAX9
36437532 | Positive_Correlation | Developmental Disabilities | rs3922616
36437532 | Association | Developmental Disabilities | IGF2BP3
36454761 | Association | LCK | CD4
36454761 | Association | TRBV20OR9-2 | CD4
36454761 | Association | LCK | TRBV20OR9-2
36790221 | Association | Neoplasms | rs12028023
36790221 | Association | Colorectal Neoplasms | RASAL2
36790221 | Association | Colorectal Neoplasms | rs12028023
36790221 | Association | Neoplasms | RASAL2
38253539 | Association | Neoplasms | MSH2
38253539 | Association | Neoplasms | MSH6
38253539 | Association | Prostatic Neoplasms | HLA-A
38253539 | Association | Neoplasms | CD274
38253539 | Association | Neoplasms | CTLA4
38260393 | Association | Disease | CD8A
38271187 | Association | Neoplasms | Ifng
38271187 | Association | Pigmentation Disorders | Tyr
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Pneumonia Pneumocystis
38297382 | Negative_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | HIV Infections
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Pneumonia Bacterial
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Candidiasis Oral
38297382 | Negative_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Skin Diseases
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Respiratory Tract Infections
38400096 | Association | IFNG | CD8A
38479384 | Association | Bile Acids and Salts | Colorectal Neoplasms
38479384 | Association | Bile Acids and Salts | Neoplasms
38479384 | Association | Colorectal Neoplasms | CD8A
38479384 | Negative_Correlation | Deoxycholic Acid | CD8A
38479384 | Association | Deoxycholic Acid | ATP2B2
38479384 | Negative_Correlation | Deoxycholic Acid | CA2
38479384 | Positive_Correlation | Deoxycholic Acid | Colorectal Neoplasms
38479384 | Positive_Correlation | Deoxycholic Acid | Neoplasms
38479384 | Negative_Correlation | Bile Acids and Salts | CD8A
38508137 | Association | Fibrolamellar hepatocellular carcinoma | TRBV20OR9-2
38508137 | Association | Fibrolamellar hepatocellular carcinoma | DNAJB1
38508137 | Association | DNAJB1 | PRKACA
38508137 | Association | Fibrolamellar hepatocellular carcinoma | PRKACA
38570506 | Association | Crebbp | Kmt2d
38570506 | Association | Lymphoma | Kmt2d
38570506 | Association | Lymphoma | Crebbp
38612743 | Cotreatment | lenvatinib | pembrolizumab
38612743 | Negative_Correlation | pembrolizumab | Spinocerebellar Degenerations
38612743 | Negative_Correlation | lenvatinib | Spinocerebellar Degenerations
38612743 | Negative_Correlation | lenvatinib | Endometrial Neoplasms
38612743 | Negative_Correlation | pembrolizumab | Endometrial Neoplasms
38612743 | Association | Endometrial Neoplasms | KRT20
38612743 | Association | Endometrial Neoplasms | CD8A
38612743 | Association | KRT20 | CD8A
38612743 | Association | lenvatinib | Neoplasms
38623763 | Association | Inflammation | Psmb8
38623763 | Association | Hypertension | Psmb8
38623763 | Association | isolevuglandin | Inflammation
38623763 | Positive_Correlation | isolevuglandin | Hypertension
38623763 | Positive_Correlation | Hypertension | Agt
33345622 | Association | HIF1A | CXCR1
33345622 | Association | HIF1A | CXCR2
33345622 | Association | HIF1A | SOD2
33345622 | Association | HIF1A | PGK1
33345622 | Association | Hypoxia | HIF1A
33345622 | Association | HIF1A | PFKFB3
33345622 | Association | COVID-19 | HIF1A
33345622 | Association | HIF1A | TLR4
33345622 | Association | Oxygen | HIF1A
33345622 | Association | HIF1A | SLC2A3
33345622 | Association | HIF1A | CXCR4
33345622 | Association | Inflammation | HIF1A
33345622 | Association | HIF1A | TLR2
33345622 | Association | HIF1A | CXCL8
33532792 | Association | Inflammation | CXCR4
33532792 | Association | COVID-19 | CXCR4
33532792 | Association | GSD IV Neuromuscular Form Fatal Perinatal | CXCR4
34054793 | Association | Glucose | Neoplasms
34153417 | Association | COVID-19 | MIR340
34153417 | Association | COVID-19 | MIR4772
34153417 | Association | COVID-19 | TP53INP2
34153417 | Association | COVID-19 | MIR652
34153417 | Association | COVID-19 | CCR2
34153417 | Association | COVID-19 | MIR192
34153417 | Association | COVID-19 | CXCR4
34153417 | Association | COVID-19 | MIR1291
34260965 | Positive_Correlation | COVID-19 | CXCR4
34260965 | Association | Inflammation | CXCR4
34530915 | Association | COVID-19 | CCR5
34530915 | Association | COVID-19 | HLA-A
34548411 | Association | COVID-19 | CD63
34548411 | Association | COVID-19 | SELL
34548411 | Association | COVID-19 | CD69
34548411 | Association | COVID-19 | ITGAL
34548411 | Association | COVID-19 | CXCR4
34628442 | Comparison | fostemsavir | Maraviroc
34628442 | Negative_Correlation | fostemsavir | ITIH4
34628442 | Negative_Correlation | Maraviroc | CCR5
34706243 | Positive_Correlation | PDGFB | ADA2
34706243 | Association | Inosine | ADA2
34706243 | Association | Non-alcoholic Fatty Liver Disease | ADA2
34706243 | Positive_Correlation | Inflammation | ADA2
34706243 | Association | Non-alcoholic Fatty Liver Disease | PDGFB
34706243 | Positive_Correlation | Inosine | PDGFB
34706243 | Association | Liver Cirrhosis | ADA2
34719258 | Positive_Correlation | Cerebral Hemorrhage | Prkaca
34719258 | Association | Nerve Degeneration | Il18
34719258 | Negative_Correlation | Maraviroc | Neurobehavioral Manifestations
34719258 | Positive_Correlation | Cerebral Hemorrhage | Nlrp1a
34719258 | Association | Camp | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Il1b
34719258 | Association | Nerve Degeneration | Prkaca
34719258 | Negative_Correlation | Maraviroc | Pycard
34719258 | Association | Nerve Degeneration | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Il18
34719258 | Association | Nerve Degeneration | Gsdmd
34719258 | Association | Cerebral Hemorrhage | Pycard
34719258 | Positive_Correlation | Maraviroc | Prkaca
34719258 | Positive_Correlation | Cerebral Hemorrhage | Ccl5
34719258 | Association | Neurobehavioral Manifestations | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Gsdmd
34719258 | Association | Cerebral Hemorrhage | Ccr5
34719258 | Association | Nerve Degeneration | Ccr5
34719258 | Association | Cerebral Hemorrhage | Creb1
34719258 | Association | Heredodegenerative Disorders Nervous System | Ccr5
34719258 | Association | Inflammation | Ccr5
34719258 | Association | Nerve Degeneration | Creb1
34719258 | Association | Ccr5 | Creb1
34719258 | Association | Nerve Degeneration | Pycard
34719258 | Positive_Correlation | Maraviroc | Creb1
34719258 | Association | Nerve Degeneration | Il1b
34719258 | Association | Creb1 | Nlrp1a
34719258 | Positive_Correlation | Ccr5 | Nlrp1a
34719258 | Negative_Correlation | Maraviroc | Cerebral Hemorrhage
34719258 | Negative_Correlation | Maraviroc | Ccr5
34719258 | Negative_Correlation | Maraviroc | Nerve Degeneration
34719258 | Association | Camp | Creb1
34944610 | Negative_Correlation | COVID-19 | CXCR4
34944610 | Negative_Correlation | Virus Diseases | CXCR4
34944610 | Negative_Correlation | Virus Diseases | IFNGR1
34944610 | Negative_Correlation | COVID-19 | IFNGR1
35002537 | Association | COVID-19 | CD69
35002537 | Association | COVID-19 | MMP9
35002537 | Association | COVID-19 | HLA-G
35002537 | Association | Diabetes Complications | AGER
35002537 | Association | COVID-19 | FN1
35002537 | Association | COVID-19 | CXCR4
35002537 | Association | COVID-19 | ISG15
35002537 | Association | COVID-19 | FOXP3
35002537 | Association | Diabetes Complications | RENBP
35002537 | Association | AGER | RENBP
35318325 | Association | COVID-19 | SLC6A20
35318325 | Association | COVID-19 | CCR5
35318325 | Association | COVID-19 | CCR9
35318325 | Association | COVID-19 | CXCR6
35452519 | Negative_Correlation | leronlimab | Post-Acute COVID-19 Syndrome
35452519 | Negative_Correlation | leronlimab | CCR5
35452519 | Association | Post-Acute COVID-19 Syndrome | CCR5
35714803 | Association | COVID-19 | HLA-A
35714803 | Association | COVID-19 | FURIN
35714803 | Association | COVID-19 | AP2B1
35714803 | Association | COVID-19 | TNF
35714803 | Association | COVID-19 | TMPRSS2
35714803 | Association | COVID-19 | TLL1
35714803 | Association | COVID-19 | CCR5
35743140 | Association | Fibrosis | CCR5
35743140 | Association | Fatty Liver Alcoholic | FGF21
35743140 | Association | Liver Cirrhosis | CCL2
35743140 | Positive_Correlation | Triglycerides | FGF21
35743140 | Association | Inflammation | CCL2
35743140 | Positive_Correlation | Ccr2 | Ly6c1
35743140 | Association | Obesity | FGF21
35743140 | Association | Fatty Liver Alcoholic | Ccr5
35743140 | Association | Fibrosis | Ccr2
35743140 | Association | Fibrosis | FGF21
35743140 | Association | Metabolic Diseases | FGF21
35743140 | Association | Glucose | FGF21
35743140 | Association | Fatty Liver | Ccr2
35743140 | Positive_Correlation | Ccr5 | Ly6c1
35743140 | Association | Fibrosis | Ccr5
35743140 | Association | Fatty Liver | CCR5
35743140 | Association | Lipids | FGF21
35743140 | Association | Inflammation | Ccr5
35743140 | Association | Fatty Liver Alcoholic | Ccr2
35743140 | Association | Inflammation | FGF21
35743140 | Association | Fatty Liver | FGF21
35749425 | Association | Multiple Organ Failure | CCR2
35749425 | Positive_Correlation | Fibrosis | CCR5
35749425 | Negative_Correlation | cenicriviroc | CCR5
35749425 | Association | COVID-19 | CCR5
35749425 | Association | Inflammation | CCR2
35749425 | Negative_Correlation | cenicriviroc | Non-alcoholic Fatty Liver Disease
35749425 | Association | Non-alcoholic Fatty Liver Disease | CCR5
35749425 | Negative_Correlation | Dexamethasone | COVID-19
35749425 | Negative_Correlation | cenicriviroc | Respiratory Insufficiency
35749425 | Association | COVID-19 | CCR2
35749425 | Association | Fibrosis | CCR2
35749425 | Negative_Correlation | cenicriviroc | Inflammation
35749425 | Cotreatment | cenicriviroc | Dexamethasone
35749425 | Association | Non-alcoholic Fatty Liver Disease | CCR2
35749425 | Negative_Correlation | cenicriviroc | Multiple Organ Failure
35749425 | Negative_Correlation | cenicriviroc | CCR2
35749425 | Association | Multiple Organ Failure | CCR5
35749425 | Association | Inflammation | CCR5
35749425 | Negative_Correlation | cenicriviroc | COVID-19
35751199 | Association | COVID-19 | EEF1A1
35751199 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | Asthma
35751199 | Association | Asthma | NPM1
35751199 | Association | Asthma | DDX5
35751199 | Association | Asthma | UBA52
35751199 | Association | Asthma | SRSF1
35751199 | Association | COVID-19 | DDX5
35751199 | Association | Asthma | ITGB1
35751199 | Association | Asthma | PXN
35751199 | Association | Asthma | CCR5
35751199 | Association | Asthma | FN1
35751199 | Association | Asthma | IL1A
35751199 | Association | COVID-19 | EGR1
35751199 | Association | COVID-19 | IL1A
35751199 | Association | COVID-19 | IRF8
35751199 | Association | Asthma | EEF1A1
35751199 | Association | Asthma | IRF8
35751199 | Negative_Correlation | Wortmannin | Asthma
35751199 | Association | Asthma | VEGFA
35751199 | Association | Asthma | EIF4E
35751199 | Association | COVID-19 | VEGFA
35751199 | Association | Asthma | EGR1
35751199 | Association | Asthma | XPO1
35751199 | Association | COVID-19 | UBA52
35763308 | Association | c.138C>T | Coronavirus Infections
35763308 | Association | c.138C>T | Death
35763308 | Association | Coronavirus Infections | p.V64I
35763308 | Association | c.2518A>G | Death
35763308 | Association | Death | p.V64I
35763308 | Association | c.2518A>G | Coronavirus Infections
35763308 | Positive_Correlation | c.2518A>G | COVID-19
35763308 | Association | g.55029A>G | Coronavirus Infections
35763308 | Association | Death | CCR2
35763308 | Association | Coronavirus Infections | CXCR4
35763308 | Association | Coronavirus Infections | CCL2
35763308 | Association | Coronavirus Infections | CCR2
35763308 | Association | Coronavirus Infections | CCR5
35763308 | Association | Death | CCL2
35763308 | Association | COVID-19 | CCL2
35763308 | Association | Coronavirus Infections | CXCL12
35763308 | Association | Death | CXCR4
35953728 | Association | COVID-19 | CXCR4
36012436 | Association | Virus Diseases | CCR5
36012436 | Association | Virus Diseases | TMPRSS2
36051697 | Association | COVID-19 | NFIA
36051697 | Association | COVID-19 | SPRY4
36051697 | Association | COVID-19 | ACTN1
36051697 | Association | COVID-19 | FMN1
36051697 | Association | COVID-19 | MNS1
36051697 | Association | COVID-19 | MMP27
36051697 | Association | COVID-19 | SEMA6D
36051697 | Association | COVID-19 | ADGRL3
36051697 | Association | COVID-19 | PDS5B
36051697 | Association | COVID-19 | TENM3
36051697 | Association | COVID-19 | RSU1
36216889 | Association | Diabetes Mellitus Type 2 | HNF1A
36252122 | Association | Atherosclerosis | Cxcr3
36252122 | Positive_Correlation | Abca1 | Bcl2
36252122 | Association | Cholesterol | Abca1
36252122 | Association | Abca1 | Bcl2l1
36252122 | Positive_Correlation | Abca1 | Ifng
36252122 | Association | Atherosclerosis | Ifng
36252122 | Association | Atherosclerosis | Trav6-3
36252122 | Association | Atherosclerosis | Bcl2l1
36252122 | Positive_Correlation | Abca1 | Cxcr3
36252122 | Positive_Correlation | Abca1 | Ccr5
36252122 | Association | Cholesterol | Apoa1
36252122 | Positive_Correlation | Abca1 | Apoa1
36252122 | Association | Atherosclerosis | Bcl2
36252122 | Association | Abca1 | Il2
36252122 | Association | Abca1 | Ldlr
36252122 | Negative_Correlation | Ccr5 | Ldlr
36252122 | Positive_Correlation | Abca1 | Abcg1
36252122 | Association | Atherosclerosis | Abca1
36252122 | Positive_Correlation | Abca1 | Trav6-3
36252122 | Association | Atherosclerosis | Ccr5
36252122 | Association | Cxcr3 | Ldlr
36252122 | Association | Atherosclerosis | Cd4
36411478 | Association | COVID-19 | HLA-A
36426967 | Association | Inflammation | Ccr1
36426967 | Association | Inflammation | Ccr5
36426967 | Association | Inflammation | Ccr2
36426967 | Association | Inflammation | Ccr3
36572146 | Negative_Correlation | cenicriviroc | Respiratory Distress Syndrome
36572146 | Negative_Correlation | CCL4 | CCR2
36572146 | Positive_Correlation | cenicriviroc | CCL4
36572146 | Negative_Correlation | cenicriviroc | CCR2
36572146 | Association | COVID-19 | CCR2
36572146 | Association | CCL2 | CCR2
36572146 | Negative_Correlation | cenicriviroc | COVID-19
36572146 | Positive_Correlation | cenicriviroc | CCL2
36572146 | Association | COVID-19 | CCR5
36572146 | Negative_Correlation | cenicriviroc | CCR5
36602861 | Association | TCF7 | CD8A
36625336 | Positive_Correlation | Cyclophosphamide | Pancytopenia
36625336 | Negative_Correlation | Cyclophosphamide | Autoimmune Diseases
36625336 | Negative_Correlation | Cyclophosphamide | COVID-19
36625336 | Negative_Correlation | Cyclophosphamide | Multiple Sclerosis
36625336 | Negative_Correlation | Cyclophosphamide | Inflammation
36740883 | Association | Inflammation | SELPLG
36740883 | Association | Inflammation | CCR3
36740883 | Association | Inflammation | CCR5
36740883 | Association | Inflammation | ITGB7
36758207 | Association | Tryptophan | IDO1
36758207 | Association | CCR5 | CDK1
36758207 | Association | CXCR3 | CDK1
36758207 | Association | CCR4 | CDK1
36763080 | Association | COVID-19 | CCR5
36763080 | Association | Virus Diseases | CCR5
36763080 | Association | COVID-19 | CCR1
36793857 | Association | Cerebral Infarction | Klrb1c
36793857 | Negative_Correlation | Inflammation | Klrb1c
36793857 | Association | Cerebral Infarction | Cd4
36793857 | Association | Brain Ischemia | Ccr5
36793857 | Negative_Correlation | Inflammation | Cd4
36803516 | Association | Inflammation | C5AR1
36803516 | Association | COVID-19 | ORF1ab
36803516 | Association | Inflammation | CCR5
36803516 | Negative_Correlation | Polyphenols | Inflammation
36803516 | Negative_Correlation | Polyphenols | COVID-19
36803516 | Association | COVID-19 | C5AR1
36844201 | Association | Fatigue | VEGFA
36844201 | Negative_Correlation | Pravastatin | CX3CL1
36844201 | Negative_Correlation | Maraviroc | CCR5
36844201 | Association | CCR5 | FCGR3A
36844201 | Association | CX3CR1 | FCGR3A
36844201 | Negative_Correlation | Pravastatin | Fatigue
36844201 | Negative_Correlation | Maraviroc | Dyspnea
36844201 | Negative_Correlation | Pravastatin | 614878
36844201 | Negative_Correlation | Pravastatin | Post-Acute COVID-19 Syndrome
36844201 | Negative_Correlation | Maraviroc | Fatigue
36844201 | Cotreatment | Maraviroc | Pravastatin
36844201 | Negative_Correlation | Maraviroc | Post-Acute COVID-19 Syndrome
36844201 | Negative_Correlation | Maraviroc | 614878
37105172 | Positive_Correlation | Tauopathies | Ccr5
37105172 | Positive_Correlation | Ccr5 | Ccl5
37105172 | Positive_Correlation | Huntington Disease | Ccr5
37105172 | Association | Neurodegenerative Diseases | Ccr5
37243169 | Association | Arginine | CXCR4
37243169 | Association | Aspartic Acid | CXCR4
37243169 | Bind | env | CXCR4
37243169 | Association | Glutamic Acid | CXCR4
37243169 | Bind | ITIH4 | CXCR4
37264685 | Bind | BRI3 | VCP
37264685 | Association | PPP1R11 | VCP
37264685 | Association | VCP | NUP37
37264685 | Association | PPP1R7 | VCP
37418541 | Negative_Correlation | Maraviroc | Neurocognitive Disorders
37418541 | Association | AIDS-Associated Nephropathy | CCR5
37418541 | Association | Neurocognitive Disorders | CCR5
37418541 | Negative_Correlation | MEC protocol 1 | Cognition Disorders
37418541 | Negative_Correlation | Maraviroc | AIDS-Associated Nephropathy
37418541 | Association | Inflammation | CCR5
37418541 | Negative_Correlation | Maraviroc | CCR5
37442140 | Positive_Correlation | Hmox1 | Il6
37442140 | Association | Ccr5 | Il6
37442140 | Association | Neoplasms | Ccr5
37442140 | Positive_Correlation | Lyve1 | Il6
37442140 | Positive_Correlation | Lyve1 | Hmox1
37442140 | Association | Neoplasms | Lyve1
37442140 | Association | Breast Neoplasms | Lyve1
37442140 | Association | Lyve1 | Ccr5
37499788 | Association | COVID-19 | rs1870377
37499788 | Association | COVID-19 | rs333
37499788 | Association | COVID-19 | rs5743313
37499788 | Association | COVID-19 | KDR
37499788 | Association | COVID-19 | TLR3
37499788 | Association | COVID-19 | CCR5AS
38357936 | Positive_Correlation | FBXO32 | CCL5
38357936 | Positive_Correlation | CCL5 | TRIM63
