28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 36 | 37 | Disease | disease | head and neck squamous cell carcinoma
36408799 | @GENE_CD4 | CD4 | 767 | 3 | Gene | gene | CD4
36408799 | @GENE_S | S | 776 | 5 | Gene | gene | spike
36408799 | @GENE_CD8A | CD8A | 791 | 3 | Gene | gene | CD8
36408799 | @GENE_S | S | 856 | 5 | Gene | gene | Spike
36408799 | @GENE_CD8A | CD8A | 871 | 3 | Gene | gene | CD8
36408799 | @GENE_S | S | 905 | 5 | Gene | gene | spike
36408799 | @GENE_CD8A | CD8A | 1037 | 3 | Gene | gene | CD8
36408799 | @DISEASE_COVID_19 | COVID-19 | 1098 | 8 | Disease | disease | COVID-19
36408799 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1136 | 15 | Gene | gene | T cell receptor
36408799 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1153 | 3 | Gene | gene | TCR
36408799 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1224 | 3 | Gene | gene | TCR
36465028 | @DISEASE_HIV_Infections | HIV Infections | 84 | 3 | Disease | disease | HIV
36465028 | @DISEASE_Infections | Infections | 188 | 9 | Disease | disease | infection
36465028 | @DISEASE_HIV_Infections | HIV Infections | 257 | 15 | Disease | disease | living with HIV
36465028 | @DISEASE_HIV_Infections | HIV Infections | 467 | 19 | Disease | disease | acute HIV infection
36465028 | @DISEASE_HIV_Infections | HIV Infections | 488 | 3 | Disease | disease | AHI
36465028 | @GENE_CD4 | CD4 | 542 | 3 | Gene | gene | CD4
36465028 | @DISEASE_HIV_Infections | HIV Infections | 689 | 3 | Disease | disease | AHI
36465028 | @GENE_CD4 | CD4 | 726 | 3 | Gene | gene | CD4
36465028 | @DISEASE_Viremia | Viremia | 758 | 7 | Disease | disease | viremia
36549550 | @GENE_GAG | gag | 243 | 3 | Gene | gene | Gag
36549550 | @GENE_GAG | gag | 265 | 3 | Gene | gene | Gag
36549550 | @GENE_CD8A | CD8A | 304 | 3 | Gene | gene | CD8
36549550 | @GENE_GAG | gag | 355 | 3 | Gene | gene | Gag
36549550 | @VARIANT_p.T242N_gag_Human_immunodeficiency_virus_1 | p.T242N | 376 | 5 | Variant | variant | T242N
36549550 | @DISEASE_Infections | Infections | 719 | 18 | Disease | disease | CRF01_AE infection
36549550 | @GENE_CD4 | CD4 | 822 | 3 | Gene | gene | CD4
36549550 | @DISEASE_Infections | Infections | 854 | 17 | Disease | disease | CRF01_AE-infected
36549550 | @VARIANT_p.T242N_gag_Human_immunodeficiency_virus_1 | p.T242N | 919 | 5 | Variant | variant | T242N
36549550 | @VARIANT_p.T242N_gag_Human_immunodeficiency_virus_1 | p.T242N | 1051 | 5 | Variant | variant | T242N
36549550 | @GENE_CD4 | CD4 | 1136 | 3 | Gene | gene | CD4
36549550 | @VARIANT_p.T242N_gag_Human_immunodeficiency_virus_1 | p.T242N | 1293 | 5 | Variant | variant | T242N
36549550 | @DISEASE_Infections | Infections | 1528 | 18 | Disease | disease | CRF01_AE infection
36549550 | @GENE_CD8A | CD8A | 1612 | 3 | Gene | gene | CD8
36851781 | @GENE_REV | rev | 40 | 3 | Gene | gene | Rev
36851781 | @DISEASE_HIV_Infections | HIV Infections | 71 | 14 | Disease | disease | HIV-1-Infected
36851781 | @DISEASE_HIV_Infections | HIV Infections | 134 | 14 | Disease | disease | HIV-1-infected
36851781 | @DISEASE_HIV_Infections | HIV Infections | 323 | 14 | Disease | disease | HIV-1-infected
36851781 | @GENE_CD4 | CD4 | 475 | 3 | Gene | gene | CD4
36851781 | @GENE_GAG | gag | 641 | 3 | Gene | gene | Gag
36851781 | @GENE_NEF | nef | 646 | 3 | Gene | gene | Nef
36851781 | @GENE_REV | rev | 654 | 3 | Gene | gene | Rev
36851781 | @GENE_REV | rev | 780 | 4 | Gene | gene | Rev.
36851781 | @GENE_REV | rev | 1007 | 4 | Gene | gene | Rev.
36851781 | @DISEASE_HIV_Infections | HIV Infections | 1063 | 14 | Disease | disease | HIV-1-infected
36851781 | @GENE_CD4 | CD4 | 1180 | 3 | Gene | gene | CD4
36851781 | @GENE_REV | rev | 1344 | 3 | Gene | gene | Rev
36851781 | @DISEASE_HIV_Infections | HIV Infections | 1444 | 15 | Disease | disease | HIV-1-infection
37063893 | @GENE_CD8A | CD8A | 40 | 3 | Gene | gene | CD8
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 75 | 23 | Disease | disease | inclusion body myositis
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 195 | 23 | Disease | disease | Inclusion body myositis
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 220 | 3 | Disease | disease | IBM
37063893 | @DISEASE_Myositis | Myositis | 242 | 21 | Disease | disease | inflammatory myopathy
37063893 | @GENE_CD8A | CD8A | 335 | 3 | Gene | gene | CD8
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 370 | 3 | Disease | disease | IBM
37063893 | @DISEASE_Lymphoproliferative_Disorders | Lymphoproliferative Disorders | 416 | 37 | Disease | disease | systemic lymphoproliferative disorder
37063893 | @GENE_CD8A | CD8A | 457 | 3 | Gene | gene | CD8
37063893 | @DISEASE_Leukemia_Large_Granular_Lymphocytic | Leukemia Large Granular Lymphocytic | 533 | 42 | Disease | disease | T cell Large Granular Lymphocytic Leukemia
37063893 | @DISEASE_Leukemia_Large_Granular_Lymphocytic | Leukemia Large Granular Lymphocytic | 577 | 6 | Disease | disease | T-LGLL
37063893 | @GENE_CD8A | CD8A | 630 | 3 | Gene | gene | CD8
37063893 | @DISEASE_Lymphoproliferative_Disorders | Lymphoproliferative Disorders | 637 | 32 | Disease | disease | LGL lymphoproliferative disorder
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 676 | 3 | Disease | disease | IBM
37063893 | @DISEASE_Ataxia_Telangiectasia | Ataxia Telangiectasia | 814 | 6 | Disease | disease | T-LGLs
37063893 | @GENE_HLA_A | HLA-A | 898 | 3 | Gene | gene | HLA
37063893 | @DISEASE_Ataxia_Telangiectasia | Ataxia Telangiectasia | 1008 | 6 | Disease | disease | T-LGLs
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 1037 | 3 | Disease | disease | IBM
37063893 | @GENE_B3GAT1 | B3GAT1 | 1173 | 4 | Gene | gene | CD57
37063893 | @GENE_KLRG1 | KLRG1 | 1182 | 5 | Gene | gene | KLRG1
37063893 | @GENE_KLRD1 | KLRD1 | 1215 | 4 | Gene | gene | CD94
37063893 | @GENE_NCAM1 | NCAM1 | 1224 | 4 | Gene | gene | CD56
37063893 | @GENE_CD8A | CD8A | 1246 | 3 | Gene | gene | CD8
37063893 | @GENE_CD4 | CD4 | 1304 | 3 | Gene | gene | CD4
37063893 | @GENE_B3GAT1 | B3GAT1 | 1361 | 4 | Gene | gene | CD57
37063893 | @GENE_KLRG1 | KLRG1 | 1367 | 5 | Gene | gene | KLRG1
37063893 | @GENE_CD8A | CD8A | 1478 | 3 | Gene | gene | CD8
37063893 | @GENE_CD4 | CD4 | 1487 | 3 | Gene | gene | CD4
37063893 | @GENE_CD8A | CD8A | 1783 | 3 | Gene | gene | CD8
37063893 | @GENE_CD4 | CD4 | 1792 | 3 | Gene | gene | CD4
37063893 | @GENE_B3GAT1 | B3GAT1 | 1849 | 4 | Gene | gene | CD57
37063893 | @GENE_KLRG1 | KLRG1 | 1858 | 5 | Gene | gene | KLRG1
37063893 | @GENE_HLA_A | HLA-A | 1897 | 3 | Gene | gene | HLA
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 1918 | 3 | Disease | disease | IBM
37063893 | @DISEASE_Leukemia_Large_Granular_Lymphocytic | Leukemia Large Granular Lymphocytic | 2070 | 5 | Disease | disease | T-LGL
37063893 | @GENE_NT5C1A | NT5C1A | 2153 | 28 | Gene | gene | cytosolic 5'-nucleotidase 1A
37063893 | @DISEASE_Leukemia_Large_Granular_Lymphocytic | Leukemia Large Granular Lymphocytic | 2406 | 5 | Disease | disease | T-LGL
37063893 | @DISEASE_Leukemia_Large_Granular_Lymphocytic | Leukemia Large Granular Lymphocytic | 2563 | 5 | Disease | disease | T-LGL
37063893 | @DISEASE_Myositis_Inclusion_Body | Myositis Inclusion Body | 2592 | 3 | Disease | disease | IBM
37063893 | @DISEASE_614878 | 614878 | 2636 | 20 | Disease | disease | immune dysregulation
37351013 | @GENE_TERT | TERT | 89 | 32 | Gene | gene | telomerase reverse transcriptase
37351013 | @CHEMICAL_abacavir | abacavir | 183 | 8 | Chemical | chemical | abacavir
37351013 | @CHEMICAL_Zidovudine | Zidovudine | 196 | 10 | Chemical | chemical | zidovudine
37351013 | @GENE_TERT | TERT | 1075 | 4 | Gene | gene | TERT
37351013 | @GENE_HLA_B | HLA-B | 1093 | 5 | Gene | gene | HLA-B
37351013 | @GENE_PNP | PNP | 1180 | 3 | Gene | gene | PNP
37351013 | @GENE_TERT | TERT | 1185 | 4 | Gene | gene | TERT
37351013 | @GENE_CCR5 | CCR5 | 1191 | 4 | Gene | gene | CCR5
37351013 | @GENE_HLA_B | HLA-B | 1197 | 5 | Gene | gene | HLA-B
37351013 | @GENE_NR1I2 | NR1I2 | 1208 | 5 | Gene | gene | NR1I2
37351013 | @GENE_CD4 | CD4 | 1260 | 3 | Gene | gene | CD4
37351013 | @GENE_AHR | AHR | 1265 | 3 | Gene | gene | AHR
37351013 | @GENE_FKBP4 | FKBP4 | 1270 | 5 | Gene | gene | FKBP4
37351013 | @GENE_NR3C1 | NR3C1 | 1277 | 5 | Gene | gene | NR3C1
37351013 | @GENE_HSP90AA1 | HSP90AA1 | 1284 | 8 | Gene | gene | HSP90AA1
37351013 | @GENE_STUB1 | STUB1 | 1298 | 5 | Gene | gene | STUB1
37351013 | @DISEASE_HIV_Infections | HIV Infections | 1325 | 13 | Disease | disease | HIV infection
37351013 | @CHEMICAL_abacavir | abacavir | 1399 | 8 | Chemical | chemical | abacavir
37351013 | @CHEMICAL_Zidovudine | Zidovudine | 1412 | 10 | Chemical | chemical | zidovudine
37351013 | @CHEMICAL_Cidofovir | Cidofovir | 1521 | 9 | Chemical | chemical | cidofovir
37351013 | @CHEMICAL_Ganciclovir | Ganciclovir | 1535 | 11 | Chemical | chemical | ganciclovir
37351013 | @CHEMICAL_abacavir | abacavir | 1625 | 8 | Chemical | chemical | abacavir
37351013 | @CHEMICAL_Zidovudine | Zidovudine | 1638 | 10 | Chemical | chemical | zidovudine
37351013 | @CHEMICAL_abacavir | abacavir | 1692 | 8 | Chemical | chemical | abacavir
37351013 | @CHEMICAL_Zidovudine | Zidovudine | 1705 | 10 | Chemical | chemical | zidovudine
37351013 | @CHEMICAL_abacavir | abacavir | 1814 | 8 | Chemical | chemical | abacavir
37351013 | @CHEMICAL_Zidovudine | Zidovudine | 1827 | 10 | Chemical | chemical | zidovudine
37398940 | @DISEASE_Sarcoma | Sarcoma | 0 | 48 | Disease | disease | Epithelioid inflammatory myofibroblastic sarcoma
37398940 | @GENE_ALK | ALK | 93 | 3 | Gene | gene | ALK
37398940 | @DISEASE_Lymphoma_Large_Cell_Anaplastic | Lymphoma Large-Cell Anaplastic | 106 | 30 | Disease | disease | anaplastic large cell lymphoma
37398940 | @DISEASE_Abdominal_Injuries | Abdominal Injuries | 184 | 14 | Disease | disease | abdominal mass
37398940 | @DISEASE_Neoplasms | Neoplasms | 241 | 5 | Disease | disease | tumor
37398940 | @GENE_TNFRSF8 | TNFRSF8 | 362 | 4 | Gene | gene | CD30
37398940 | @GENE_ALK | ALK | 392 | 3 | Gene | gene | ALK
37398940 | @GENE_KRT20 | KRT20 | 422 | 4 | Gene | gene | CD20
37398940 | @GENE_CD79A | CD79A | 428 | 5 | Gene | gene | CD79a
37398940 | @GENE_PAX5 | PAX5 | 435 | 4 | Gene | gene | PAX5
37398940 | @GENE_CD2 | CD2 | 475 | 3 | Gene | gene | CD2
37398940 | @GENE_CD4 | CD4 | 485 | 3 | Gene | gene | CD4
37398940 | @GENE_CD5 | CD5 | 490 | 3 | Gene | gene | CD5
37398940 | @GENE_SPN | SPN | 495 | 4 | Gene | gene | CD43
37398940 | @GENE_GZMB | GZMB | 501 | 10 | Gene | gene | granzyme B
37398940 | @GENE_PTPRC | PTPRC | 579 | 4 | Gene | gene | CD45
37398940 | @GENE_CD34 | CD34 | 585 | 4 | Gene | gene | CD34
37398940 | @GENE_KIT | KIT | 591 | 5 | Gene | gene | CD117
37398940 | @GENE_NCAM1 | NCAM1 | 598 | 4 | Gene | gene | CD56
37398940 | @GENE_CD163 | CD163 | 604 | 5 | Gene | gene | CD163
37398940 | @GENE_SDC1 | SDC1 | 635 | 5 | Gene | gene | CD138
37398940 | @GENE_DES | DES | 688 | 6 | Gene | gene | desmin
37398940 | @GENE_S100A1 | S100A1 | 725 | 4 | Gene | gene | S100
37398940 | @GENE_MLANA | MLANA | 731 | 7 | Gene | gene | melan A
37398940 | @GENE_PAX8 | PAX8 | 747 | 4 | Gene | gene | PAX8
37398940 | @GENE_PAX2 | PAX2 | 753 | 4 | Gene | gene | PAX2
37398940 | @GENE_WT1 | WT1 | 759 | 3 | Gene | gene | WT1
37398940 | @GENE_MYOD1 | MYOD1 | 764 | 6 | Gene | gene | MYO-D1
37398940 | @GENE_MYOG | MYOG | 772 | 8 | Gene | gene | myogenin
37398940 | @GENE_PRRC2B | PRRC2B | 832 | 11 | Gene | gene | PRRC2B::ALK
37398940 | @DISEASE_Sarcoma | Sarcoma | 867 | 48 | Disease | disease | epithelioid inflammatory myofibroblastic sarcoma
37398940 | @DISEASE_Sarcoma | Sarcoma | 917 | 4 | Disease | disease | EIMS
37398940 | @DISEASE_Sarcoma | Sarcoma | 933 | 4 | Disease | disease | EIMS
37398940 | @DISEASE_Neoplasms | Neoplasms | 968 | 34 | Disease | disease | inflammatory myofibroblastic tumor
37398940 | @DISEASE_Neoplasms | Neoplasms | 1058 | 5 | Disease | disease | tumor
37398940 | @GENE_ALK | ALK | 1111 | 3 | Gene | gene | ALK
37398940 | @GENE_TNFRSF8 | TNFRSF8 | 1125 | 4 | Gene | gene | CD30
37398940 | @GENE_ALK | ALK | 1131 | 3 | Gene | gene | ALK
37398940 | @DISEASE_Carcinoma_Large_Cell | Carcinoma Large Cell | 1187 | 16 | Disease | disease | large-cell tumor
37398940 | @GENE_TNFRSF8 | TNFRSF8 | 1215 | 4 | Gene | gene | CD30
37398940 | @GENE_ALK | ALK | 1224 | 3 | Gene | gene | ALK
37398940 | @GENE_ALK | ALK | 1235 | 3 | Gene | gene | ALK
37398940 | @DISEASE_Neoplasms | Neoplasms | 1248 | 9 | Disease | disease | neoplasms
37398940 | @DISEASE_Neoplasms | Neoplasms | 1265 | 10 | Disease | disease | carcinomas
37398940 | @GENE_ALK | ALK | 1277 | 3 | Gene | gene | ALK
37398940 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 1290 | 21 | Disease | disease | large B-cell lymphoma
37398940 | @GENE_ALK | ALK | 1313 | 3 | Gene | gene | ALK
37398940 | @DISEASE_Histiocytosis | Histiocytosis | 1326 | 13 | Disease | disease | histiocytosis
37398940 | @GENE_TNFRSF8 | TNFRSF8 | 1356 | 4 | Gene | gene | CD30
37398940 | @DISEASE_Sarcoma | Sarcoma | 1465 | 4 | Disease | disease | EIMS
37398940 | @GENE_ALK | ALK | 1475 | 3 | Gene | gene | ALK
37398940 | @GENE_ALK | ALK | 1699 | 3 | Gene | gene | ALK
37398940 | @GENE_PRRC2B | PRRC2B | 1777 | 11 | Gene | gene | PRRC2B::ALK
37398940 | @GENE_RANBP2 | RANBP2 | 1793 | 11 | Gene | gene | RANBP2::ALK
37398940 | @DISEASE_Sarcoma | Sarcoma | 1814 | 4 | Disease | disease | EIMS
37451415 | @DISEASE_Thyroid_Diseases | Thyroid Diseases | 45 | 17 | Disease | disease | thyroid disorders
37451415 | @DISEASE_COVID_19 | COVID-19 | 74 | 8 | Disease | disease | COVID-19
37451415 | @DISEASE_COVID_19 | COVID-19 | 171 | 21 | Disease | disease | SARS-CoV-2 infections
37451415 | @DISEASE_Thyroid_Diseases | Thyroid Diseases | 232 | 17 | Disease | disease | thyroid disorders
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 263 | 20 | Disease | disease | subacute thyroiditis
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 285 | 3 | Disease | disease | SAT
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 302 | 29 | Disease | disease | SAT upon severe COVID disease
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 339 | 3 | Disease | disease | SAT
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 455 | 3 | Disease | disease | SAT
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 488 | 3 | Disease | disease | SAT
37451415 | @DISEASE_COVID_19 | COVID-19 | 636 | 5 | Disease | disease | COVID
37451415 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 678 | 22 | Disease | disease | autoimmune thyroiditis
37451415 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 702 | 3 | Disease | disease | ATD
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 716 | 3 | Disease | disease | SAT
37451415 | @DISEASE_COVID_19 | COVID-19 | 730 | 5 | Disease | disease | COVID
37451415 | @DISEASE_Infections | Infections | 824 | 9 | Disease | disease | infection
37451415 | @DISEASE_COVID_19 | COVID-19 | 1045 | 5 | Disease | disease | COVID
37451415 | @GENE_HLA_A | HLA-A | 1066 | 3 | Gene | gene | HLA
37451415 | @GENE_HLA_A | HLA-A | 1086 | 3 | Gene | gene | HLA
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 1118 | 3 | Disease | disease | SAT
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 1174 | 3 | Disease | disease | SAT
37451415 | @GENE_CD4 | CD4 | 1226 | 3 | Gene | gene | CD4
37451415 | @GENE_CD8A | CD8A | 1235 | 3 | Gene | gene | CD8
37451415 | @DISEASE_Infections | Infections | 1272 | 9 | Disease | disease | infection
37451415 | @DISEASE_Infections | Infections | 1450 | 9 | Disease | disease | infection
37451415 | @GENE_CD4 | CD4 | 1498 | 3 | Gene | gene | CD4
37451415 | @GENE_CD8A | CD8A | 1507 | 3 | Gene | gene | CD8
37451415 | @GENE_CXCR3 | CXCR3 | 1592 | 5 | Gene | gene | CXCR3
37451415 | @DISEASE_Infections | Infections | 1752 | 9 | Disease | disease | infection
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 1801 | 3 | Disease | disease | SAT
37451415 | @GENE_HLA_A | HLA-A | 1819 | 3 | Gene | gene | HLA
37451415 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 1902 | 3 | Disease | disease | SAT
37451415 | @DISEASE_COVID_19 | COVID-19 | 2010 | 5 | Disease | disease | COVID
37456859 | @DISEASE_HIV_Infections | HIV Infections | 39 | 11 | Disease | disease | HIV disease
37456859 | @DISEASE_HIV_Infections | HIV Infections | 66 | 3 | Disease | disease | HIV
37456859 | @GENE_CD4 | CD4 | 144 | 3 | Gene | gene | CD4
37456859 | @GENE_CD4 | CD4 | 218 | 3 | Gene | gene | CD4
37456859 | @DISEASE_HIV_Infections | HIV Infections | 238 | 3 | Disease | disease | HIV
37456859 | @DISEASE_HIV_Infections | HIV Infections | 270 | 3 | Disease | disease | HIV
37456859 | @DISEASE_HIV_Infections | HIV Infections | 336 | 3 | Disease | disease | HIV
37456859 | @DISEASE_HIV_Infections | HIV Infections | 379 | 3 | Disease | disease | HIV
37456859 | @DISEASE_HIV_Infections | HIV Infections | 606 | 3 | Disease | disease | HIV
37456859 | @GENE_HLA_B | HLA-B | 628 | 5 | Gene | gene | HLA-B
37456859 | @VARIANT_g.31431780T>G_HCP5_human | rs2395029 | 635 | 9 | Variant | variant | rs2395029
37456859 | @VARIANT_rs59440261 | rs59440261 | 669 | 10 | Variant | variant | rs59440261
37456859 | @GENE_MICA | MICA | 705 | 4 | Gene | gene | MICA
37456859 | @VARIANT_rs112243036 | rs112243036 | 711 | 11 | Variant | variant | rs112243036
37456859 | @GENE_PSORS1C1 | PSORS1C1 | 752 | 8 | Gene | gene | PSORS1C1
37456859 | @VARIANT_c._94G>A_PSORS1C1_human | rs3815087 | 767 | 9 | Variant | variant | rs3815087
37456859 | @DISEASE_HIV_Infections | HIV Infections | 895 | 3 | Disease | disease | HIV
37710038 | @DISEASE_Scalp_Dermatoses | Scalp Dermatoses | 67 | 40 | Disease | disease | erosive pustular dermatosis of the scalp
37710038 | @DISEASE_Neoplasms | Neoplasms | 204 | 12 | Disease | disease | malignancies
37710038 | @DISEASE_Stevens_Johnson_Syndrome | Stevens-Johnson Syndrome | 257 | 18 | Disease | disease | cutaneous toxicity
37710038 | @DISEASE_Acneiform_Eruptions | Acneiform Eruptions | 298 | 19 | Disease | disease | acneiform eruptions
37710038 | @DISEASE_Paronychia | Paronychia | 319 | 10 | Disease | disease | paronychia
37710038 | @DISEASE_Scalp_Dermatoses | Scalp Dermatoses | 343 | 40 | Disease | disease | Erosive pustular dermatosis of the scalp
37710038 | @DISEASE_Stevens_Johnson_Syndrome | Stevens-Johnson Syndrome | 401 | 26 | Disease | disease | cutaneous adverse reaction
37710038 | @GENE_LTA4H | LTA4H | 601 | 5 | Gene | gene | LTA4H
37710038 | @GENE_LTA4H | LTA4H | 608 | 25 | Gene | gene | leukotriene A-4 hydrolase
37710038 | @GENE_METAP1 | METAP1 | 636 | 6 | Gene | gene | METAP1
37710038 | @GENE_METAP1 | METAP1 | 644 | 27 | Gene | gene | methionine aminopeptidase 1
37710038 | @GENE_BID | BID | 674 | 3 | Gene | gene | BID
37710038 | @GENE_BID | BID | 679 | 36 | Gene | gene | BH3-interacting domain death agonist
37710038 | @GENE_SMAD1 | SMAD1 | 718 | 5 | Gene | gene | SMAD1
37710038 | @GENE_PRKRA | PRKRA | 769 | 5 | Gene | gene | PRKRA
37710038 | @GENE_PRKRA | PRKRA | 776 | 77 | Gene | gene | interferon-inducible double-stranded RNA-dependent protein kinase activator A
37710038 | @GENE_YES1 | YES1 | 862 | 27 | Gene | gene | tyrosine-protein kinase Yes
37710038 | @GENE_EGFL7 | EGFL7 | 895 | 5 | Gene | gene | EGFL7
37710038 | @GENE_EGFL7 | EGFL7 | 902 | 38 | Gene | gene | epidermal growth factor-like protein 7
37710038 | @GENE_CD4 | CD4 | 1104 | 3 | Gene | gene | CD4
37710038 | @GENE_CD8A | CD8A | 1113 | 3 | Gene | gene | CD8
37710038 | @GENE_HLA_A | HLA-A | 1184 | 3 | Gene | gene | HLA
37710038 | @CHEMICAL_Afatinib | Afatinib | 1271 | 8 | Chemical | chemical | afatinib
37710038 | @CHEMICAL_Erlotinib_Hydrochloride | Erlotinib Hydrochloride | 1284 | 9 | Chemical | chemical | erlotinib
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 34 | 17 | Chemical | chemical | Green Tea Extract
38055372 | @DISEASE_Liver_Failure | Liver Failure | 60 | 12 | Disease | disease | Liver Injury
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 115 | 28 | Chemical | chemical | Epigallocatechin-3-O-gallate
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 145 | 4 | Chemical | chemical | EGCG
38055372 | @DISEASE_Liver_Failure | Liver Failure | 280 | 12 | Disease | disease | liver injury
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 361 | 4 | Chemical | chemical | EGCG
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 425 | 4 | Chemical | chemical | EGCG
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 475 | 4 | Chemical | chemical | EGCG
38055372 | @GENE_CD4 | CD4 | 609 | 3 | Gene | gene | CD4
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 704 | 4 | Chemical | chemical | EGCG
38055372 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 793 | 17 | Chemical | chemical | green tea extract
38055372 | @DISEASE_Liver_Failure | Liver Failure | 819 | 12 | Disease | disease | liver injury
38263938 | @DISEASE_Acquired_Immunodeficiency_Syndrome | Acquired Immunodeficiency Syndrome | 181 | 68 | Disease | disease | Human immunodeficiency virus (HIV)/acquired immundeficiency syndrome
38263938 | @DISEASE_Acquired_Immunodeficiency_Syndrome | Acquired Immunodeficiency Syndrome | 251 | 4 | Disease | disease | AIDS
38263938 | @DISEASE_HIV_Infections | HIV Infections | 431 | 13 | Disease | disease | HIV infection
38263938 | @CHEMICAL_abacavir | abacavir | 632 | 8 | Chemical | chemical | abacavir
38263938 | @CHEMICAL_abacavir | abacavir | 701 | 8 | Chemical | chemical | abacavir
38263938 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 853 | 16 | Disease | disease | hypersensitivity
38263938 | @DISEASE_HIV_Infections | HIV Infections | 1014 | 14 | Disease | disease | HIV-1-infected
38263938 | @DISEASE_HIV_Infections | HIV Infections | 1140 | 12 | Disease | disease | HIV-infected
38263938 | @DISEASE_HIV_Infections | HIV Infections | 1327 | 15 | Disease | disease | HIV-1 infection
38263938 | @GENE_CD4 | CD4 | 1458 | 3 | Gene | gene | CD4
38263938 | @DISEASE_HIV_Infections | HIV Infections | 2050 | 12 | Disease | disease | HIV-infected
38263938 | @GENE_CD4 | CD4 | 2290 | 3 | Gene | gene | CD4
38263938 | @GENE_CD4 | CD4 | 2408 | 3 | Gene | gene | CD4
38263938 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 2966 | 16 | Disease | disease | hypersensitivity
38263938 | @DISEASE_HIV_Infections | HIV Infections | 3079 | 13 | Disease | disease | HIV infection
38263938 | @DISEASE_Acquired_Immunodeficiency_Syndrome | Acquired Immunodeficiency Syndrome | 3124 | 4 | Disease | disease | AIDS
38263938 | @CHEMICAL_abacavir | abacavir | 3265 | 8 | Chemical | chemical | abacavir
38263938 | @DISEASE_HIV_Infections | HIV Infections | 3318 | 13 | Disease | disease | HIV infection
38278784 | @GENE_CD4 | Cd4 | 32 | 3 | Gene | gene | CD4
38278784 | @GENE_IFNAR1 | Ifnar1 | 496 | 6 | Gene | gene | Ifnar1
38278784 | @DISEASE_Infections | Infections | 536 | 14 | Disease | disease | OC43 infection
38278784 | @GENE_CD4 | Cd4 | 586 | 3 | Gene | gene | CD4
38278784 | @DISEASE_COVID_19 | COVID-19 | 704 | 20 | Disease | disease | SARS-CoV-2 infection
38278784 | @GENE_IFNAR1 | Ifnar1 | 783 | 6 | Gene | gene | Ifnar1
38278784 | @GENE_IFNAR1 | Ifnar1 | 842 | 6 | Gene | gene | Ifnar1
38278784 | @GENE_CD4 | Cd4 | 882 | 3 | Gene | gene | CD4
38278784 | @GENE_IFNAR1 | Ifnar1 | 912 | 6 | Gene | gene | Ifnar1
38278784 | @DISEASE_Lung_Diseases | Lung Diseases | 1040 | 11 | Disease | disease | lung damage
38278784 | @DISEASE_Infections | Infections | 1062 | 9 | Disease | disease | infection
38278784 | @GENE_CD4 | Cd4 | 1096 | 3 | Gene | gene | CD4
38278784 | @GENE_CD4 | Cd4 | 1267 | 3 | Gene | gene | CD4
38345618 | @DISEASE_COVID_19 | COVID-19 | 4 | 8 | Disease | disease | COVID-19
38345618 | @DISEASE_Gambling | Gambling | 93 | 17 | Disease | disease | gambling problems
