38516860 | Bind | KIR2DS2 | HLA-C
19349578 | Association | Sox2 | Ipo7
19349578 | Association | Sox2 | Xpo4
19349578 | Association | Xpo4 | SRY
19349578 | Association | Ipo9 | Xpo4
19349578 | Association | Sox2 | Ipo9
19349578 | Association | Ipo7 | Xpo4
19494118 | Association | Arx | Ipo9
19494118 | Association | Arx | Ipo13
19593795 | Positive_Correlation | Ipo13 | IPO13
20042713 | Negative_Correlation | Doxycycline | Nr3c1
20042713 | Negative_Correlation | Nr3c1 | Scgb1a1
20042713 | Positive_Correlation | Nr3c1 | Sftpb
20042713 | Negative_Correlation | Aqp5 | Nr3c1
20042713 | Positive_Correlation | Nr3c1 | Sftpd
20042713 | Negative_Correlation | Nr3c1 | spc
20042713 | Association | Respiratory Insufficiency | Nr3c1
20042713 | Negative_Correlation | Pdpn | Nr3c1
20042713 | Positive_Correlation | Nr3c1 | Sftpa1
24596094 | Association | IPO8 | AGO2
26077467 | Association | Stomach Neoplasms | PDCD5
26077467 | Positive_Correlation | HDAC3 | PDCD5
26077467 | Negative_Correlation | Etoposide | HDAC3
26077467 | Association | PDCD5 | IPO13
26077467 | Negative_Correlation | TP53 | HDAC3
26077467 | Positive_Correlation | TP53 | PDCD5
26077467 | Positive_Correlation | Etoposide | TP53
26077467 | Association | CSNK2A2 | PDCD5
26077467 | Association | Etoposide | PDCD5
26077467 | Association | Stomach Neoplasms | TP53
26337383 | Association | SMAD3 | TGFB1
26337383 | Association | SNX9 | TGFB1
26337383 | Association | IPO8 | SNX9
26337383 | Association | SMAD3 | SNX9
26776511 | Association | Head and Neck Neoplasms | ARID3B
26776511 | Bind | ARID3B | ARID3A
26776511 | Association | ARID3A | IPO9
26776511 | Association | Head and Neck Neoplasms | ARID3A
26776511 | Association | ARID3B | IPO9
26776511 | Association | Neoplasms | ARID3B
27956177 | Association | IMPA1 | NKX2-2
27956177 | Association | NKX2-2 | IPO13
27993670 | Association | NR3C1 | IPO13
27993670 | Association | EIF4G2 | IPO13
27993670 | Association | HMG20A | IPO13
28446596 | Positive_Correlation | DICER1 | IMPA2
28446596 | Association | Cell Transformation Neoplastic | IPO13
28446596 | Association | Neoplasms | DICER1
28446596 | Positive_Correlation | DICER1 | IMP3
28446596 | Association | Cell Transformation Neoplastic | IMPA2
28446596 | Positive_Correlation | DICER1 | IPO13
28446596 | Positive_Correlation | IGF2BP1 | DICER1
28446596 | Association | Cell Transformation Neoplastic | IGF2BP1
28446596 | Association | Cell Transformation Neoplastic | DICER1
28446596 | Association | Cell Transformation Neoplastic | IMP3
28968829 | Association | Nr3c1 | Ipo13
28968829 | Association | Ipo13 | NR3C1
29476013 | Association | Machado-Joseph Disease | Atxn3
29476013 | Association | Machado-Joseph Disease | Kpna3
29476013 | Association | Genetic Diseases Inborn | Kpna3
29476013 | Association | Atxn3 | Kap-alpha3
29476013 | Association | Mental Disorders | Kpna3
29476013 | Association | Neurodegenerative Diseases | Kap-alpha3
29476013 | Association | Anxiety | Kpna3
29700284 | Positive_Correlation | Cataract | c.331C>T
29700284 | Association | Microphthalmos | IPO13
29700284 | Positive_Correlation | Coloboma | c.331C>T
29700284 | Positive_Correlation | Microphthalmos | c.331C>T
29700284 | Positive_Correlation | Coloboma | p.R111C
29700284 | Association | Microphthalmos | Ipo13
29700284 | Positive_Correlation | Microphthalmos | p.R111C
29700284 | Negative_Correlation | Morpholinos | Coloboma
29700284 | Positive_Correlation | c.331C>T | Microphthalmos
29700284 | Positive_Correlation | c.331C>T | Coloboma
29700284 | Positive_Correlation | Cataract | p.R111C
29700284 | Positive_Correlation | c.331C>T | Cataract
29700284 | Association | Microphthalmos | ipo13
29700284 | Association | Cataract | IPO13
29700284 | Association | Coloboma | IPO13
29700284 | Association | Oligonucleotides | Microphthalmos
29700284 | Association | Cataract | ipo13
29700284 | Association | Oligonucleotides | Coloboma
29700284 | Negative_Correlation | Morpholinos | ipo13
29700284 | Negative_Correlation | Oligonucleotides | ipo13
29700284 | Association | Morpholinos | Microphthalmos
29700284 | Association | Coloboma | ipo13
29955178 | Bind | Magoh | Magohb
29955178 | Association | Magoh | Ipo13
29955178 | Association | Neoplasms | Magoh
29955178 | Association | Neoplasms | Magohb
29955178 | Association | Neoplasms | Ipo13
29955178 | Association | Ipo13 | Magohb
31090959 | Association | IPO7 | NUAK1
31090959 | Association | Neoplasms | NUAK1
31090959 | Association | KPNB1 | NUAK1
31090959 | Association | IPO9 | NUAK1
31090959 | Negative_Correlation | importazole | NUAK1
31090959 | Association | Carcinogenesis | NUAK1
31209109 | Association | Cpt1a | Igf2bp2
31209109 | Association | Fatty Acids | Cpt1a
31209109 | Positive_Correlation | Scarb2 | Igf2bp2
31209109 | Association | Ppara | Igf2bp2
31209109 | Association | Fatty Liver | Cpt1a
31209109 | Association | Triglycerides | Scarb2
31209109 | Association | Fatty Acids | Fatty Liver
31209109 | Association | Fatty Acids | Igf2bp2
31209109 | Association | Fatty Acids | Ppara
31209109 | Positive_Correlation | Fatty Liver | Igf2bp2
31209109 | Association | Fatty Liver | Ppara
31209109 | Negative_Correlation | Obesity | Igf2bp2
31209109 | Negative_Correlation | Triglycerides | Igf2bp2
31875548 | Positive_Correlation | STAT3 | MIR551B
31875548 | Association | IL31RA | STAT3
31875548 | Association | IL31 | STAT3
31875548 | Association | Neoplasms | MIR551B
31875548 | Positive_Correlation | IL31 | MIR551B
31875548 | Association | Triple Negative Breast Neoplasms | MIR551B
31875548 | Association | Breast Neoplasms | MIR551B
31875548 | Positive_Correlation | MIR551B | OSMR
31875548 | Positive_Correlation | IL31RA | MIR551B
31875548 | Association | IPO8 | MIR551B
31875548 | Association | Breast Neoplasms | ESR1
33082305 | Bind | RFPL3 | IPO13
33082305 | Negative_Correlation | osimertinib | EGFR
33082305 | Negative_Correlation | osimertinib | IPO13
33082305 | Positive_Correlation | Neoplasms | IPO13
33082305 | Association | Lung Neoplasms | IPO13
33082305 | Positive_Correlation | EGFR | IPO13
33082305 | Association | Lung Neoplasms | RFPL3
33082305 | Association | Lung Neoplasms | EGFR
33333437 | Positive_Correlation | TBX1 | IPO13
33333437 | Positive_Correlation | POU5F1 | IPO13
33333437 | Positive_Correlation | MIXL1 | IPO13
34010605 | Association | IPO8 | SMAD3
34010605 | Association | IPO8 | SMAD1
34010605 | Association | SMAD2 | TGFB1
34010605 | Association | SMAD4 | TGFB1
34010605 | Association | Aortic Aneurysm Thoracic | Ccn2
34010605 | Association | Aortic Aneurysm Thoracic | TGFB1
34010605 | Association | Plagiocephaly and X-linked mental retardation | IPO8
34010605 | Association | Shprintzen Golberg craniosynostosis | IPO8
34010605 | Association | SMAD1 | TGFB1
34010605 | Association | Aortic Aneurysm Thoracic | Mmp2
34010605 | Association | IPO8 | SMAD2
34010605 | Association | Smad6 | Ipo8
34010605 | Association | Aortic Aneurysm Thoracic | IPO8
34010605 | Association | IPO8 | SMAD4
34010605 | Association | SMAD3 | TGFB1
34010605 | Association | IPO8 | TGFB1
34010605 | Association | Aortic Aneurysm Thoracic | Ipo8
34010605 | Positive_Correlation | Ccn2 | Ipo8
34010605 | Association | Aortic Aneurysm Thoracic | Tgfb1
34010605 | Association | Aortic Aneurysm Thoracic | Smad7
34010605 | Association | Mmp2 | Tgfb1
34010605 | Association | Aortic Aneurysm Thoracic | Smad6
34010605 | Association | Smad7 | Ipo8
34010605 | Association | Mmp2 | Ipo8
34484236 | Association | Arthritis Rheumatoid | GZMA
34484236 | Association | Arthritis Rheumatoid | CD8A
34484236 | Association | CXCR4 | CD4
34484236 | Association | Arthritis Rheumatoid | CCL5
34484236 | Association | Arthritis Rheumatoid | CXCR4
34685634 | Association | Carcinoma Hepatocellular | IGF2BP2
34685634 | Association | Carcinoma Hepatocellular | IGF2
34685634 | Association | Inosine Monophosphate | POTEF
35296537 | Association | ITGAE | PDCD1
35296537 | Association | PDCD1 | CD8A
35296537 | Association | PDCD1 | CD69
35296537 | Association | Inflammation | CXCR4
35296537 | Association | ITGAE | CD69
35358193 | Association | Neoplasms | CXCR4
35358193 | Association | Carcinoma Squamous Cell | FOXP3
35358193 | Association | FOXP3 | CXCR4
35358193 | Association | Carcinoma Squamous Cell | CD8A
35358193 | Association | Neoplasms | FOXP3
35358193 | Association | Carcinoma Squamous Cell | CXCR4
35358193 | Association | Neoplasms | CD8A
35741036 | Association | Arx | Ipo13
35741036 | Association | Glutamic Acid | Ipo13
35741036 | Association | Pax3 | Ipo13
35741036 | Positive_Correlation | Pax6 | Ipo13
35774848 | Positive_Correlation | HNRNPA2B1 | CXCR4
35774848 | Negative_Correlation | N N'-di-2-pyridinyl-1 4-benzenedimethanamine | CXCR4
35774848 | Positive_Correlation | CD274 | CXCR4
35774848 | Positive_Correlation | NOTCH1 | CXCR4
35774848 | Association | Lymphoma Large B-Cell Diffuse | PDCD1
35774848 | Positive_Correlation | FOXO1 | CXCR4
35774848 | Negative_Correlation | CXCR4 | CD8A
35774848 | Association | Lymphoma Large B-Cell Diffuse | CXCR4
35774848 | Association | Hematologic Neoplasms | CXCR4
35774848 | Association | Carcinogenesis | CXCR4
35774848 | Association | Lymphoma Large B-Cell Diffuse | CD8A
35774848 | Association | Lymphoma Large B-Cell Diffuse | MTOR
35774848 | Association | Lymphoma Large B-Cell Diffuse | NOTCH1
35774848 | Positive_Correlation | CXCR4 | CD5
35774848 | Association | Lymphoma Large B-Cell Diffuse | HNRNPA2B1
35774848 | Association | Lymphoma Large B-Cell Diffuse | CD5
35774848 | Positive_Correlation | MYC | CXCR4
35774848 | Positive_Correlation | PDCD1 | CXCR4
35774848 | Positive_Correlation | MTOR | CXCR4
35774848 | Association | Lymphoma Large B-Cell Diffuse | CD274
35774848 | Association | Lymphoma Large B-Cell Diffuse | MYC
35774848 | Association | Lymphoma Large B-Cell Diffuse | FOXO1
36512100 | Association | CXCL12 | CXCR4
36512100 | Association | Neoplasms | CXCL12
36512100 | Negative_Correlation | Neoplasms | CXCR4
36757203 | Association | Akt1 | Cxcr4
36757203 | Association | Anophthalmia with pulmonary hypoplasia | CXCR4
36757203 | Association | Akt1 | Sparc
36757203 | Association | Carcinoma Pancreatic Ductal | CXCR4
36757203 | Association | Neoplasms | Akt1
36757203 | Association | Anophthalmia with pulmonary hypoplasia | Cxcr4
36757203 | Association | Neoplasms | Cxcr4
36757203 | Positive_Correlation | Cxcr4 | Sparc
36757203 | Association | Pancreatic Neoplasms | CXCR4
36757203 | Positive_Correlation | MRC1 | CXCR4
36849745 | Association | Neoplasms | CXCL12
36849745 | Negative_Correlation | ACKR3 | CXCL12
36849745 | Association | CXCR4 | CD8A
36849745 | Association | Neoplasms | CXCR4
36849745 | Association | Neoplasms | CD8A
36923305 | Positive_Correlation | mavorixafor | CXCL10
36923305 | Positive_Correlation | mavorixafor | Fatigue
36923305 | Positive_Correlation | pembrolizumab | Diarrhea
36923305 | Negative_Correlation | mavorixafor | Melanoma
36923305 | Positive_Correlation | pembrolizumab | CXCL10
36923305 | Association | Melanoma | CXCR4
36923305 | Negative_Correlation | mavorixafor | CXCR4
36923305 | Negative_Correlation | pembrolizumab | Melanoma
36923305 | Positive_Correlation | mavorixafor | CXCL9
36923305 | Positive_Correlation | pembrolizumab | Fatigue
36923305 | Positive_Correlation | mavorixafor | Dry Eye Syndromes
36923305 | Positive_Correlation | pembrolizumab | Exanthema
36923305 | Positive_Correlation | mavorixafor | Diarrhea
36923305 | Positive_Correlation | mavorixafor | IFNG
36923305 | Cotreatment | mavorixafor | pembrolizumab
36923305 | Positive_Correlation | pembrolizumab | Dry Eye Syndromes
36923305 | Positive_Correlation | pembrolizumab | CXCL9
36923305 | Positive_Correlation | mavorixafor | Neoplasms
36923305 | Positive_Correlation | mavorixafor | Exanthema
37017641 | Association | Triple Negative Breast Neoplasms | Cxcr4
37017641 | Association | Neoplasm Metastasis | CXCR4
37017641 | Bind | CXCL12 | CXCR4
37017641 | Association | Neoplasms | CXCR4
37017641 | Association | Triple Negative Breast Neoplasms | CXCR4
37876509 | Association | Dry Eye Syndromes | IL17A
37876509 | Association | Dry Eye Syndromes | PRR4
37876509 | Association | Drug Hypersensitivity | IL17A
37876509 | Association | Drug Hypersensitivity | CX3CL1
37876509 | Association | Dry Eye Syndromes | IL10
37876509 | Association | PRR4 | IL10
37876509 | Association | Drug Hypersensitivity | IL10
37876509 | Association | IL10 | VIP
37876509 | Association | PRR4 | VIP
37876509 | Association | Drug Hypersensitivity | PRR4
37876509 | Association | Drug Hypersensitivity | CCR2
37876509 | Association | Drug Hypersensitivity | VIP
37876509 | Association | IL17A | VIP
37876509 | Association | Dry Eye Syndromes | CCR2
37876509 | Association | Dry Eye Syndromes | VIP
37876509 | Association | Dry Eye Syndromes | CCL3
37876509 | Association | Dry Eye Syndromes | CX3CL1
37876509 | Association | Dry Eye Syndromes | CCL5
37876509 | Association | IL10 | IL17A
37876509 | Association | PRR4 | IL17A
37890815 | Negative_Correlation | Cu(2)MoS(4) | Neoplasms
37890815 | Negative_Correlation | Cu(2)MoS(4) | Il6
37890815 | Cotreatment | Cu(2)MoS(4) | PEG-b-PS
37890815 | Negative_Correlation | plerixafor | Cxcr4
37890815 | Negative_Correlation | Cu(2)MoS(4) | Cxcr4
37890815 | Negative_Correlation | PEG-b-PS | Cxcr4
37890815 | Association | Pancreatic Neoplasms | Cd274
37890815 | Negative_Correlation | PEG-b-PS | Neoplasms
37890815 | Negative_Correlation | PEG-b-PS | Il6
37890815 | Positive_Correlation | Cu(2)MoS(4) | Calr
37890815 | Negative_Correlation | PEG-b-PS | Cd274
37890815 | Negative_Correlation | Cu(2)MoS(4) | Cd274
37890815 | Negative_Correlation | PEG-b-PS | Il10
37890815 | Negative_Correlation | Cu(2)MoS(4) | Il10
37890815 | Negative_Correlation | Carcinoma Pancreatic Ductal | Cd274
37890815 | Positive_Correlation | PEG-b-PS | Reactive Oxygen Species
37890815 | Negative_Correlation | Cu(2)MoS(4) | Keratoconus Posticus Circumscriptus with Associated Malformations
37890815 | Positive_Correlation | PEG-b-PS | Calr
37890815 | Negative_Correlation | Cu(2)MoS(4) | Ifna
37890815 | Negative_Correlation | PEG-b-PS | Pancreatic Neoplasms
37890815 | Cotreatment | Cu(2)MoS(4) | plerixafor
37890815 | Negative_Correlation | PEG-b-PS | Ifna
37890815 | Positive_Correlation | Cu(2)MoS(4) | Reactive Oxygen Species
37890815 | Negative_Correlation | PEG-b-PS | Keratoconus Posticus Circumscriptus with Associated Malformations
37890815 | Negative_Correlation | Cu(2)MoS(4) | Pancreatic Neoplasms
37890815 | Negative_Correlation | Reactive Oxygen Species | Pancreatic Neoplasms
38053160 | Association | Lichen Planus Oral | CD8A
38053160 | Association | CXCL12 | CXCR4
38053160 | Association | CXCL12 | CD8A
38053160 | Positive_Correlation | CXCR4 | CD8A
38152696 | Negative_Correlation | Nivolumab | Carcinoma Renal Cell
38152696 | Association | Carcinoma Renal Cell | CXCR4
38152696 | Association | Carcinoma Renal Cell | CXCL14
38152696 | Association | CD8A | CXCL14
38152696 | Positive_Correlation | Nivolumab | CXCL14
38182756 | Association | Neoplasms | CXCL12
38182756 | Association | Neoplasms | CD8A
38182756 | Association | Neoplasms | CXCR4
38182756 | Positive_Correlation | CXCL12 | CD8A
38234792 | Association | Neoplasms | Pdcd1
38234792 | Association | Pancreatic Neoplasms | CXCR4
38234792 | Positive_Correlation | plerixafor | CD8A
38234792 | Negative_Correlation | plerixafor | CXCR4
38234792 | Positive_Correlation | CXCR4 | CD8A
38234792 | Association | Neoplasms | Cxcr4
38234792 | Negative_Correlation | 4-fluorobenzoyl-TN-14003 | CXCR4
38234792 | Association | Pancreatic Neoplasms | Pdcd1
38234792 | Negative_Correlation | Gemcitabine | Neoplasms
38234792 | Association | Neoplasms | CXCR4
38234792 | Negative_Correlation | Gemcitabine | Pancreatic Neoplasms
38234792 | Negative_Correlation | plerixafor | CXCL12
38234792 | Bind | CXCL12 | CXCR4
38234792 | Association | Pancreatic Neoplasms | CXCL12
38234792 | Association | Gemcitabine | CXCR4
38306953 | Association | CXCL12 | CD8A
38306953 | Positive_Correlation | B3GAT1 | CXCL12
38306953 | Negative_Correlation | LY2510924 | Streptozocin
38306953 | Association | Autoimmune Diseases | CD8A
38306953 | Association | Diabetes Mellitus | CXCR4
38306953 | Negative_Correlation | LY2510924 | Diabetes Mellitus
38306953 | Negative_Correlation | LY2510924 | CD8A
38306953 | Negative_Correlation | LY2510924 | Hyperglycemia
38306953 | Negative_Correlation | LY2510924 | Diabetes Mellitus Type 1
38306953 | Association | Glucose | Diabetes Mellitus Type 1
38306953 | Association | Diabetes Mellitus | CXCL12
38306953 | Association | CXCR4 | CD8A
38306953 | Association | Diabetes Mellitus Type 1 | CXCL12
38306953 | Association | Diabetes Mellitus Type 1 | B3GAT1
38306953 | Positive_Correlation | Streptozocin | Diabetes Mellitus Type 1
38306953 | Association | Diabetes Mellitus Type 1 | CXCR4
38306953 | Negative_Correlation | LY2510924 | Cxcr4
38306953 | Association | Diabetes Mellitus Type 1 | STAT3
38306953 | Positive_Correlation | B3GAT1 | CXCR4
38306953 | Association | Autoimmune Diseases | B3GAT1
38306953 | Association | CXCL12 | CXCR4
38306953 | Association | Diabetes Mellitus Type 1 | CD8A
38306953 | Negative_Correlation | LY2510924 | B3GAT1
38338982 | Association | Cxcl12 | Stat3
38338982 | Association | Alopecia | Cxcr4
38338982 | Association | Alopecia Areata | Cxcl12
38338982 | Association | Alopecia | Cxcl12
38338982 | Positive_Correlation | Ifng | Cxcl12
38338982 | Positive_Correlation | Cxcr4 | Cxcl12
38338982 | Positive_Correlation | Ar | Cxcl12
38338982 | Association | Alopecia | Ar
38360292 | Association | Neoplasms | Bms1
38360292 | Association | Neoplasms | Cd274
38360292 | Association | Glioblastoma | Cxcl12
38360292 | Association | Glioblastoma | Cxcr4
38360292 | Negative_Correlation | Bms1 | Cd274
38360292 | Negative_Correlation | plerixafor | Neoplasms
38360292 | Negative_Correlation | plerixafor | Cxcr4
38360292 | Association | Glioblastoma | Bms1
38360292 | Association | Neoplasms | Ifng
38360292 | Association | Neoplasms | Ifi47
38360292 | Positive_Correlation | Ifng | Cd274
38360292 | Negative_Correlation | Pdcd1 | Bms1
38360292 | Cotreatment | plerixafor | Bms1
38493239 | Association | Multiple Myeloma | CXCR4
38493239 | Association | Multiple Myeloma | CD8A
38493239 | Association | Multiple Myeloma | SLAMF7
38493239 | Association | Multiple Myeloma | CD70
38493239 | Association | Multiple Myeloma | GPRC5D
38493239 | Association | Multiple Myeloma | EZH2
38493239 | Association | Multiple Myeloma | KRAS
10660567 | Association | Guanosine Triphosphate | Ranbp1
10660567 | Association | Ranbp1 | Ipo5
10660567 | Association | Ran | Ipo5
10660567 | Association | Kpnb1 | Ran
10660567 | Association | Kpnb1 | Ranbp1
10660567 | Bind | Ran | YRB1
10660567 | Association | Ipo5 | YRB1
10660567 | Bind | Guanosine Triphosphate | Ran
10660567 | Bind | Ran | Ranbp1
10660567 | Association | Ranbp1 | YRB1
11032817 | Association | UBE2E4P | RAN
11032817 | Association | IPO11 | RAN
11032817 | Bind | Guanosine Triphosphate | RAN
11032817 | Association | UBE2E4P | IPO11
11528126 | Association | Neoplasms | LMO1
11809816 | Association | UBE2E4P | IPO11
11809816 | Association | IPO11 | RPL12
11809816 | Association | UBE2E4P | RPL12
12426392 | Association | EEF1A1 | XPO5
12670497 | Negative_Correlation | Okadaic Acid | PTPA
12670497 | Association | microcystin | Sepharose
12861017 | Bind | RAG1 | RAG2
12861017 | Association | IPO5 | RAG2
15545318 | Association | Ube2e1 | Ipo11
16134771 | Positive_Correlation | Inflammation | Kpna6
16134771 | Positive_Correlation | aluminum sulfate | Status Asthmaticus
16134771 | Positive_Correlation | LOC105243590 | Ipo7
16134771 | Positive_Correlation | Status Asthmaticus | Serpinb1-ps1
16134771 | Negative_Correlation | aluminum sulfate | Serpinb1-ps1
16134771 | Positive_Correlation | Ipo7 | Serpinb1-ps1
16134771 | Positive_Correlation | Kpna6 | Serpinb1-ps1
16134771 | Positive_Correlation | LOC105243590 | Kpna6
16134771 | Positive_Correlation | Eosinophilia | Ipo7
16134771 | Positive_Correlation | Eosinophilia | Kpna6
16134771 | Positive_Correlation | LOC105243590 | Serpinb1-ps1
16134771 | Positive_Correlation | Inflammation | Ipo7
17848547 | Association | IPO7 | ZNF467
17848547 | Negative_Correlation | leptomycin B | XPO1
19204005 | Bind | DRAP1 | DR1
19204005 | Association | DR1 | XPO1
19204005 | Association | RAN | XPO1
19204005 | Association | DR1 | KPNA1
19204005 | Association | DR1 | IPO13
19256485 | Association | UBE2E4P | RCBTB1
19256485 | Association | UBE2E4P | CUL3
19256485 | Bind | RCBTB1 | CUL3
19805818 | Association | Sepsis | Ipo7
19805818 | Association | Sepsis | Fbxo9
19906922 | Association | MAVS | H2BC21
23833298 | Positive_Correlation | EGR1 | KRT19
23833298 | Association | Neoplasms | AKT1
23833298 | Association | EGR1 | PTEN
23833298 | Association | IPO7 | EGR1
23833298 | Association | IPO7 | KRT19
23833298 | Negative_Correlation | AKT1 | KRT19
23833298 | Association | Breast Neoplasms | EGR1
23833298 | Association | Breast Neoplasms | KRT19
23833298 | Negative_Correlation | Neoplasms | KRT19
23833298 | Negative_Correlation | KRT19 | PTEN
23833298 | Positive_Correlation | AKT1 | PTEN
24798243 | Positive_Correlation | NPR1 | SOX2
24798243 | Association | NPR1 | PDCD5
24798243 | Positive_Correlation | NPR1 | POU5F1
24798243 | Association | NONO | NPR1
24798243 | Association | SUZ12 | NPR1
24798243 | Association | HNRNPA2B1 | NPR1
24798243 | Association | NPR1 | MACROH2A1
24798243 | Association | KPNA3 | NPR1
24798243 | Association | NPR1 | SMARCA4
24798243 | Association | CDK4 | NPR1
24798243 | Association | APEX1 | NPR1
24798243 | Association | NPM1 | NPR1
24798243 | Association | H2AC8 | NPR1
24798243 | Association | IPO5 | NPR1
24798243 | Association | HSPA5 | NPR1
24798243 | Positive_Correlation | NPR1 | NANOG
26140478 | Association | Runx2 | Sp7
26140478 | Negative_Correlation | Runx2 | Yap1
26140478 | Association | Cytochalasin D | Ipo9
26140478 | Association | Bglap2 | Runx2
26173551 | Association | Alcoholism | KIAA0040
26173551 | Association | Alcoholism | PTP4A1
26173551 | Association | Alcoholism | STK40
26173551 | Association | Alcoholism | CBLN2
26173551 | Association | Alcoholism | Pld1
26173551 | Association | Alcoholism | IPO11
26173551 | Association | Alcoholism | PHF3
26173551 | Association | Alcoholism | SERINC2
26173551 | Association | Alcoholism | SLC6A11
26173551 | Association | PHF3 | PTP4A1
26274783 | Association | Neoplasms | Hras
26274783 | Association | Eif2ak3 | Ipo7
28193699 | Positive_Correlation | Pten | Ipo11
28193699 | Association | Neoplasms | Ipo11
28193699 | Negative_Correlation | Neoplasms | Pten
28193699 | Association | Lung Neoplasms | Ipo11
28193700 | Positive_Correlation | Ube2e1 | PTEN
28193700 | Association | Lung Neoplasms | PTEN
28193700 | Association | Neoplasm Metastasis | IPO11
28193700 | Association | Neoplasms | Ube2e1
28193700 | Association | Adenocarcinoma of Lung | Ipo11
28193700 | Association | Neoplasms | PTEN
28193700 | Association | PTEN | Ipo11
28193700 | Association | Ube2l6 | PTEN
28193700 | Negative_Correlation | Lung Neoplasms | IPO11
28193700 | Negative_Correlation | IPO11 | PTEN
28193700 | Association | Neoplasms | IPO11
28193700 | Association | Neoplasms | Ipo11
28193700 | Negative_Correlation | Ube2e1 | Ipo11
28258103 | Association | Lung Neoplasms | Ipo11
28258103 | Association | Prostatitis | Ipo11
28258103 | Association | Neoplasms | Ipo11
28258103 | Association | PTEN | Ipo11
28258103 | Negative_Correlation | Neoplasms | PTEN
28390868 | Negative_Correlation | Oligonucleotides | Neoplasms
28390868 | Association | Neoplasms | SNORA23
28390868 | Association | Carcinoma Pancreatic Ductal | SYNE2
28390868 | Association | SYNE2 | SNORA23
28390868 | Association | Neoplasm Metastasis | SNORA23
28390868 | Association | Carcinoma Pancreatic Ductal | SNORA23
28390868 | Association | Neoplasm Metastasis | SYNE2
28390868 | Negative_Correlation | Oligonucleotides | SNORA23
28476804 | Association | Adenocarcinoma of Lung | Ipo7
28476804 | Association | Carcinogenesis | Ipo7
28476804 | Association | Lung Neoplasms | Ipo7
28476804 | Association | Akt1 | Ipo7
28736931 | Negative_Correlation | Fenofibrate | Hsd17b13
28736931 | Association | Lipids | HSD17B3
28736931 | Negative_Correlation | Fenofibrate | Dyslipidemias
28736931 | Association | Fenofibrate | TGFB1
28736931 | Association | Lipids | HSD17B13
28736931 | Association | Fenofibrate | HSD17B3
28736931 | Negative_Correlation | Fenofibrate | Diabetes Mellitus Type 2
28736931 | Association | Fenofibrate | SMAD3
28736931 | Association | Lipids | Fenofibrate
28736931 | Association | Fenofibrate | NFE2L2
28736931 | Association | Diabetes Mellitus Type 2 | HSD17B3
28736931 | Association | Lipids | SMAD3
28736931 | Negative_Correlation | Fibric Acids | Dyslipidemias
28736931 | Association | Dyslipidemias | TGFB1
28736931 | Association | Fenofibrate | IPO11
28736931 | Association | Lipids | IPO11
28736931 | Association | Lipids | AKR7A3
28736931 | Association | Diabetes Mellitus Type 2 | IPO11
28736931 | Association | Diabetes Mellitus Type 2 | TGFB1
28736931 | Association | Dyslipidemias | NFE2L2
29476834 | Association | PDLIM5 | TGFBR1
29476834 | Association | PDLIM5 | SMAD3
29476834 | Association | PDLIM5 | ROCK2
29476834 | Positive_Correlation | IPO5 | SMAD3
29602637 | Association | PTK2 | CCNG2
29602637 | Association | EGFR | EGR1
29602637 | Association | EGR1 | PTK2
29602637 | Association | Urinary Bladder Neoplasms | CDKN1A
29602637 | Association | Urinary Bladder Neoplasms | THBS1
29602637 | Association | Urinary Bladder Neoplasms | TP53
29602637 | Association | Urinary Bladder Neoplasms | IPO11
29602637 | Association | Lymphatic Metastasis | IPO11
29602637 | Association | HBEGF | CCNG2
29602637 | Association | HBEGF | EGR1
29602637 | Association | Urinary Bladder Neoplasms | PTK2
29602637 | Association | IPO11 | THBS1
29602637 | Association | EGFR | PTK2
29602637 | Association | EGR1 | CCNG2
29602637 | Association | HBEGF | IPO11
29602637 | Association | CDKN1A | IPO11
29602637 | Association | EGFR | CCNG2
29602637 | Association | HBEGF | TP53
29602637 | Association | IPO11 | CCNG2
29602637 | Association | EGR1 | IPO11
29602637 | Association | IPO11 | TP53
29602637 | Association | PTK2 | TP53
29602637 | Association | HBEGF | PTK2
29602637 | Association | TP53 | CCNG2
29602637 | Association | IPO11 | PTK2
29602637 | Association | Urinary Bladder Neoplasms | EGR1
29602637 | Association | EGFR | TP53
29602637 | Association | EGR1 | TP53
29636389 | Bind | IPO7 | TNPO2
29636389 | Association | Inflammation | MAPK8
29636389 | Association | Neoplasms | MAPK8
29636389 | Association | Neoplasms | MAPK14
29636389 | Association | IPO7 | MAPK14
29636389 | Association | MAPK14 | TNPO2
29636389 | Association | IPO7 | MAPK8
29636389 | Association | TNPO2 | MAPK8
29636389 | Association | Inflammation | MAPK14
29636389 | Association | MAPK14 | IPO9
29636389 | Association | IPO9 | MAPK8
29643034 | Association | App | Sorl1
29643034 | Association | Alzheimer Disease | Sorl1
32218703 | Association | Carcinoma Embryonal | Ipo11
33548622 | Bind | Smad2 | Ipo7
33548622 | Positive_Correlation | Tgfb1 | Ipo7
33571591 | Association | Glioma | IPO11
33571591 | Association | Neoplasms | IPO11
33571591 | Negative_Correlation | IPO11 | CASP3
33571591 | Association | Glioma | CTNNB1
33571591 | Negative_Correlation | IPO11 | CASP7
33571591 | Negative_Correlation | IPO11 | CASP9
33571591 | Positive_Correlation | CTNNB1 | IPO11
